Language	meaning	word	word.clean
207886	Gurindji	to dribble	jawul walywalyarra karri-	jawulwalywalyarrakarri
208434	Gurindji	to boil	purrngpurrngkarra karri-	purrngpurrngkarrakarri
208183	Gurindji	sometimes	mayanikari mayanikari	mayanikarimayanikari
64386	Ignaciano_Phonemic	fishscale	kapimerumuiriʔa eta hima	kapimerumuiriʔaetahima
212905	Imbabura Quechua	the day before yesterday	kayna chay shuk puncha	kaynachayshukpuncha
73022	Khanty_Phonemic	afternoon	xatl kutlup yuwpʸi pur̃a	xatlkutlupyuwôipura
276554	Khasi	the wedding	jingiathoh-shongkurim	jingiathohshongkurim
276555	Khasi	the divorce	jingpyllait-sansh'ieng	jingpyllaitsanshieng
78263	Lappish_North_Saami_Phonemic	afternoon	mɑŋŋil gɑskɑbeɑivvi	mɑnnilgɑskɑbeɑivvi
83502	Maca_Phonemic	noon, midday	n-ac̷athen-xuʔ neʔ xunuʔ	nacathenxuʔneʔxunuʔ
84812	Macushi_Phonemic	noon, midday	nekata pairɨ wei tɨɨse	nekatapairiweitiise
84757	Macushi_Phonemic	twelve	asakɨʔne puʔ pona tɨɨmoʔtai	asakiʔnepuʔponatiimoʔtai
226550	Malagasy	the neighbour	mpifanolobody rìndrina	mpifanolobodyrindrina
226894	Malagasy	never	tsy...na oviana na ovìana	tsynaoviananaoviana
226686	Malagasy	to weigh	ròa lìvatra ny lànjan’ny èntana	roalivatranylanjannyentana
85859	Mansi_Phonemic	turn over	mot nupɨl yoŋxɨɣtɨɣlaluŋkwʸe	motnupilyonxiɣtiɣlalunkŕe
86123	Mansi_Phonemic	afternoon	xotalyat yuyipalt por̃a	xotalyatyuyipaltpora
279621	Marathi	to cultivate	n̪aːŋgaraɳe, dʒamin̪iːtʃiː maɕaːgat̪  karaɳe	nangarane;dʒaminitʃimacagatkarane
279699	Marathi	to stab	ʈokad̪aːr hat̪jaːraːn̪e bʱosakaɳe	tokadarhatjaranebʱosakane
279669	Marathi	the sap	van̪aspat̪itʃjaː aːt̪ vaːhaɳaːraː ras	vanaspatitʃjaatvahanararas
279512	Marathi	the wine	d̪raːkɕaːpaːsuːn̪ t̪ajaːr keleliː d̪aːruː	drakcapasuntajarkelelidaru
98600	Muisca_Phonemic	born (to be)	βak ic̷̣a-skua c̷̣ɨ-muɨskɨn-suka	βakicaskuacimuiskinsuka
233099	Oroqen	the afternoon	inəŋ dulin nuktʃitʃə	inəndulinnuktʃitʃə
118294	Panare_Phonemic	famine	wehke č-erema-n-toʔ wehtyoʔ	wehkeceremantoʔwehtyoʔ
119322	Persian_Phonemic	cousin	pesær-æmu/ doxtær-æmu; pesær-xɑle/ doxtær-xɑle	pesaeraemudoxtaeraemu;pesaerxɑledoxtaerxɑle
119337	Persian_Phonemic	orphan	[yætim]; pedær-morde/ mɑdær-morde	;pedaermordemɑdaermorde
120411	Persian_Phonemic	obey	færmɑn-bærdɑri-kærdæn	faermɑnbaerdɑrikaerdaen
119312	Persian_Phonemic	grandson	næve; pesær-e pesær/ pesær-doxtær	naeve;pesaerepesaerpesaerdoxtaer
119320	Persian_Phonemic	nephew	pesær-bærɑdær/ pesær-xɑhær; bærɑdær-zɑde/ xɑhær-zɑde	pesaerbaerɑdaerpesaerxɑhaer;baerɑdaerzɑdexɑhaerzɑde
119313	Persian_Phonemic	granddaughter	doxtær-pesær/ doxtær-e doxtær	doxtaerpesaerdoxtaeredoxtaer
119321	Persian_Phonemic	niece	doxtær-bærɑdær/ doxtær-xɑhær; bærɑdær-zɑde/ xɑhær-zɑde	doxtaerbaerɑdaerdoxtaerxɑhaer;baerɑdaerzɑdexɑhaerzɑde
121628	Pilagá_Phonemic	school	napaʁagen-aʁaki l-apaʁagen-ataʁan-aʁaki	napaʁagenaʁakilapaʁagenataʁanaʁaki
128120	Qau_Kelao_Phonemic	embrace	laŋ.42 laŋ.35 no.42 pai.42 pəi.13 həŋ.42 na.35 ńi.35 ʔɛ.42	lanlannopaipəihənnaniʔe
128169	Qau_Kelao_Phonemic	foolish, stupid	no.35 mu.31 tau.31 mu.31 chai.42 mu.31 tau.31 mu.31 chai.42	nomutaumuchaimutaumuchai
134069	Russian_Phonemic	chili pepper	krasnyj stručkovyj perec	krasnyjstruckovyjperec
135415	Sanapaná_Dialect_Angaité_Phonemic	woman's dress	aktaɬnima nimaa alanaia	aktalnimanimaaalanaia
135736	Sanapaná_Dialect_Angaité_Phonemic	lend	inyankota sokhoi aptaɬimaa	inyankotasokhoiaptalimaa
135400	Sanapaná_Dialect_Angaité_Phonemic	silk	yitipipa apyakha pomahap	yitipipaapyakhapomahap
135983	Sanapaná_Dialect_Angaité_Phonemic	anxiety, worry	awanhi alyikwiyam akwaɬwok	awanhialyikwiyamakwalwok
135329	Sanapaná_Dialect_Angaité_Phonemic	boil (vb)	ankilyakɬiyakmi anwainka	ankilyakliyakmianwainka
135682	Sanapaná_Dialect_Angaité_Phonemic	carry-on-shoulder	ampinkinki apitik atsaikamaha	ampinkinkiapitikatsaikamaha
141148	Selkup_Phonemic	Monday	posukokɨlʸ čʸelɨ nedelʸaḳɨn	posukokiĮñelinedeĮakin
141147	Selkup_Phonemic	Sunday	selʸčʸɨmtælɨlʸ čʸelɨ nedelʸaḳɨn	seĮñimtaeliĮñelinedeĮakin
141940	Serbo.Croatian_Phonemic	fermented drink	fermentisano/ fermentirano piće	fermentisanofermentiranopice
142101	Serbo.Croatian_Phonemic	sweet potato	indijski krompir/ indijski krumpir	indijskikrompirindijskikrumpir
143143	Seri_Phonemic	grave, tomb	šīχ ʔakχ kmīʔ kiʔ ʔant an 'iʔom	siχʔakχkmiʔkiʔʔantaniʔom
143657	Seri_Phonemic	east	šāʔ kiʔ 'kʷmota ʔapχ i'ʔīp kiʔ īkp	saʔkiʔımotaʔapχiʔipkiʔikp
143658	Seri_Phonemic	west	šāʔ kiʔ kon'tita an 'īškim kiʔ īkp	saʔkiʔkontitaaniskimkiʔikp
143296	Seri_Phonemic	bracelet	'ʔanoɬ ʔa'kāiχ ʔaya'nopx it kʷkīx	ʔanolʔakaiχʔayanopxitıkix
154924	Spanish_Phonemic	have sexual intercourse	tener relaciones sexuales	tenerrelacionessexuales
155336	Spanish_Phonemic	carry-on-shoulder	llevar a la espalda/ en el hombro	llevaralaespaldaenelhombro
158114	Tacana_Phonemic	eleven	piada tonka piada ehaitiana	piadatonkapiadaehaitiana
284956	Telugu	to flee	uuDu; paraaru cittagincu; palaayanam awu, palaayanam cittagincu, palaayana mantram paThincu; paaripoowu, wenniccu 	uuDu;paraarucittagincu;palaayanamawu;palaayanamcittagincu;palaayanamantrampaThincu;paaripoowu;wenniccu
171740	Trinitario_Phonemic	widow	-emuimarahi semuinarahi	emuimarahisemuinarahi
177767	Tuyuca_Phonemic	twenty	pɨa-'bõ-peti pɨa-dɨ'po-peti-re	piabopetipiadipopetire
177765	Tuyuca_Phonemic	twelve	pɨa-'bõ-peti dɨ'po pɨa-'ga-pẽdĩ-pea-re	piabopetidipopiagapedipeare
177766	Tuyuca_Phonemic	fifteen	pɨa-'bõ-peti dɨ'po si'ka-dɨpo-peti-re	piabopetidiposikadipopetire
177764	Tuyuca_Phonemic	eleven	pɨa-'bõ-peti dɨ'po sika-'ga-pẽdĩ-pea-re	piabopetidiposikagapedipeare
181858	Waorani_Phonemic	deceit	babæ apæ̃-de-te dã-dõ kæ-dõ	babaeapaedetedadokaedo
181760	Waorani_Phonemic	week	ado-ke Wæ̃gõgĩ itædẽ	adokeWaegogiitaede
181994	Waorani_Phonemic	strife, quarrel	wæætedõ wæætẽ dã-da pĩĩ-dõ	waeaetedowaeaetedadapiido
181697	Waorani_Phonemic	twenty	õdõ-po tipæ̃-po-ga õdõ-wa tipæ̃-wa-a	odopotipaepogaodowatipaewaa
181696	Waorani_Phonemic	fifteen	õdõ-po tipæ̃-po-ga go õdõ-po æ̃bæ̃-po-ke	odopotipaepogagoodopoaebaepoke
183017	Wapishana_Phonemic	multitude, crowd	pʰidan-nau kʰasaˀbaʔɨkʰ-ĩĩ-pʰa-n	ķidannauĶasaBaʔiĶiiķan
183008	Wapishana_Phonemic	hundred	ˀbakʰaʔiaɨdaʔɨ pʰidan naanaa	BaĶaʔiaidaʔiķidannaanaa
188754	Yagua_Phonemic	cousin	taryĩwičĩ taryatuwičĩ	taryiwicitaryatuwici
189622	Yagua_Phonemic	Monday	hwayada hõtada runda	hwayadahotadarunda
188755	Yagua_Phonemic	ancestors	tãrihẽmi tãri munatyaway	tarihemitarimunatyaway
257465	Yaqui	the north	ta’ata aman komwechebetana	taataamankomwechebetana
195835	Yiddish_Phonemic	pound with fist	derlangen mit der fojst/mitn kulik	derlangenmitderfojstmitnkulik
197477	Yuwana_Phonemic	day-before-yesterday	'bãikabã ʰkʸato bai-tolã	baikabĻőatobaitola
197471	Yuwana_Phonemic	afternoon	ʰtilẽwã ʰkʸaka ikʸu bai-tolã	ŦilewĻőakaiőubaitola
197475	Yuwana_Phonemic	day-after-tomorrow	abale ʰyuwẽ ʰkʸato bai-tolã	abalÛyuwÛőatobaitola
