Name:   Tibetan
SIL classification:     Sino-Tibetan > Tibeto-Burman > Western Tibeto-Burman > Bodish > Central Bodish > Central
ISO 639-3 code: bod
WALS classification:    Family: Sino-Tibetan > Genus: Bodic
WALS coordinates:       29°50'N, 91°30'E
Compiler:       Anju Saxena
Data entry personnel:   David Karlander
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	dzam bu gliṅ	The Amazon is the longest river in the world.
S02.444	the older brother	jo jo, co co	My older brother is married, but my younger brother still lives at home.
S02.445	the younger brother	nu bu	My older brother is married, but my younger brother still lives at home.
S02.450	the sister	a che, a ce, a źe 	I have two sisters, one younger and one older than me.
S02.454	the older sister	-	My older sister is married, but my younger sister still lives at home.
S02.455	the younger sister	nu mo	My older sister is married, but my younger sister still lives at home.
S02.456	the sibling	spun	I have two siblings, one brother and one sister.
S02.4561	the older sibling	-	My older sibling is married, but my younger sibling still lives at home.
S02.4562	the younger sibling	og ma	My older sibling is married, but my younger sibling still lives at home.
S02.458	the twins	mtshe gñis	–
S02.460	the grandfather (paternal or maternal)	mes mes 	My grandfather is 80 years old.
S02.461	the old man	rgad po	That old man looks like my grandfather.
S02.470	the grandmother	*am rgas	My grandmother is 70 years old.
S02.471	the old woman	rgad mo, rgan mo	That old woman looks like my grandmother.
S02.4711	the grandparents	-	Only one of my grandparents is still alive.
S02.480	the grandson	tsha bo	My grandson is 5 years older than my granddaughter.
S02.490	the granddaughter	tsha mo	My grandson is 5 years older than my granddaughter.
S02.5000	the grandchild	tsha bo	By the time she died, she had 23 grandchildren.
S02.510	the uncle	a bo khu	I have two uncles, one on my father's side and one on my mother's side.
S02.511	the mother's brother	a źaṅ	–
S02.512	the father's brother	a bo khu	–
S02.520	the aunt	sru mo	–
S02.521	the mother's sister, aunt	ma chung, ane	–
S02.522	the father's sister, aunt	ne ne, ane 	–
S02.530	the nephew	bu	–
S02.540	the niece	bu mo	–
S02.5410	the sibling's child	tsha bo	–
S02.550	the cousin	nu bo, nu mo	–
S02.560	the ancestors	mes po, pha rgyud	–
S02.570	the descendants	rus	–
S02.610	the father-in-law (of a man)	skud po	–
S02.611	the father-in-law (of a woman)	skud po	–
S02.620	the mother-in-law (of a man)	a ma, sgyug mo 	–
S02.621	the mother-in-law (of a woman)	a ma, sgyug mo 	–
S02.6220	the parents-in-law	-	–
S02.630	the son-in-law (of a man)	bu thoṅ	–
S02.631	the son-in-law (of a woman)	bu thoṅ	–
S02.640	the daughter-in-law (of a man)	mna´ ma, tsha mo 	–
S02.641	the daughter-in-law (of a woman)	mna´ ma, tsha mo 	–
S02.6411	the child-in-law	-	–
S02.6412	the sibling-in-law	-	–
S02.710	the stepfather	pha g.yar	–
S02.720	the stepmother	ma g.yar	–
S02.730	the stepson	-	–
S02.740	the stepdaughter	-	–
S02.750	the orphan	da phrug, dwa phrug	–
S02.760	the widow	mo rkyaṅ	–
S02.770	the widower	-	–
S02.810	the relatives	yaṅ mi	–
S02.820	the family	khyim tshaṅ	–
S02.910	I	ṅa	–
S02.920	you (singular)	khyed (HON), khyod	–
S02.930	he/she/it	kho	–
S02.9310	he	kho raṅ	–
S02.9320	she	mo raṅ	–
S02.9330	it	de	–
S02.940	we	o raṅ	–
S02.941	we (inclusive)	ṅa tsho	–
S02.942	we (exclusive)	ṅa cag	–
S02.950	you (plural)	khyed tsho (HON), khyod tsho	–
S02.960	they	kho tsho	–
S02.99902	step-	-	–
S02.99903	the co-father-in-law	-	–
S02.99904	the co-mother-in-law	-	–
S02.99905	the father-in-law	skud po	–
S02.99906	the German	-	–
S02.99907	the Hungarian	-	–
S02.99908	the lover	rogs po, rogs mo 	–
S02.99909	the mother-in-law	a ma, sgyug mo 	–
S02.99910	the non-Gypsy	-	–
S02.99911	the parent’s elder brother	-	–
S02.99912	the parent’s elder sister	-	–
S02.99913	the parent’s younger brother	-	–
S02.99914	the parent’s younger sister	-	–
S02.99915	the Slovak	-	–
S02.99916	the spouse	bza' zla	–
S02.99917	the stepchild	-	–
S02.99918	the Vlax Gypsy	-	–
S03.110	the animal	sems can	On the small island they found rabbits, foxes, snakes, mice and many other animals.
S03.120	male(2)	pho	Only male lions have manes.
S03.130	female(2)	mo	Only female monkeys look after their offspring.
S03.150	the livestock	phyugs	–
S03.160	the pasture	rtswa kha	–
S03.180	the herdsman	rdzi	–
S03.190	the stable or stall	rta ra	–
S03.200	the cattle	phyugs nor	–
S03.210	the bull	khyu glaṅ	–
S03.220	the ox	glaṅ gog	–
S03.230	the cow	ba gog	–
S03.240	the calf	be'u	–
S03.250	the sheep	lug	The farmers raised sheep for wool and milk.
S03.260	the ram	pho drag	–
S03.280	the ewe	ma mo 	–
S03.290	the lamb	lu gu	–
S03.320	the boar	pho phag	The hunter shot the boar in the forest.
S03.340	the sow	mo phag	–
S03.350	the pig	phag	There are three pigs in the sty.
S03.360	the goat	ra ma	–
S03.370	the he-goat	ra pho, ra po	–
S03.380	the kid	ra gu, ri gu, re'u	–
S03.410	the horse	rta	The policeman mounted the horse and rode away.
S03.420	the stallion	rta pho	–
S03.440	the mare	rta mo	–
S03.450	the foal or colt	rte'u	–
S03.460	the donkey	boṅ bu	That donkey is almost as large as a horse.
S03.470	the mule	rta dre	–
S03.500	the fowl	gsos bya	–
S03.520	the cock/rooster	bya po, bya pho	The farmer owns ten hens but only two roosters.
S03.540	the hen	bya mo	The farmer owns ten hens but only two roosters.
S03.550	the chicken	bya de	–
S03.560	the goose	ṅaṅ pa	–
S03.570	the duck	dam bya	–
S03.580	the nest	bya tshaṅ	Many birds build nests in trees.
S03.581	the bird	bya	–
S03.582	the seagull	-	–
S03.583	the heron	-	–
S03.584	the eagle	glag	–
S03.585	the hawk	byi za mkhan	–
S03.586	the vulture	rgod	–
S03.591	the bat	pha waṅ	–
S03.592	the parrot	ne tso	–
S03.593	the crow	*ga rog	–
S03.594	the dove	phug ron	–
S03.596	the owl	ug pa	–
S03.5970	the cormorant 	-	–
S03.5980	the toucan	-	–
S03.610	the dog	khyi	–
S03.614	the rabbit	ri boṅ	–
S03.620	the cat	pi śi	–
S03.622	the opossum	-	–
S03.630	the mouse or rat	byi ba	–
S03.650	the fish	ña	–
S03.652	the fin	-	–
S03.653	the scale	ña khrab	–
S03.654	the gill	-	–
S03.655	the shell	-	–
S03.661	the shark	-	–
S03.662	the porpoise or dolphin	-	–
S03.663	the whale	-	–
S03.664	the stingray	-	–
S03.665	the freshwater eel	-	–
S03.710	the wolf	spyaṅ	–
S03.720	the lion	seṅ ge	–
S03.730	the bear	dom	–
S03.740	the fox	wa	–
S03.750	the deer	śawa	–
S03.760	the monkey	spre'u	–
S03.770	the elephant	glaṅ chen	–
S03.780	the camel	rṅa boṅ	–
S03.810	the insect	bu	–
S03.811	the head louse	-	–
S03.8112	the body louse	-	–
S03.812	the nit	sro ma	–
S03.813	the flea	khyi  śig	–
S03.814	the centipede	rkaṅ brgya pa	–
S03.815	the scorpion	sdig pa ra tsa	–
S03.816	the cockroach	-	–
S03.817	the ant	grog mo	–
S03.818	the spider	sdom	–
S03.819	the spider web	*ba bsla	–
S03.820	the bee	sbraṅ tsher	–
S03.821	the beeswax	sbraṅ tshil	–
S03.822	the beehive	sbraṅ tshaṅ	–
S03.823	the wasp	doṅ ze	–
S03.830	the fly	bu ba	–
S03.831	the sandfly or midge or gnat	-	–
S03.832	the mosquito	mug btsug ma	–
S03.8330	the prawns or shrimp	-	–
S03.8340	the termites 	grog ma	–
S03.8350	the tick	śig	–
S03.840	the worm	sbrul ba	–
S03.850	the snake	sbrul	–
S03.8620	the coyote	-	–
S03.8630	the hare	ri boṅ	–
S03.8650	the quail	-	–
S03.8660	the raccoon	-	–
S03.8690	the squirrel	sdoṅ bu	
S03.8710	the reindeer/caribou	-	–
S03.8720	the elk/moose	-	–
S03.8730	the beaver	-	–
S03.8800	the kangaroo	-	–
S03.8900	the anteater	-	–
S03.9000	the jaguar	gcan	–
S03.910	the firefly	bu me 'khyer	–
S03.9130	the chameleon	-	–
S03.9170	the buffalo	chu glaṅ	–
S03.920	the butterfly	phye leb	–
S03.930	the grasshopper	bu cha ga	–
S03.940	the snail	phye 'bu	–
S03.950	the frog	sbal pa	–
S03.960	the lizard	rtsaṅs pa	–
S03.970	the crocodile or alligator	chu srin	–
S03.980	the turtle	-	–
S03.9900	the tapir	-	–
S03.99902	the agouti	-	–
S03.99903	the amphibian	-	–
S03.99904	the Andean guinea pig	-	–
S03.99905	the Andean owl	-	–
S03.99906	the armadillo	-	–
S03.99907	the bandicoot	-	–
S03.99908	the barn owl	-	–
S03.99909	the bustard	-	–
S03.99910	the capibara	-	–
S03.99911	the caterpillar	lcaṅ srin	–
S03.99912	the codfish	-	–
S03.99913	the condor	-	–
S03.99917	the herd	khyu 	–
S03.99918	the hocco	-	–
S03.99919	the humming bird	-	–
S03.99920	the ibis	-	–
S03.99921	the iguana	-	–
S03.99922	the jabiru	-	–
S03.99923	the kingfisher	-	–
S03.99924	the louse	śig	–
S03.99925	the Maine lobster	-	–
S03.99926	the male pig	pho phag	–
S03.99928	the marail	-	–
S03.99929	the mole	-	–
S03.99930	the paca	-	–
S03.99931	the sleepyhead bird	-	–
S03.99932	the partridge	sreg pa	–
S03.99933	the pet	sgo phyugs	–
S03.99934	the piranha	-	–
S03.99935	the plover	-	–
S03.99936	the pouched marmot	-	–
S03.99937	the prairie dog	-	–
S03.99938	the roadrunner	-	–
S03.99939	the skunk	lkog dkar	–
S03.99940	the songbird	-	–
S03.99941	the sparrow	mchil phrug	–
S03.99942	the tiger	stag	–
S03.99943	the trumpeter bird	-	–
S03.99944	the chipmunk	-	–
S04.110	the body	gzugspo	–
S04.120	the skin or hide	pags bkogs	–
S04.130	the flesh	śa	–
S04.140	the hair	skra	–
S04.142	the beard	sma ra	–
S04.144	the body hair	ba spu	–
S04.145	the pubic hair	*rmu ba	–
S04.146	the dandruff	klog pa	–
S04.150	the blood	khrag	–
S04.151	the vein or artery	rtsa	–
S04.160	the bone	rus(-pa)	–
S04.162	the rib	rtsib ma	–
S04.170	the horn	rwa co	–
S04.180	the tail	rṅa ba	–
S04.190	the back	rgyab skuṅ	–
S04.191	the spine	sgal nag	–
S04.200	the head	mgo	–
S04.201	the temples	-	–
S04.202	the skull	thod pa	
S04.203	the brain	mgo klad	–
S04.204	the face	gdong	–
S04.205	the forehead	thod khog	–
S04.207	the jaw	dkan	The boxer punched his opponent on the jaw.
S04.208	the cheek	*gru tsos	–
S04.209	the chin	*lkog sko	–
S04.210	the eye	mig	–
S04.212	the eyebrow	smin pa	–
S04.213	the eyelid	spyan lpags	–
S04.214	the eyelash	gzi ma	–
S04.215	to blink	rdeb, brdabs	I blinked as I came out into the sunlight.
S04.220	the ear	rna-mchog	–
S04.221	the earlobe	rna bu	–
S04.222	the earwax	rna spag	–
S04.230	the nose	sna	–
S04.231	the nostril	sna khuṅ	–
S04.232	the nasal mucus	sna chu	–
S04.240	the mouth	kha	–
S04.241	the beak	mchu	–
S04.250	the lip	kha lpags	–
S04.260	the tongue	lce mo	–
S04.270	the tooth	so	–
S04.271	the gums	sñil, rñil	–
S04.272	the molar tooth	gram so	–
S04.280	the neck	ske ltag	–
S04.281	the nape of the neck	gña' ba	–
S04.290	the throat	ske phrug	–
S04.300	the shoulder	dpuṅ mgo	–
S04.301	the shoulderblade	sog pa	–
S04.302	the collarbone	-	–
S04.310	the arm	lag pa	–
S04.312	the armpit	mchan khug	–
S04.320	the elbow	khru mo	–
S04.321	the wrist	lag tshigs	–
S04.330	the hand	lag pa	–
S04.331	the palm of the hand	thal mo	–
S04.340	the finger	mdzub po	–
S04.342	the thumb	mthe rgan, mtheb rgan	–
S04.344	the fingernail	*gzer moṅ 	–
S04.345	the claw	sder mo 	The cat dug his claws into my leg.
S04.350	the leg	rkang pa	–
S04.351	the thigh	brla rkaṅ	–
S04.352	the calf of the leg	sgyid pa	–
S04.360	the knee	pis mo, pig mo	–
S04.370	the foot	rkang pa	–
S04.371	the ankle	rkaṅ tshigs	–
S04.372	the heel	rtiṅ	–
S04.374	the footprint	rkaṅ rjes	–
S04.380	the toe	bran mo 	–
S04.392	the wing	 śog pa, gśog pa	–
S04.393	the feather	sgro	–
S04.400	the chest	braṅ kha	–
S04.410	the breast	nu ma	–
S04.412	the nipple or teat	nu rdog	–
S04.420	the udder	bźos	–
S04.430	the navel	lte	–
S04.4310	the belly	pho chuṅ ma	–
S04.440	the heart	sñing	–
S04.441	the lung	glo ba	–
S04.450	the liver	mchin pa	–
S04.451	the kidney	mkhal ma	–
S04.452	the spleen	mcher pa	–
S04.460	the stomach	gsol grod	Her stomach could not digest the tough meat.
S04.461	the intestines or guts	grod chuṅ	–
S04.462	the waist	rked	–
S04.463	the hip	dpyi	–
S04.464	the buttocks	rkub dkyil	–
S04.4650	the sinew or tendon	rgyus kha	–
S04.470	the womb	mṅal	–
S04.490	the testicles	sgoṅ rdog	–
S04.492	the penis	mje	–
S04.4930	the vagina	rkub nag	–
S04.4940	the vulva	bya mchu	–
S04.510	to breathe	phyuṅ, dbyuṅ, phyuṅ	–
S04.520	to yawn	g.yal vi	–
S04.521	to hiccough	-	–
S04.530	to cough	khogs	–
S04.540	to sneeze	-	–
S04.550	to perspire	rṅul vi	–
S04.560	to spit	phaṅs	–
S04.570	to vomit	bskyugs	–
S04.580	to bite	drad	–
S04.590	to lick	ldag	–
S04.591	to dribble	-	Watch out, the baby is dribbling on your shirt!
S04.610	to sleep	gñid vi	–
S04.612	to snore	-	–
S04.620	to dream	*rmiṅ	–
S04.630	to wake up	sad, 'tshad vi	I wake up at seven every morning.
S04.640	to fart	-	–
S04.650	to piss	gtoṅ	–
S04.660	to shit	-	–
S04.670	to have sex	rgyo	–
S04.680	to shiver	dar vi	–
S04.690	to bathe	khru vi	She likes to bathe before going to bed.
S04.710	to beget	yod	–
S04.720	to be born	bltams vi (HON)	–
S04.730	pregnant	gñis rim, khog pa	–
S04.732	to conceive	khor vi	–
S04.740	to be alive	gson vi	I thought he was dead, but he's still alive.
S04.7410	the life	mi tshe	He had a good long life.
S04.750	to die	groṅs, 'groṅs vi	–
S04.7501	dead	si bo	–
S04.751	to drown	snub	The dog fell into the river and drowned.
S04.760	to kill	gsod	–
S04.770	the corpse	spur	–
S04.7710	the carcass	-	–
S04.780	to bury	skuṅ	–
S04.790	the grave	dur sa	–
S04.810	strong	 śugs can	She's a strong woman and can lift 50 kilos.
S04.820	weak	*rkya	He's so weak that he cannot even lift 5 kilos.
S04.830	healthy	khams bzaṅ	–
S04.840	sick/ill	nad pa	–
S04.841	the fever	drod ka	–
S04.842	the goitre/goiter	lba ba	–
S04.843	the cold	graṅ mo	He caught a cold after swimming in the lake at night.
S04.8440	the disease	sñuṅ	–
S04.850	the wound or sore	rma	–
S04.852	the bruise	-	–
S04.853	the swelling	bur bu	–
S04.854	the itch	-	The itch was caused by an insect bite.
S04.8541	to scratch	phrug	Don't scratch an insect bite!
S04.855	the blister	chu lgaṅs	–
S04.856	the boil	skraṅs	The boy's body is covered in boils.
S04.857	the pus	rnag	–
S04.858	the scar	rma rjes	–
S04.860	to cure	chos	The treatment cured the patient's illness.
S04.870	the physician	sman pa	–
S04.880	the medicine	gso sman	–
S04.890	the poison	kha dug	–
S04.910	tired	ṅal	–
S04.912	to rest	gzim	–
S04.920	lazy	gul mtsher	–
S04.930	bald	dbu ril, zlum po	–
S04.940	lame	rkaṅ kyog	–
S04.950	deaf	on pa	–
S04.960	mute	lkugs pa	–
S04.970	blind	źar gog	–
S04.980	drunk	chaṅ bzi	They became drunk after drinking too much beer.
S04.990	naked	*gan mo	The child does not like to wear clothes, and goes around naked.
S04.99901	barefoot	-	–
S04.99902	swollen	skraṅs po	–
S04.99903	the canine tooth	mche ba	–
S04.99904	the cholesterol	-	–
S04.99905	the dribble	-	–
S04.99906	the fist	khu rdzogs	–
S04.99907	the lap	paṅ, phaṅ	–
S04.99908	the metabolism	-	–
S04.99910	the saliva	thu	–
S04.99911	the scabies	rṅo	–
S04.99912	the strength	khyud	–
S04.99913	the umbilical cord	lte ba	–
S04.99914	to itch	bun, 'bun	–
S05.110	to eat	don	The child has eaten the fruit.
S05.120	the food	bza' btung	–
S05.121	cooked	tshod ma	Cooked bananas taste even better than raw bananas.
S05.122	raw	rjen pa	Cooked bananas taste even better than raw bananas.
S05.123	ripe		Unripe bananas have a green colour, whereas ripe bananas are yellow.
S05.124	unripe	can dwaṅ	Unripe bananas have a green colour, whereas ripe bananas are yellow.
S05.125	rotten	rul mkhan	a rotten apple or mango
S05.130	to drink	gsol vt	drink water
S05.140	to be hungry	sbribs	–
S05.141	the famine	zan dkon	–
S05.150	to be thirsty	skyem	–
S05.160	to suck	nu	The baby is sucking milk.
S05.180	to chew	cha'	This meat is so tough I can hardly chew it!
S05.181	to swallow	mid	You need to chew this meat well before you can swallow it.
S05.190	to choke	tshal vi	The smoke was choking the fire fighters./The assailant choked his victim.
S05.210	to cook	tshos vi	She was cooking a soup for her mother.
S05.220	to boil	-	The water is boiling.
S05.230	to roast or fry	slam	–
S05.240	to bake	chos	We are baking some bread.
S05.250	the oven	me doṅ	–
S05.260	the pot	thab zaṅs	He is cooking soup for the whole family in a big pot.
S05.270	the kettle	zaṅs ba	The water is boiling in the kettle.
S05.280	the pan	ta ba	–
S05.310	the dish	sder ma	–
S05.320	the plate	dkar sder	–
S05.330	the bowl	phor khog	–
S05.340	the jug/pitcher	zo lag	–
S05.350	the cup	ko re	–
S05.360	the saucer	kor stegs	–
S05.370	the spoon	źal thur	He ate the soup with a spoon. 
S05.380	the knife(1)	gri	–
S05.390	the fork	kha tse	–
S05.391	the tongs	dzin ma	–
S05.410	the meal	kha lag	Dinner is the main meal of the day for most people.
S05.420	the breakfast	kha bor	–
S05.430	the lunch	dros ja	–
S05.440	the dinner	nub tsha	–
S05.450	the supper		–
S05.460	to peel	*chil	This knife is good for peeling potatoes.
S05.470	to sieve or to strain	tshag	She strained the coffee before serving it.
S05.480	to scrape	thog	Scrape the carrots and slice them thinly.
S05.490	to stir or to mix	*skrul	–
S05.510	the bread	ta gir	–
S05.530	the dough	bag zan	–
S05.540	to knead	*skrag	Knead the dough for three minutes.
S05.550	the flour	phye	–
S05.560	to crush or to grind	gtul	–
S05.570	the mill	lag skor	–
S05.580	the mortar(1)	sgog po	–
S05.590	the pestle	*sgog kyoṅ	
S05.610	the meat	śa	–
S05.630	the sausage	phag rgyu	–
S05.640	the soup	jam	Clear chicken soup can relieve the symptoms of the common cold.
S05.650	the vegetables	sṅo	–
S05.660	the bean	sran ma	–
S05.700	the potato	źog khog	–
S05.710	the fruit	śiṅ tog, śiṅ thog	–
S05.712	the bunch	chag pa	–
S05.750	the fig	-	–
S05.760	the grape	rgun	–
S05.770	the nut	rtsi gu	–
S05.780	the olive	-	–
S05.790	the oil	snum	–
S05.791	the grease or fat	tshil mar	–
S05.810	the salt	tshwa	–
S05.820	the pepper	pho ba ri 	–
S05.821	the chili pepper	g.yer ma	–
S05.840	the honey	sbraṅ rtsi	–
S05.850	the sugar	ka ra, kha ra	–
S05.860	the milk	o ma	–
S05.870	to milk	-	–
S05.880	the cheese	chur ba, phyur ba	–
S05.890	the butter	mar	–
S05.900	the drink	skyems	–
S05.910	the mead	-	–
S05.920	the wine	chaṅ	–
S05.930	the beer	gsol chaṅ	–
S05.940	the fermented drink	-	–
S05.970	the egg	sgo(ng)-nga	–
S05.971	the yolk	-	–
S05.9830	the manioc bread	-	–
S05.99901	the fig tree	-	–
S05.99902	sated	-	–
S05.99903	the soy sauce	-	–
S05.99904	the ayahuasca	-	–
S05.99905	the bacon	-	–
S05.99906	the biscuit	-	–
S05.99907	the brandy	a rag	–
S05.99908	the cabbage	-	–
S05.99909	the cassava flour	-	–
S05.99910	the cream	spris kha	–
S05.99911	the Japanese fish cake	-	–
S05.99912	the jelly	dmar phig phig	–
S05.99913	the manioc juice	-	–
S05.99914	the mochi	-	–
S05.99915	the ramen noodles	thug pa	–
S05.99916	the rice ball or musubi	-	–
S05.99917	the roasted cassava meal	-	–
S05.99918	the smoked food	-	–
S05.99919	the tamale	-	–
S05.99920	the tofu or bean curd	-	–
S05.99921	the tortilla	-	–
S05.99922	the vinegar	tshu'u	–
S06.110	to put on	bsnams	The child can already put on his clothes by himself.
S06.120	the clothing or clothes	bkab cha	–
S06.130	the tailor	btsem mkhan	–
S06.210	the cloth	ras	–
S06.220	the wool	bal	–
S06.230	the linen	-	–
S06.240	the cotton	ras bal	–
S06.250	the silk	bu ras	–
S06.270	the felt	phyiṅ pa	–
S06.280	the fur	ko spub	–
S06.290	the leather	ko ba	–
S06.310	to spin	khal	–
S06.320	the spindle	phaṅ 'khor	–
S06.330	to weave	btags	–
S06.340	the loom	thags khri	–
S06.350	to sew	btsems	–
S06.360	the needle(1)	khab	–
S06.370	the awl	sñuṅ	–
S06.380	the thread	skud pa	–
S06.390	to dye	zlog	The weaver dyed the cloth bright red.
S06.410	the cloak	lwa	–
S06.411	the poncho	gzan	–
S06.420	the (woman's) dress	aṅ thuṅ	–
S06.430	the coat	tsha ru	–
S06.440	the shirt	gon mo	–
S06.450	the collar	goṅ ba	–
S06.460	the skirt	smad g.yogs	–
S06.461	the grass-skirt	-	–
S06.480	the trousers	rkaṅ snam	–
S06.490	the sock or stocking	u su	–
S06.510	the shoe	źabs 'bul	–
S06.520	the boot	źabs lham	–
S06.540	the shoemaker	lham 'debs	–
S06.550	the hat or cap	dbu źwa	–
S06.570	the belt	ske rags	–
S06.580	the glove	phyag śubs	–
