 Name:   Telugu
 SIL classification:     Dravidian > South-Central > Telugu
 ISO 639-3 code: tel
 WALS classification:    Family: Dravidian > Genus: South-Central Dravidian
 WALS coordinates:       16° N, 79° E
 Compiler        Anju Saxena
 Data entry personnel    David Karlander, Anju Saxena, K. Taraka Rama
 License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License


S01.100	the world	ila; kuwalayam; jagam, jagattu, jagati 	--	The Amazon is the longest river in the world.
S02.260	the girl	aaDaboTTe; kiśoori; kurradi; ammaayi	--	One day this girl will grow to be a woman.
S02.261	the young woman 	gubbeta, gubbalaaDi; jawaraalu; taruNi; nawayuwati; madhya 	--	--
S02.270	the child(1)	kasukaaya	little child	Many children were playing in the water. 
S02.280	the baby	bucci paapa, bujji paapa	little baby	She's still a baby and can only have milk.
S02.310	the husband	kaantuDu; jiiwiteeśuDu ; dhawuDu; naathuDu; pati; bharta	--	She married her husband last year.
S02.320	the wife	aalu; uuDha; kaLatram; jaani; bhaarya	--	He married his wife last year.
S02.330	to marry	peLL aaDu; karagrahaNam ceeyu; ceTTapaTTu; pariNayam aaDu, pariNayam ceesukonu; peLLaaDu, peLLi ceesukonu; peLLaaDu, peLLi ceesukonu 	--	She married a man 10 years her junior.
S02.340	the wedding	peLLi	--	When we were married, a thousand people came to the wedding.
S02.341	the divorce	wiDaakulu	--	After the divorce, he married another woman.
S02.350	the father	abba; ayya; janakuDu; taNDri; pita 	--	My father came home late last night.
S02.360	the mother	amma	--	My mother came home late last night.
S02.370	the parents	tallidaNDrulu, talidaNDrulu	--	My parents live in the village.
S02.380	the married man	-	--	As a married man he had more privileges. 
S02.390	the married woman	-	--	As a married woman she had more privileges.
S02.410	the son	aatmajuDu; kumaaruDu; koDuku 	--	I have one son and one daughter.
S02.420	the daughter	ammaayi; aatmaja: kumaari, kumaarte; kuuturu; cinnaari; tanaya; duhita; putri[ka]    	--	I have one son and one daughter.
S02.430	the child(2)	-	--	I have two children, a son and a daughter.
S02.440	the brother	-	--	I have two brothers, one younger and one older than me.
S02.444	the older brother	agrajuDu; agrajuDu	--	My older brother is married, but my younger brother still lives at home.
S02.445	the younger brother	tammuDu	--	My older brother is married, but my younger brother still lives at home.
S02.450	the sister	bhagini	--	I have two sisters, one younger and one older than me.
S02.454	the older sister	akka	--	My older sister is married, but my younger sister still lives at home.
S02.455	the younger sister	cellelu, celli, cellaayi, celle	these are formal, informal, affectionate and substandard terms respectively	My older sister is married, but my younger sister still lives at home.
S02.456	the sibling	-	--	I have two siblings, one brother and one sister.
S02.4561	the older sibling	-	--	My older sibling is married, but my younger sibling still lives at home.
S02.4562	the younger sibling	-	--	My older sibling is married, but my younger sibling still lives at home.
S02.458	the twins	kavalalu	--	–
S02.460	the grandfather	pitaamahuDu; maataamahuDu; taata	paternal/maternal	My grandfather is 80 years old.
S02.461	the old man	mudusali; musalayya; wṛddhuDu; musali waaDu	--	That old man looks like my grandfather.
S02.470	the grandmother	ammamma; awwa; naayanamma; baamma, maamm; maataamahi	ammamma n. grandmother, mother's mother; naayanamma n. 1 grandmother, father's mother; , baamma, maamma I. n. 1 father's mother, grandmother; 	My grandmother is 70 years old.
S02.471	the old woman	awwa; muttawwa; musalamma 	--	That old woman looks like my grandmother.
S02.4711	the grandparents	-	--	Only one of my grandparents is still alive.
S02.480	the grandson	dawhitruDu; pawtruDu; manumaDu, manamaDu 	dawhitruDu n. class. grandson, daughter's son; pawtruDu n. grandson, son's son.	My grandson is 5 years older than my granddaughter.
S02.490	the granddaughter	dawhitri; pawtri; manumaraalu, manamaraalu 	dawhitri n. class. granddaughter, daughter's daughter; pawtri n. granddaughter, son's daughter.	My grandson is 5 years older than my granddaughter.
S02.5000	the grandchild	manawaDu/manawaraalu	--	By the time she died, she had 23 grandchildren.
S02.510	the uncle	-	--	I have two uncles, one on my father's side and one on my mother's side.
S02.511	the mother's brother	maama, maawa; meenamaama	--	–
S02.512	the father's brother	kakka; daaddayya, dadda; doDDayya; pinataNDri; pettaNDri, peddayya 	(kakka; daaddayya, dadda; pinataNDri)  = father's younger brother; (doDDayya; pettaNDri, peddayya ) = father's younger brother	–
S02.520	the aunt	pinatalli; meenatta	meenatta n. paternal aunt, father's sister.	–
S02.521	the mother's sister	peddamma; doDDamma; pinni	First two corresponder elder and the last one to younger	–
S02.522	the father's sister	atta	--	–
S02.530	the nephew	meenalluDu	--	–
S02.540	the niece	meenakooDalu	--	–
S02.5410	the sibling's child	-	--	–
S02.550	the cousin	-	--	–
S02.560	the ancestors	wamśapuurwikuDu	SG	–
S02.570	the descendants	awrasaputruDu; wamśasthuDu	SG	–
S02.610	the father-in-law (of a man)	-	--	–
S02.611	the father-in-law (of a woman)	-	--	–
S02.620	the mother-in-law (of a man)	-	--	–
S02.621	the mother-in-law (of a woman)	-	--	–
S02.6220	the parents-in-law	atta maamalu	--	–
S02.630	the son-in-law (of a man)	alluDu, jaamaata	--	–
S02.631	the son-in-law (of a woman)	alluDu, jaamaata	--	–
S02.640	the daughter-in-law (of a man)	kooDalu; wadhuuTi 	--	–
S02.641	the daughter-in-law (of a woman)	kooDalu; wadhuuTi 	--	–
S02.6411	the child-in-law	-	--	–
S02.6412	the sibling-in-law	-	--	–
S02.710	the stepfather	-	--	–
S02.720	the stepmother	pinatalli; maaru[Ti]talli; sawatitalli, sawititalli 	--	–
S02.730	the stepson	-	--	–
S02.740	the stepdaughter	-	--	–
S02.750	the orphan	anaatha	--	–
S02.760	the widow	kunka; tempi; muNDa, booDemma; moopi; witantuwu; widhawa; wedhawa 	--	–
S02.770	the widower	widuruDu	--	–
S02.810	the relatives	cuTTapakkaalu	--	–
S02.820	the family	iNTillipaadi	--	–
S02.910	I	neenu	--	–
S02.920	you (singular)	niiwu, nuwwu; miiru 	miiru personal pron., polite sing. or pl. you.	–
S02.930	he/she/it	-	--	–
S02.9310	he	itaDu, itanu; waaDu 	--	–
S02.9320	she	adi; addi; aame; idi 	--	–
S02.9330	it	adi; addi; idi	--	–
S02.940	we	-	--	–
S02.941	we (inclusive)	manam	--	–
S02.942	we (exclusive)	meem[u]	--	–
S02.950	you (plural)	miiru	miiru personal pron., polite sing. or pl. you.	–
S02.960	they	waaru; wiiru, wiiLLu 	--	–
S02.99905	the father-in-law	alluDu, jaamaata	--	--
S02.99906	the German	-	--	--
S02.99907	the Hungarian	-	--	--
S02.99909	the mother-in-law	atta	--	--
S02.99916	the spouse	-	--	--
S02.99917	the stepchild	-	--	--
S03.110	the animal	goDDu; jantuwu; tiryakku; duSTamṛgam .	duSTamṛgam n. wild animal, beast of prey.	On the small island they found rabbits, foxes, snakes, mice and many other animals.
S03.120	male(2)	gaNDu	--	Only male lions have manes.
S03.130	female(2)	peNTi	--	Only female monkeys look after their offspring.
S03.150	the livestock	pasugaNam	--	–
S03.160	the pasture	kance; paccika; biiDu; meeta 	--	–
S03.180	the herdsman	gollawaaDu ; goopaal[ak]uDu	--	–
S03.190	the stable or stall	laayam; saahiNam 	--	–
S03.200	the cattle	sommulu	dialectal	–
S03.210	the bull	aambootu; aabootu; ṛSabham; gooNi; wṛSabham 	--	–
S03.220	the ox	eddu	--	--
S03.230	the cow	goowu; paśuwu 2: 	--	–
S03.240	the calf	tuwwaayi; duDDe; duuDa 	--	–
S03.250	the sheep	gorre	--	The farmers raised sheep for wool and milk.
S03.260	the ram	uraNam; gorrepootu, gorrepoTTeelu; poTTeelu, poTeelu; meeSam	--	–
S03.280	the ewe	-	--	–
S03.290	the lamb	gorrepilla	--	–
S03.320	the boar	waraaham; waalumekam	--	The hunter shot the boar in the forest.
S03.340	the sow	-	--	–
S03.350	the pig	pandi	--	There are three pigs in the sty.
S03.360	the goat	meeka	--	–
S03.370	the he-goat	eeTa; meekapootu 	--	–
S03.380	the kid	meekapilla	--	–
S03.410	the horse	aśwam; keesari; gurram; ghooTakam; pancakalyaaNi, pancakaLyaaNi; waaji 	--	The policeman mounted the horse and rode away.
S03.420	the stallion	magajaati aśwam 	--	–
S03.440	the mare	gooDiga	--	–
S03.450	the foal or colt	gurrappilla	--	–
S03.460	the donkey	kharam; gardabham, gaardabham; gaaDida, gaaDide; lambakarNam 	--	That donkey is almost as large as a horse.
S03.470	the mule	kancaragaaDida	--	–
S03.500	the fowl	kooDi	--	–
S03.520	the cock/rooster	kooDipunju; punju 	--	The farmer owns ten hens but only two roosters.
S03.540	the hen	kooDipeTTa; peTTa 	--	The farmer owns ten hens but only two roosters.
S03.550	the chicken	kooDipilla	--	–
S03.560	the goose	-	--	–
S03.570	the duck	baatu	--	–
S03.580	the nest	-	--	Many birds build nests in trees.
S03.581	the bird	kiiram; khagam; kheecara[m]; pakSi; patangam; piTTa 	--	–
S03.582	the seagull	-	--	–
S03.583	the heron	bakam	crane, heron	–
S03.584	the eagle	poolaDu; gadda	--	–
S03.585	the hawk	śyeenam	hawk, falcon	–
S03.586	the vulture	gṛdhram; bandu; raabandu 	--	–
S03.591	the bat	gabbilam	--	–
S03.592	the parrot	kiiram; cilaka, ciluka; śatapatra; śukam	--	–
S03.593	the crow	kaaki; waayasam 	--	–
S03.594	the dove	kapootam; guwwa; paawuram, paawuraayi 	--	–
S03.596	the owl	uluukam; guDLa guuba; guuba; ghuukam; diwaandham; peddapulugu 	--	–
S03.5970	the cormorant 	-	--	–
S03.5980	the toucan	-	--	–
S03.610	the dog	kukka; graamasimham; beepi 	--	–
S03.614	the rabbit	--	--	–
S03.620	the cat	pilli; biDaalam; maarjaalam 	--	–
S03.622	the opossum	-	--	–
S03.630	the mouse or rat	ciTTeluka; cuNDeluka // eluka, elaka; khanakam  //muuSikam 	mouse // rat // rat/mouse	–
S03.650	the fish	ceepa	--	–
S03.652	the fin	ceeparekka	--	–
S03.653	the scale	polusu	--	–
S03.654	the gill	moppa	--	–
S03.655	the shell	gawwa	--	–
S03.661	the shark	sora, soraceepa	--	–
S03.662	the porpoise or dolphin	-	--	–
S03.663	the whale	timingalam	--	–
S03.664	the stingray	-	--	–
S03.665	the freshwater eel	waalugapaamu	a kind of eel	–
S03.710	the wolf	tooDeelu; wṛkam 	--	–
S03.720	the lion	kaNThiirawam; keesari; mṛgapati, mṛgaraaju; simham	--	–
S03.730	the bear	ṛkSam; elugu 	--	–
S03.740	the fox	guNTanakka	--	–
S03.750	the deer	irri; kurangam; mṛgam	--	–
S03.760	the monkey	kapi; kooti; tippatimmari; markaTam; muccu; laanguuli; waanaram, waanaruDu; śaakhaamṛgam 	--	–
S03.770	the elephant	eenugu; kari; kunjaram; gajam; 	--	–
S03.780	the camel	uSTram; oNTe; loTipiTa, loTipiTTa 	loTipiTa, loTipiTTa n. (obsolete) camel.	–
S03.810	the insect	kiiTakam; krimi; purugu	--	–
S03.811	the head louse	iipi, iiru; peenu 	louse	–
S03.8112	the body louse	iipi, iiru; peenu 	louse	–
S03.812	the nit	iipi, iiru; peenuguDDu, peenupilla 	--	–
S03.813	the flea	matkuNam	bug, flea	–
S03.814	the centipede	jerri, jerripootu; rookaTibaNDa; śatapadi, śatapaadajiiwi 	--	–
S03.815	the scorpion	teelu; wṛścikam	--	–
S03.816	the cockroach	bariNe purugu; boddinka 	--	–
S03.817	the ant	ciima; pipiili, pipiila, pipiilikam; luuta  	--	–
S03.818	the spider	iigapuli; luuta; saaliinaa, saalepurugu 	--	–
S03.819	the spider web	saaleguuDu, saalepaTTu	--	–
S03.820	the bee	tummeda; teeneTiiga; madhukaram, madhupam 	--	–
S03.821	the beeswax	maynam	wax	–
S03.822	the beehive	-	--	–
S03.823	the wasp	-	--	–
S03.830	the fly	iiga; makSikam 	--	–
S03.831	the sandfly or midge or gnat	maśakam	--	–
S03.832	the mosquito	dooma	--	–
S03.8330	the prawns or shrimp	royya	--	–
S03.8340	the termites 	ceda, cada	--	–
S03.8350	the tick	koNuju; goomaari 	 	–
S03.840	the worm	krimi	--	–
S03.850	the snake	kaakoodaram; ciluwa; naagam; pannagam; paamu 	--	–
S03.8620	the coyote	-	--	–
S03.8630	the hare	kundeelu; cewulapilli; śaśa[ka]m 	--	–
S03.8650	the quail	puuriiDupiTTa	--	–
S03.8660	the raccoon	-	--	–
S03.8690	the squirrel	uDuta, uData	--	--
S03.8710	the reindeer/caribou	-	--	–
S03.8720	the elk/moose	-	--	–
S03.8730	the beaver	-	--	–
S03.8800	the kangaroo	-	--	–
S03.8900	the anteater	-	--	*–
S03.9000	the jaguar	-	--	–
S03.910	the firefly	miNuguru purugu	--	–
S03.9130	the chameleon	uusarawelli	--	–
S03.9170	the buffalo	enum[u], enubootu; kaarupootu, kaarenumu; kurra; kodama; gamiDi geede; goDDu; gawDigeede; dukkipootu; dunna[pootu]; paDDa;  barre; lulaayam	enum[u] n. she buffalo. enubootu n. male buffalo. aarupootu n. wild buffalo (male) kaarenumu n. wild buffalo (female) kurra I. n. 1 boy, child. 2 young male buffalo. kodama I. n. young male buffalo gamiDi geede n. buffalo of large size such as a murra buffalo. geede n. she buffalo. goDDu I. n. 1 beast, animal. 2 head of cattle, buffalo. gawDigeede n. large kind of buffalo. dukkipootu n. ploughing buffalo. dunna[pootu] n. he buffalo. paDDa1 n. 1 three year old female buffalo. barre n. she buffalo. lulaayam n. class. wild buffalo.	–
S03.920	the butterfly	siitaakookaciluka	--	–
S03.930	the grasshopper	kiicuraayi; gollabhaama; miData; śalabham  	--	–
S03.940	the snail	natta; bankapurugu 	--	–
S03.950	the frog	kappa; bheekam; maNDuukam 	--	–
S03.960	the lizard	balli	--	–
S03.970	the crocodile or alligator	makara[m]; mosali 	--	–
S03.980	the turtle	kuurmam; taabeelu, taambeelu 	--	–
S03.9900	the tapir	-	--	–
S03.99933	the pet	-	--	--
S03.99941	the sparrow	picika, piccuka, piciki	--	--
S03.99942	the tiger	peddapuli; bebbuli; muwwannemekam; wyaaghram; śaarduulam; puli	--	--
S04.110	the body	angam, aatma, oLLu, kaLeebaram; śariiram	kaLeebaram n. 1 body. 2 corpse.	–
S04.120	the skin or hide	taaTa; charmam	--	–
S04.130	the flesh	kaNDa; ciyya; maamsam	--	–
S04.140	the hair	kuntalam; kurulu; keeśam; juTTu	--	–
S04.142	the beard	gaDDam, geDDam; daaDi 	--	–
S04.144	the body hair	boccu; roomam 	--	–
S04.145	the pubic hair	śaSpam	colloq.	–
S04.146	the dandruff	cuNDu, cuNDru	--	–
S04.150	the blood	netturu	--	–
S04.151	the vein or artery	raktanaaLam	--	–
S04.160	the bone	asthi, asthika; bomike; śalyam 	--	–
S04.162	the rib	pakkemuka; parsuka 	--	–
S04.170	the horn	kommu; wiSaaNam	--	–
S04.180	the tail	tooka; puccham; laanguulam; waalam 	--	–
S04.190	the back	wiipu; wennu 	--	–
S04.191	the spine	wennupuusa, wennemuka, wennupaTTe; wennu	--	–
S04.200	the head	uttamaangam; burra; masta[ka]m; tala	--	–
S04.201	the temples	kaNata	--	–
S04.202	the skull	kapaalam; karparam; pucce; puNiki; purre; burra; masta[ka]m 	--	--
S04.203	the brain	mastiSkam; medaDu 	--	–
S04.204	the face	Aasyam; mukham; mogamu; moomu	--	–
S04.205	the forehead	nuduru; nosalu, noSTa; phaalam, phaalabhaagam 	--	–
S04.207	the jaw	dawaDa, dawaDa; hanuwu 	--	The boxer punched his opponent on the jaw.
S04.208	the cheek	kapoolam; cempa, cekkili; dawaDa, dawaDa; bugga 	--	–
S04.209	the chin	gaDDam, geDDam; cubukam, cibukam 	--	–
S04.210	the eye	akSi; kalikam; kannu	--	–
S04.212	the eyebrow	kanuboma, kanubomma; bomma 	--	–
S04.213	the eyelid	kanureppa; reppa 	--	–
S04.214	the eyelash	pakSmam	--	–
S04.215	to blink	ciikirincu; pulukupuluku cuucu; pulukupuluku cuucu 	--	I blinked as I came out into the sunlight.
S04.220	the ear	karNam; cewi 	--	–
S04.221	the earlobe	tamme	--	–
S04.222	the earwax	gubili, gulimi	--	–
S04.230	the nose	naasika; mukku	--	–
S04.231	the nostril	mukkurandhram	--	–
S04.232	the nasal mucus	ciimiDi, ciimuDu; simhaaNam	--	–
S04.240	the mouth	aasyam; nooru; muuti	--	–
S04.241	the beak	mukku	--	–
S04.250	the lip	adharam; awDu, ooSTham; pedawi; 	--	–
S04.260	the tongue	toNDam; naalika, naaluka 	--	–
S04.270	the tooth	dantam; pannu; palu 	--	–
S04.271	the gums	ciguLLu;	ciguru for singular	–
S04.272	the molar tooth	-	--	–
S04.280	the neck	gaLam; griiwam; meDa 	--	–
S04.281	the nape of the neck	mucciliguNTa	--	–
S04.290	the throat	kaNTham; kutika, kuttuka; gaLam;gontu[ka] ; griiwam 	--	–
S04.300	the shoulder	bhujam, bhujakiirti; bhujaskandham 	bhujaskandham n. class. shoulder.	–
S04.301	the shoulderblade	-	--	–
S04.302	the collarbone	jatruwu	--	–
S04.310	the arm	karam; ceyyi, ceeyi; baahuwu 	karam n. class. hand, arm;	–
S04.312	the armpit	canka; cakkili; baahumuulam 	--	–
S04.320	the elbow	muDuku, muNuku, muDusu; mooceyyi 	--	–
S04.321	the wrist	maNikaTTu	--	–
S04.330	the hand	karam; ceyyi, ceeyi; baahuwu; hastam 	karam n. class. hand, arm; hastam n. 1 class. hand.	–
S04.331	the palm of the hand	araceeyi, ariceeyi; karatalam 	--	–
S04.340	the finger	anguLi; ceetiweelu 	--	–
S04.342	the thumb	anguSTam ; boTanaweelu	--	–
S04.344	the fingernail	gooru; nakham 	--	–
S04.345	the claw	gooru; nakham 	--	The cat dug his claws into my leg.
S04.350	the leg	kaalu	--	–
S04.351	the thigh	utsangam; uuruwu; toNTi; pikka 	--	–
S04.352	the calf of the leg	jangha; pikka 	--	–
S04.360	the knee	jaanuwu; muDuku, muNuku, muDusu; mookaalu 	jaanuwu n. class. knee.	–
S04.370	the foot	aDugu; kaalu 	--	–
S04.371	the ankle	gulpham, gulbham; ciilamaNDa ; maNDa; siilamaNDa 	--	–
S04.372	the heel	maDama	--	–
S04.374	the footprint	anja; aDugujaaDa;	--	–
S04.380	the toe	anguLi; anguLi; mungaalu	--	–
S04.392	the wing	pakSam,pakSmam; rekka 	--	–
S04.393	the feather	iika; parNam 	--	–
S04.400	the chest	uram, urassu; edururommu; guNDe; chaatii; rommu; wakSasthalam 	--	–
S04.410	the breast	uroojam; kucam; canukaTTu, cannu; baayi 	--	–
S04.412	the nipple or teat	cannu; cucukam, cuucukam; stanam 	--	–
S04.420	the udder	uudham, uudhassu 	n. class. udder.	–
S04.430	the navel	pokkili; boDDu 	--	–
S04.4310	the belly	jaTharam; poTTa; bojja 	--	–
S04.440	the heart	antaḥkaraNa[m]; antarangam, antaraantaraalu; antassu; aantaryam; ullam  	antaraantaraalu n.pl. 1 heart.	–
S04.441	the lung	uupirititti; puppusam; śwaasakoośam	--	–
S04.450	the liver	kaarijam; kaaleeyam 	kaarijam n. class liver.	–
S04.451	the kidney	muutrapiNDam	--	–
S04.452	the spleen	gulmam; pliiham 	--	–
S04.460	the stomach	annakoośam; aamaaśayam; udaram; kaDupu; kukSi; garbham; jiirNakoośam; poTTa 	annakoośam n. zool. stomach.	Her stomach could not digest the tough meat.
S04.461	the intestines or guts	p[r]eegu	--	–
S04.462	the waist	naDum; mola 	--	–
S04.463	the hip	toNTi1, tuNTi	--	–
S04.464	the buttocks	pirra	--	–
S04.4650	the sinew or tendon	snaayubandhanam	--	–
S04.470	the womb	kaDupu; kaalagarbham; garbham; jaTharam ; yooni 	--	–
S04.490	the testicles	aNDakoośam; picca, piccakaaya; biijam; wṛSaNam; śukraaśayam 	--	--
S04.492	the penis	culla, culli; bulla[kaaya], bullapaNDu; śiśinam 	, bulla[kaaya], bullapaNDu n. (used with ref. to a child) penis.	–
S04.4930	the vagina	kutta; pangu; bhagam; yooni	--	–
S04.4940	the vulva	-	--	–
S04.510	to breathe	uudu; uupiritiiyu; gukkatippukonu;dammukoTTu, dammupaTTu, dammupiilcu, dammulaagu; niśwasincu; piilcu 	dammukoTTu, dammupaTTu, dammupiilcu, dammulaagu v.t. to breathe in, inhale; niśwasincu v.i. to breathe out, exhale; piilcu v.t. 1 to breathe in, inhale;	–
