Name:   Nepali
SIL classification:     Indo-European > Indo-Iranian > Indo-Aryan > Northern zone > Eastern Pahari > Nepali
ISO 639-3 code: nep
WALS classification:    Family: Indo-European > Genus: Indic
WALS coordinates:       28° N, 85° E
Compiler:       Anju Saxena
Data entry personnel:   Anju Saxena
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	pṛthibī	The Amazon is the longest river in the world.
S02.445	the younger brother	bhāi 	My older brother is married, but my younger brother still lives at home.
S02.450	the sister	bahini	I have two sisters, one younger and one older than me.
S02.454	the older sister	didī 	My older sister is married, but my younger sister still lives at home.
S02.455	the younger sister	bahinī 	My older sister is married, but my younger sister still lives at home.
S02.456	the sibling	-	I have two siblings, one brother and one sister.
S02.458	the twins	-	–
S02.460	the grandfather	bājē 	My grandfather is 80 years old.
S02.461	the old man	būḍhō 	That old man looks like my grandfather.
S02.470	the grandmother	bajyai 	My grandmother is 70 years old.
S02.471	the old woman	būḍhī 	That old woman looks like my grandmother.
S02.480	the grandson	nāti 	My grandson is 5 years older than my granddaughter.
S02.490	the granddaughter	nātinī 	My grandson is 5 years older than my granddaughter.
S02.510	the uncle	-	I have two uncles, one on my father's side and one on my mother's side.
S02.511	the mother's brother	māmā 	–
S02.512	the father's brother	-	–
S02.520	the aunt	phupu; thuliàmà; kánchhi ámá	paternal; mother's elder sister; mother's younger sister;
S02.521	the mother's sister	-	–
S02.522	the father's sister	phupū 	–
S02.530	the nephew	bhatijō or bhānjā	–
S02.540	the niece	bhatijī or bhānjī	–
S02.550	the cousin	-	–
S02.560	the ancestors	pukhār 	–
S02.570	the descendants	-	–
S02.610	the father-in-law (of a man)	sasurā	–
S02.611	the father-in-law (of a woman)	sasurā	–
S02.620	the mother-in-law (of a man)	sāsū	–
S02.621	the mother-in-law (of a woman)	sāsū	–
S02.630	the son-in-law (of a man)	juvāi	–
S02.631	the son-in-law (of a woman)	juvāi	–
S02.640	the daughter-in-law (of a man)	buhārī	–
S02.641	the daughter-in-law (of a woman)	buhārī	–
S02.710	the stepfather	-	–
S02.720	the stepmother	-	–
S02.730	the stepson	-	–
S02.740	the stepdaughter	-	–
S02.750	the orphan	anātha	–
S02.760	the widow	bidhavā	–
S02.770	the widower	-	–
S02.810	the relatives	paribāra	–
S02.820	the family	jahāna	–
S02.910	I	āphū	–
S02.920	you (singular)	timī 	–
S02.930	he/she/it	yō	–
S02.940	we	āphū	–
S02.941	we (inclusive)	-	–
S02.942	we (exclusive)	-	–
S02.950	you (plural)	-	–
S02.960	they	tī 	–
S03.110	the animal	janāvara	On the small island they found rabbits, foxes, snakes, mice and many other animals.
S03.120	male(2)	boka	Only male lions have manes.
S03.130	female(2)	murli	Only female monkeys look after their offspring.
S03.150	the livestock	-	–
S03.160	the pasture	-	–
S03.180	the herdsman	gothálà	–
S03.190	the stable or stall	-	–
S03.200	the cattle	gaibastu	–
S03.210	the bull	sān̐ḍhē	–
S03.220	the ox	goru	–
S03.230	the cow	gāī	–
S03.240	the calf	bāchō	–
S03.250	the sheep	bhēṇḍā	The farmers raised sheep for wool and milk.
S03.260	the ram	bhēṇḍā	–
S03.280	the ewe	bhenri	–
S03.290	the lamb	-	–
S03.320	the boar	-	The hunter shot the boar in the forest.
S03.340	the sow	sun̐gunīr	–
S03.350	the pig	sun̐gura	There are three pigs in the sty.
S03.360	the goat	bākhrō	–
S03.370	the he-goat	-	–
S03.380	the kid	bákhráko pátho	–
S03.410	the horse	ghorá	The policeman mounted the horse and rode away.
S03.420	the stallion	-	–
S03.440	the mare	-	–
S03.450	the foal or colt	-	–
S03.460	the donkey	gadhā	That donkey is almost as large as a horse.
S03.470	the mule	khachchar	–
S03.500	the fowl	chará	–
S03.520	the cock/rooster	bhālē	The farmer owns ten hens but only two roosters.
S03.540	the hen	kukhurā	The farmer owns ten hens but only two roosters.
S03.550	the chicken	ciṅnā	–
S03.560	the goose	hām̐sa	–
S03.570	the duck	hām̐sa	–
S03.580	the nest	gunr	Many birds build nests in trees.
S03.581	the bird	carā	–
S03.582	the seagull	-	–
S03.583	the heron	bakullā	–
S03.584	the eagle	garul; bárphorá	–
S03.585	the hawk	báj	–
S03.586	the vulture	giddha	–
S03.591	the bat	chamero	–
S03.592	the parrot	sugā	–
S03.593	the crow	kāga	–
S03.594	the dove	ḍhukura	–
S03.596	the owl	ullū	–
S03.610	the dog	kukura	–
S03.614	the rabbit	kharāyō	–
S03.620	the cat	birālō	–
S03.622	the opossum	-	–
S03.630	the mouse or rat	musá	–
S03.650	the fish	māchā	–
S03.652	the fin	-	–
S03.653	the scale	-	–
S03.654	the gill	-	–
S03.655	the shell	bokrá	–
S03.661	the shark	-	–
S03.662	the porpoise or dolphin	-	–
S03.663	the whale	-	–
S03.664	the stingray	-	–
S03.665	the freshwater eel	-	–
S03.710	the wolf	bvanso	–
S03.720	the lion	siṃha	–
S03.730	the bear	bhālu	–
S03.740	the fox	phyāurō	–
S03.750	the deer	mirga	–
S03.760	the monkey	bān̐dara	–
S03.770	the elephant	hāttī	–
S03.780	the camel	ūn̐ṭa	–
S03.810	the insect	kīrā	–
S03.811	the head louse	jumrā	–
S03.812	the nit	-	–
S03.813	the flea	upiyā	–
S03.814	the centipede	-	–
S03.815	the scorpion	bicchī	–
S03.816	the cockroach	sángli kira	–
S03.817	the ant	kamilā	–
S03.818	the spider	mākurō	–
S03.819	the spider web	jālō	–
S03.820	the bee	maurī	–
S03.821	the beeswax	-	–
S03.822	the beehive	ghāra	–
S03.823	the wasp	bārulā	–
S03.830	the fly	jhiṅgā	–
S03.831	the sandfly or midge or gnat	-	–
S03.832	the mosquito	lámkhutte; mas	–
S03.840	the worm	kīrā	–
S03.850	the snake	sām̐pa	–
S03.910	the firefly	junkiri	–
S03.920	the butterfly	putalī	–
S03.930	the grasshopper	-	–
S03.940	the snail	-	–
S03.950	the frog	bhyāgutō	–
S03.960	the lizard	chhepáro	–
S03.970	the crocodile or alligator	gōhī	–
S03.980	the turtle	kachuvā	–
S04.110	the body	jīu	–
S04.120	the skin or hide	chālā	–
S04.130	the flesh	māsu	–
S04.140	the hair	kapāla	–
S04.142	the beard	dāhrī	–
S04.144	the body hair	-	–
S04.145	the pubic hair	jān̐ṭhā	–
S04.146	the dandruff	-	–
S04.150	the blood	ragata	–
S04.151	the vein or artery	nāḍī	–
S04.160	the bone	hāḍa	–
S04.162	the rib	karaṅa	–
S04.170	the horn	siṅga	–
S04.180	the tail	pucchara	–
S04.190	the back	ḍhāḍa	–
S04.191	the spine	-	–
S04.200	the head	ṭāukō	–
S04.201	the temples	-	–
S04.202	the skull	dimāga	–
S04.203	the brain	gidī	–
S04.204	the face	anuhāra	–
S04.205	the forehead	nidhāra	–
S04.207	the jaw	bangáro	The boxer punched his opponent on the jaw.
S04.208	the cheek	gālā	–
S04.209	the chin	ciun̐ḍō	–
S04.210	the eye	ánkhá	–
S04.212	the eyebrow	ánkhi bhuni	–
S04.213	the eyelid	palak	–
S04.214	the eyelash	parēlā	–
S04.215	to blink	jhimajhima	I blinked as I came out into the sunlight.
S04.220	the ear	kāna	–
S04.221	the earlobe	-	–
S04.222	the earwax	-	–
S04.230	the nose	nákh	–
S04.231	the nostril	nákh ko chhenr	–
S04.232	the nasal mucus	singàn	–
S04.240	the mouth	mukha	–
S04.241	the beak	mukha	–
S04.250	the lip	ōṭha	–
S04.260	the tongue	jibrō	–
S04.270	the tooth	dān̐ta	–
S04.271	the gums	gijā	–
S04.272	the molar tooth	-	–
S04.280	the neck	galá; ghichro	–
S04.281	the nape of the neck	gadarna	–
S04.290	the throat	ghanti; ghati	–
S04.300	the shoulder	kān̐dha	–
S04.301	the shoulderblade	-	–
S04.302	the collarbone	-	–
S04.310	the arm	hāta	–
S04.312	the armpit	kaakhii	–
S04.320	the elbow	kuhinō	–
S04.321	the wrist	nāḍī 	–
S04.330	the hand	hāta	–
S04.331	the palm of the hand	hatkēlā	–
S04.340	the finger	auṃlā	–
S04.342	the thumb	budhi aunlo	–
S04.344	the fingernail	nang	–
S04.345	the claw	naṅgrā	The cat dug his claws into my leg.
S04.350	the leg	khuṭṭā	–
S04.351	the thigh	tighrā	–
S04.352	the calf of the leg	piṇḍulā	–
S04.360	the knee	ghun̐ḍā	–
S04.370	the foot	khuṭṭā	–
S04.371	the ankle	goli  gànthà	–
S04.372	the heel	kukarcucā	–
S04.374	the footprint	pāilā	–
S04.380	the toe	auṃlā	–
S04.392	the wing	pakhēṭā	–
S04.393	the feather	pvān̐kha 	–
S04.400	the chest	chātī	–
S04.410	the breast	chātī	–
S04.412	the nipple or teat	dudko munTo	–
S04.420	the udder	-	–
S04.430	the navel	nāiṭō	–
S04.440	the heart	muṭu	–
S04.441	the lung	phōksō	–
S04.450	the liver	kalējō	–
S04.451	the kidney	mirgaulo	–
S04.452	the spleen	-	–
S04.460	the stomach	pēṭa	Her stomach could not digest the tough meat.
S04.461	the intestines or guts	-	–
S04.462	the waist	kammara 	–
S04.463	the hip	cāka	–
S04.464	the buttocks	cāka	–
S04.470	the womb	pēṭa	–
S04.490	the testicles	gulā	–
S04.492	the penis	lān̐ḍō	–
S04.510	to breathe	-	–
S04.520	to yawn	-	–
S04.521	to hiccough	-	–
S04.530	to cough	khōknu	–
S04.540	to sneeze	-	–
S04.550	to perspire	-	–
S04.560	to spit	thuknu	–
S04.570	to vomit	bāntā	–
S04.580	to bite	ṭōknu	–
S04.590	to lick	cāṭnu	–
S04.591	to dribble	-	Watch out, the baby is dribbling on your shirt!
S04.610	to sleep	nidāunu	–
S04.612	to snore	-	–
S04.620	to dream	-	–
S04.630	to wake up	byūn̐jhanu	I wake up at seven every morning.
S04.640	to fart	-	–
S04.650	to piss	-	–
S04.660	to shit	-	–
S04.670	to have sex	-	–
S04.680	to shiver	kāmnu	–
S04.690	to bathe	nuhāunu	She likes to bathe before going to bed.
S04.710	to beget	paunu	–
S04.720	to be born	janmanu	–
S04.730	pregnant	-	–
S04.732	to conceive	-	–
S04.740	to be alive	-	I thought he was dead, but he's still alive.
S04.750	to die	marnu	–
S04.751	to drown	dubnu	The dog fell into the river and drowned.
S04.760	to kill	mārnu	–
S04.770	the corpse	mudār	–
S04.780	to bury	gāḍnu 	–
S04.790	the grave	chihán	–
S04.810	strong	baliyō	She's a strong woman and can lift 50 kilos.
S04.820	weak	kamajōra	He's so weak that he cannot even lift 5 kilos.
S04.830	healthy	svastha	–
S04.840	sick/ill	birāmī	–
S04.841	the fever	jaro; táp; aulá	–
S04.842	the goitre/goiter	-	–
S04.843	the cold	rughā	He caught a cold after swimming in the lake at night.
S04.850	the wound or sore	ghāu	–
S04.852	the bruise	cōṭa	–
S04.853	the swelling	-	–
S04.854	the itch	luto	The itch was caused by an insect bite.
S04.855	the blister	phoká	–
S04.856	the boil	khaṭirā	The boy's body is covered in boils.
S04.857	the pus	pīpa	–
S04.858	the scar	ḍāma	–
S04.860	to cure	-	The treatment cured the patient's illness.
S04.870	the physician	ḍākṭara	–
S04.880	the medicine	ōkhatī	–
S04.890	the poison	bikha	–
S04.910	tired	hairāna	–
S04.912	to rest	-	–
S04.920	lazy	alchī 	–
S04.930	bald	khuilo; tháplo; khulke ko	–
S04.940	lame	khorande; langro	–
S04.950	deaf	bahirō	–
S04.960	mute	lāṭō	–
S04.970	blind	andhá	–
S04.980	drunk	mánteko	They became drunk after drinking too much beer.
S04.990	naked	rittō	The child does not like to wear clothes, and goes around naked.
S05.110	to eat	khānu	The child has eaten the fruit.
S05.120	the food	khānē kurā	–
S05.121	cooked	pakaunne	Cooked bananas taste even better than raw bananas.
S05.122	raw	kān̐cō	Cooked bananas taste even better than raw bananas.
S05.123	ripe	pákeko	Unripe bananas have a green colour, whereas ripe bananas are yellow.
S05.124	unripe	kān̐cō	Unripe bananas have a green colour, whereas ripe bananas are yellow.
S05.125	rotten	kuheko	a rotten apple or mango
S05.130	to drink	khānu	drink water
S05.140	to be hungry	bhōkāunu	–
S05.141	the famine	anikāla	–
S05.150	to be thirsty	bhōkō	–
S05.160	to suck	cusnu	The baby is sucking milk.
S05.180	to chew	cabaunu	This meat is so tough I can hardly chew it!
S05.181	to swallow	nilnu	You need to chew this meat well before you can swallow it.
S05.190	to choke	-	The smoke was choking the fire fighters./The assailant choked his victim.
S05.210	to cook	pakāunu	She was cooking a soup for her mother.
S05.220	to boil	umālnu	The water is boiling.
S05.230	to roast or fry	pōlnu	–
S05.240	to bake	-	We are baking some bread.
S05.250	the oven	chula; bhatti	–
S05.260	the pot	bhān̐ḍā	He is cooking soup for the whole family in a big pot.
S05.270	the kettle	kitlī	The water is boiling in the kettle.
S05.280	the pan	tāpkē	–
S05.310	the dish	bhān̐ḍā	–
S05.320	the plate	thál	–
S05.330	the bowl	ḍabakā	–
S05.340	the jug/pitcher	āṅkhōrā	–
S05.350	the cup	kapa	–
S05.360	the saucer	pirica	–
S05.370	the spoon	camcā	He ate the soup with a spoon. 
S05.380	the knife(1)	churī	–
S05.390	the fork	kān̐ṭā	–
S05.391	the tongs	cimṭā 	–
S05.410	the meal	bhāt	Dinner is the main meal of the day for most people.
S05.420	the breakfast	-	–
S05.430	the lunch	-	–
S05.440	the dinner	-	–
S05.450	the supper	-	–
S05.460	to peel	tāchnu	This knife is good for peeling potatoes.
S05.470	to sieve or to strain	chānnu	She strained the coffee before serving it.
S05.480	to scrape	tāchnu	Scrape the carrots and slice them thinly.
S05.490	to stir or to mix	calāunu	–
S05.510	the bread	rōṭī	–
S05.530	the dough	-	–
S05.540	to knead	dalnu	Knead the dough for three minutes.
S05.550	the flour	pīṭhō	–
S05.560	to crush or to grind	pindhnu	–
S05.570	the mill	ghaṭṭa	–
S05.580	the mortar(1)	khala	–
S05.590	the pestle	-	–
S05.610	the meat	māsu	–
S05.630	the sausage	-	–
S05.640	the soup	jhōla	Clear chicken soup can relieve the symptoms of the common cold.
S05.650	the vegetables	tarakārī 	–
S05.660	the bean	simi	–
S05.700	the potato	álu	–
S05.710	the fruit	phalaphūla	–
S05.712	the bunch	kām̐iyō	–
S05.750	the fig	nebhárá; beru	–
S05.760	the grape	aṅgura	–
S05.770	the nut	gerá; badám	–
S05.780	the olive	-	–
S05.790	the oil	tēla	–
S05.791	the grease or fat	bōsō	–
S05.810	the salt	nūna	–
S05.820	the pepper	marich; golmirich	–
S05.821	the chili pepper	khōsārnī	–
S05.840	the honey	maha	–
S05.850	the sugar	cinī	–
S05.860	the milk	dūdha	–
S05.870	to milk	duhunu	–
S05.880	the cheese	panir; jamáwat	–
S05.890	the butter	makhana	–
S05.900	the drink	raksi	–
S05.910	the mead	-	–
S05.920	the wine	-	–
S05.930	the beer	jand	–
S05.940	the fermented drink	-	–
S05.970	the egg	kukhrá ko phul	–
S05.971	the yolk	-	–
S06.110	to put on	lagāunu	The child can already put on his clothes by himself.
S06.120	the clothing or clothes	kapaḍā	–
S06.130	the tailor	sūcikāra	–
S06.210	the cloth	kapaḍā	–
S06.220	the wool	ūna	–
S06.230	the linen	-	–
S06.240	the cotton	dhōtī 	–
S06.250	the silk	rēśama	–
S06.270	the felt	-	–
S06.280	the fur	-	–
S06.290	the leather	chālā	–
S06.310	to spin	kātnu	–
S06.320	the spindle	-	–
S06.330	to weave	bunnu	–
S06.340	the loom	-	–
S06.350	to sew	siunu	–
S06.360	the needle(1)	siyō	–
S06.370	the awl	-	–
S06.380	the thread	dhāgō	–
S06.390	to dye	rangaunu	The weaver dyed the cloth bright red.
S06.410	the cloak	-	–
S06.411	the poncho	-	–
S06.420	the (woman's) dress	pōśāka	–
S06.430	the coat	kot	–
S06.440	the shirt	kamija 	–
S06.450	the collar	-	–
S06.460	the skirt	-	–
S06.461	the grass-skirt	-	–
S06.480	the trousers	pāinṭa	–
S06.490	the sock or stocking	mōjā	–
S06.510	the shoe	juttā	–
S06.520	the boot	jutta	–
S06.540	the shoemaker	sākīr	–
S06.550	the hat or cap	ṭōpī	–
S06.570	the belt	peti; patuká	–
S06.580	the glove	panjā	–
S06.590	the veil	ghumṭō	During the wedding the bride wore a veil that hid her face.
S06.610	the pocket	khaltī	He put the money in his shirt pocket.
S06.620	the button	ṭān̐ka	–
S06.630	the pin	-	The torn shirt was held together by pins.
S06.710	the ornament or adornment	gahaná; singár	Her hair was adorned with silver oranments.
S06.720	the jewel	ratna	–
S06.730	the ring	auṇṭhī	–
S06.740	the bracelet	churá	She wore a solid gold bracelet.
S06.750	the necklace	mālā	Her necklace was made of pearls and coral.
S06.760	the bead	dānā	–
S06.770	the earring	mundro	The pirate wore one earring.
S06.780	the headband or headdress	-	–
S06.790	the tattoo	-	–
S06.810	the handkerchief or rag	rumāla	–
S06.820	the towel	rumāla	–
S06.910	the comb	kām̐iyō	–
S06.920	the brush	burus	He used the brush to thoroughly brush his hair.
S06.921	the plait/braid	culṭhō	–
S06.930	the razor	-	While he was shaving the razor cut his face.
S06.940	the ointment	malham; mallam	–
S06.950	the soap	sābuna	A bar of soap was placed by the sink.
S06.960	the mirror	ainā	He looked at himself in the mirror that hung on the wall.
S07.110	to live	basnu	A family of five lives in that large house.
S07.120	the house	gṛha	–
S07.130	the hut	jhuprō	–
S07.131	the garden-house	-	–
S07.140	the tent	pāla	–
S07.150	the yard or court	gaja	–
S07.160	the men's house	-	–
S07.170	the cookhouse	bhánsághar	–
S07.180	the meeting house	-	–
S07.210	the room	kōṭhā	–
S07.220	the door or gate	ḍhōkā	–
S07.221	the doorpost	-	–
S07.230	the lock	tālcā	–
S07.231	the latch or door-bolt	-	–
S07.240	the key	cābī 	–
S07.250	the window	jhyāla	–
S07.260	the floor	bhui	–
S07.270	the wall	bhittā	The walls of our house are very thick.
S07.310	the fireplace	cūlhō	–
S07.320	the stove	sṭōbha	She put the kettle on the stove and lit the fire.
S07.330	the chimney	cimnī	–
S07.370	the ladder	siṇḍhī	–
S07.420	the bed	ōchyāna	–
S07.421	the pillow	takiyā	–
S07.422	the blanket	kammala	–
S07.430	the chair	mēca	–
S07.440	the table	ṭēbila	–
S07.450	the lamp or torch	battī	–
S07.460	the candle	mainbatti	–
S07.470	the shelf	tánr; talá; khopá; tákhá	Put it back on the top shelf.
S07.480	the trough	-	–
S07.510	the roof	chata	–
S07.520	the thatch	khara	–
S07.530	the ridgepole	dhamar	–
S07.540	the rafter	bhāṭā	–
S07.550	the beam	-	–
S07.560	the post or pole	khambā	a fence post
S07.570	the board	-	–
S07.580	the arch	-	–
S07.610	the mason	-	–
S07.620	the brick	int	–
S07.630	the mortar(2)	khala	–
S07.640	the adobe	-	–
S08.110	the farmer	kisāna	The poor farmer did not own the land he cultivated.
S08.120	the field	bārī	The field was planted with cabbage.
S08.130	the garden	bagaiñcā	Behind the house was a garden where the family grew vegetables.
S08.150	to cultivate	-	There is no more land left to cultivate.
S08.160	the fence	pakhārla	–
S08.170	the ditch	khālḍō	–
S08.210	to plough/plow	jōtnu	–
S08.212	the furrow	-	–
S08.220	to dig	khannu	–
S08.230	the spade	kodali; kodalo	–
S08.240	the shovel	-	–
S08.250	the hoe	kōdālī	–
S08.260	the fork(2)/pitchfork	kántá	–
S08.270	the rake	-	–
S08.310	to sow	charnu	–
S08.311	the seed	bīu	–
S08.320	to mow	ḍhālnu	–
S08.330	the sickle or scythe	hãsiyaa	–
S08.340	to thresh	jhān̐ṭnu	–
S08.350	the threshing-floor	-	–
S08.410	the harvest	bālī	–
S08.420	the grain	anna	–
S08.430	the wheat	gahu	–
S08.440	the barley	jau	–
S08.450	the rye	-	–
S08.460	the oats	jan	–
S08.470	the maize/corn	makai	The bought corn-on-the-cob from the vendor in the park.
S08.480	the rice	bhāta	They ate their rice with the stew.
S08.510	the grass	ghām̐sa	Green grass was growing in the forest clearing.
S08.520	the hay	banso; sukyo gháns	–
S08.530	the plant	biruvā	–
S08.531	to plant	rōpnu	–
S08.540	the root	jará	–
S08.550	the branch	hān̐gā	–
S08.560	the leaf	pāta	–
S08.570	the flower	phūla	–
S08.600	the tree	rūkha	–
S08.610	the oak	bánjko rukh	–
S08.620	the beech	-	–
S08.630	the birch	-	–
S08.640	the pine	-	–
S08.650	the fir	sallo	–
S08.660	the acorn	-	–
S08.670	the vine	-	–
S08.680	the tobacco	tamākhu	–
S08.690	to smoke	piunu	–
S08.691	the pipe	pāipa	–
S08.720	the tree stump	-	–
S08.730	the tree trunk	-	–
S08.740	the forked branch	-	–
S08.750	the bark	bōkrā	–
S08.760	the sap	-	The farmers collected the sap from the maple trees to make syrup. 
S08.810	the palm tree	khajur; tár ko rukh	Dates grow on palm trees. 
S08.820	the coconut	nariwal; golá; gari	The boy picked a green coconut and drank its juice.
S08.830	the citrus fruit	-	–
S08.840	the banana	kērā	The monkey peeled the banana and ate it.
S08.850	the banyan	-	–
S08.910	the sweet potato	-	–
S08.912	the yam	tarul	–
S08.920	the cassava/manioc	-	The farmer grew cassava/manioc to feed his family. 
S08.930	the gourd	-	–
S08.931	the pumpkin or squash	-	–
S08.940	the bamboo	bām̐sa	–
S08.941	the sugar cane	ukhu	–
S08.960	the fish poison	-	–
S08.970	the nettle	sisnu	–
S08.980	the mushroom	chyàu	–
S09.110	to do	garnu	A has climbed on a tree. B says to A: "What are you doing up there?"
S09.120	the work	pariśrama	I can't go out because I have too much work.
S09.140	to bend	mōḍnu	I'll bend the branches away so that you can get through.
S09.150	to fold	paṭṭyāunu	She folded the piece of paper and put it in the envelope.
S09.160	to tie	bān̐dhnu	He tied his dog to a tree.
S09.161	to untie	phukāunu	He untied his dog from the tree.
S09.180	the chain	sikrī	–
S09.190	the rope	ḍōrī	They tied up the prisoner with rope.
S09.192	the knot	gántho; surkaná	Can you help me undo this knot?
S09.210	to strike or hit or beat	kuṭnu	–
S09.211	to pound	kuṭnu	He pounded the door with his fist.
S09.220	to cut	cirnu	The thieves cut the phone wires and entered the house.
S09.221	to cut down	kāṭnu	Before building the road, we first have to cut down many trees.
S09.222	to chop	katnu	chopping wood for the fire
S09.223	to stab	-	Brutus stabbed Caesar to death.
S09.230	the knife(2)	churī	To chop the onions I need a knife.
S09.240	the scissors or shears	kaiñcī	–
S09.250	the axe/ax	bancarō	–
S09.251	the adze	-	–
S09.260	to break	phuṭnu	The thieves got into the house by breaking a window.
