ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
12-930-274-1,esee1248,Ese Ejja,1264,sosexe kiayo-,Phonemic,change,key19581964;wyma1962;shoemaker,,,
12-920-274-1,esee1248,Ese Ejja,1558,haiyoxa,Phonemic,"like, similar",key19581964;wyma1962;shoemaker,,,
12-920-274-3,esee1248,Ese Ejja,1558,hamaya,Phonemic,"like, similar",key19581964;wyma1962;shoemaker,,,
12-850-274-1,esee1248,Ese Ejja,1667,xani,Phonemic,hole,key19581964;wyma1962;shoemaker,,,
12-810-274-1,esee1248,Ese Ejja,1395,kopo-kopo,Phonemic,round,key19581964;wyma1962;shoemaker,Also ewowoʔiya.,,
12-810-274-3,esee1248,Ese Ejja,1395,ehekʷixaxa,Phonemic,round,key19581964;wyma1962;shoemaker,Also ewowoʔiya.,,
12-820-274-1,esee1248,Ese Ejja,1467,kobo-kobo,Phonemic,circle,key19581964;wyma1962;shoemaker,,,
12-770-274-1,esee1248,Ese Ejja,1367,ekʷeataʔapee,Phonemic,cross,key19581964;wyma1962;shoemaker,,,
12-740-274-1,esee1248,Ese Ejja,297,kea-sewiwi,Phonemic,crooked,key19581964;wyma1962;shoemaker,,,
12-740-274-3,esee1248,Ese Ejja,297,kea-kowiwi,Phonemic,crooked,key19581964;wyma1962;shoemaker,,,
12-730-274-1,esee1248,Ese Ejja,1404,epinee,Phonemic,straight,key19581964;wyma1962;shoemaker,,,
12-730-274-3,esee1248,Ese Ejja,1404,-pi,Phonemic,straight,key19581964;wyma1962;shoemaker,,,
12-710-274-1,esee1248,Ese Ejja,1633,kea-heyo,Phonemic,flat,key19581964;wyma1962;shoemaker,,,
12-670-274-1,esee1248,Ese Ejja,1593,-ɗoe,Phonemic,deep,key19581964;wyma1962;shoemaker,,,
12-650-274-1,esee1248,Ese Ejja,2249,-ɓehe,Phonemic,thin (in dimension),key19581964;wyma1962;shoemaker,,,
12-650-274-3,esee1248,Ese Ejja,2249,-ɓiso,Phonemic,thin (in dimension),key19581964;wyma1962;shoemaker,,,
12-650-274-5,esee1248,Ese Ejja,2249,šiwi,Phonemic,thin (in dimension),key19581964;wyma1962;shoemaker,,,
12-630-274-1,esee1248,Ese Ejja,1244,-'mo,Phonemic,thick (in dimension),key19581964;wyma1962;shoemaker,,,
12-620-274-1,esee1248,Ese Ejja,1267,-ɓiso,Phonemic,narrow,key19581964;wyma1962;shoemaker,,,
12-610-274-1,esee1248,Ese Ejja,1243,-kemo,Phonemic,"wide, broad",key19581964;wyma1962;shoemaker,,,
12-590-274-1,esee1248,Ese Ejja,1645,-čiʔa,Phonemic,short,key19581964;wyma1962;shoemaker,,,
12-590-274-3,esee1248,Ese Ejja,1645,-kepe,Phonemic,short,key19581964;wyma1962;shoemaker,,,
12-580-274-1,esee1248,Ese Ejja,711,-ʔao,Phonemic,tall,key19581964;wyma1962;shoemaker,,,
12-570-274-1,esee1248,Ese Ejja,1203,-ʔao,Phonemic,long,key19581964;wyma1962;shoemaker,,,
12-560-274-1,esee1248,Ese Ejja,1246,-ɓiso,Phonemic,"small, little",key19581964;wyma1962;shoemaker,,,
12-560-274-3,esee1248,Ese Ejja,1246,-sisi,Phonemic,"small, little",key19581964;wyma1962;shoemaker,,,
12-550-274-1,esee1248,Ese Ejja,1202,-kemo,Phonemic,"large, big",key19581964;wyma1962;shoemaker,,,
12-530-274-1,esee1248,Ese Ejja,479,tii-,Phonemic,grow,key19581964;wyma1962;shoemaker,,,
12-480-274-1,esee1248,Ese Ejja,1595,eeno,Phonemic,south,key19581964;wyma1962;shoemaker,,,
12-480-274-3,esee1248,Ese Ejja,1595,ešikiaha,Phonemic,south,key19581964;wyma1962;shoemaker,,,
12-430-274-1,esee1248,Ese Ejja,1942,-čipi,Phonemic,near (adv),key19581964;wyma1962;shoemaker,,,
12-430-274-3,esee1248,Ese Ejja,1942,wešaʔama,Phonemic,near (adv),key19581964;wyma1962;shoemaker,,,
12-440-274-1,esee1248,Ese Ejja,1406,-weeša,Phonemic,far (adv),key19581964;wyma1962;shoemaker,,,
12-440-274-3,esee1248,Ese Ejja,1406,-ki,Phonemic,far (adv),key19581964;wyma1962;shoemaker,,,
12-420-274-1,esee1248,Ese Ejja,244,šani,Phonemic,left (side),key19581964;wyma1962;shoemaker,,,
12-410-274-1,esee1248,Ese Ejja,1019,ebianee,Phonemic,right (side),key19581964;wyma1962;shoemaker,,,
12-370-274-1,esee1248,Ese Ejja,1093,eyesamaho,Phonemic,"middle, center",key19581964;wyma1962;shoemaker,,,
12-360-274-1,esee1248,Ese Ejja,682,mihixi,Phonemic,side,key19581964;wyma1962;shoemaker,,,
12-353-274-1,esee1248,Ese Ejja,863,esawa,Phonemic,edge,key19581964;wyma1962;shoemaker,,,
12-352-274-1,esee1248,Ese Ejja,372,eʔikʷi,Phonemic,pointed,key19581964;wyma1962;shoemaker,,,
12-350-274-1,esee1248,Ese Ejja,742,oepoa-nahe,Phonemic,end,key19581964;wyma1962;shoemaker,,,
12-350-274-3,esee1248,Ese Ejja,742,-pahea,Phonemic,end,key19581964;wyma1962;shoemaker,,,
12-340-274-1,esee1248,Ese Ejja,690,ekimexexe,Phonemic,bottom,key19581964;wyma1962;shoemaker,,,
12-320-274-1,esee1248,Ese Ejja,721,-pasanee,Phonemic,low,key19581964;wyma1962;shoemaker,,,
12-330-274-1,esee1248,Ese Ejja,1753,ehamako-ʔoho,Phonemic,top,key19581964;wyma1962;shoemaker,Cf. 'roof'.,,
12-310-274-1,esee1248,Ese Ejja,1265,kea-aʔao,Phonemic,high,key19581964;wyma1962;shoemaker,,,
12-270-274-1,esee1248,Ese Ejja,602,kʷakišo-,Phonemic,"hide, conceal",key19581964;wyma1962;shoemaker,,,
12-270-274-3,esee1248,Ese Ejja,602,xakewaki-,Phonemic,"hide, conceal",key19581964;wyma1962;shoemaker,,,
12-250-274-1,esee1248,Ese Ejja,1046,kaʔa-,Phonemic,"shut, close",key19581964;wyma1962;shoemaker,,,
12-260-274-1,esee1248,Ese Ejja,761,paaka-,Phonemic,cover,key19581964;wyma1962;shoemaker,Also dokoka-.,,
12-260-274-3,esee1248,Ese Ejja,761,kaʔa-,Phonemic,cover,key19581964;wyma1962;shoemaker,Also dokoka-.,,
12-240-274-1,esee1248,Ese Ejja,1156,paahea-,Phonemic,open,key19581964;wyma1962;shoemaker,,,
12-240-274-3,esee1248,Ese Ejja,1156,kaʔa-peho-,Phonemic,open,key19581964;wyma1962;shoemaker,,,
12-230-274-1,esee1248,Ese Ejja,1359,iyape'e-,Phonemic,separate,key19581964;wyma1962;shoemaker,,,
12-220-274-1,esee1248,Ese Ejja,1743,xačičaki-,Phonemic,"join, unite",key19581964;wyma1962;shoemaker,,,
12-220-274-3,esee1248,Ese Ejja,1743,xačipi,Phonemic,"join, unite",key19581964;wyma1962;shoemaker,,,
12-213-274-1,esee1248,Ese Ejja,1576,iyačiča-,Phonemic,pile up,key19581964;wyma1962;shoemaker,,,
12-213-274-3,esee1248,Ese Ejja,1576,wana-,Phonemic,pile up,key19581964;wyma1962;shoemaker,,,
12-212-274-1,esee1248,Ese Ejja,371,mepe-nahe,Phonemic,pick up,key19581964;wyma1962;shoemaker,,,
12-212-274-3,esee1248,Ese Ejja,371,iya-čiča-nahe,Phonemic,pick up,key19581964;wyma1962;shoemaker,,,
12-210-274-1,esee1248,Ese Ejja,7,sexa,Phonemic,"collect, gather",key19581964;wyma1962;shoemaker,,,
12-210-274-3,esee1248,Ese Ejja,7,ohee-poeyo-,Phonemic,"collect, gather",key19581964;wyma1962;shoemaker,,,
12-160-274-1,esee1248,Ese Ejja,987,baʔečiča-,Phonemic,"remain, stay",key19581964;wyma1962;shoemaker,,,
12-150-274-1,esee1248,Ese Ejja,1442,neki-,Phonemic,stand,key19581964;wyma1962;shoemaker,,,
12-150-274-3,esee1248,Ese Ejja,1442,iya-sowa-,Phonemic,stand,key19581964;wyma1962;shoemaker,,,
12-140-274-1,esee1248,Ese Ejja,215,haa-,Phonemic,lie down,key19581964;wyma1962;shoemaker,,,
12-130-274-1,esee1248,Ese Ejja,1416,ani-oke-,Phonemic,sit,key19581964;wyma1962;shoemaker,,,
12-120-274-1,esee1248,Ese Ejja,998,wana-,Phonemic,put,key19581964;wyma1962;shoemaker,,,
12-120-274-3,esee1248,Ese Ejja,998,iya-,Phonemic,put,key19581964;wyma1962;shoemaker,,,
12-80-274-1,esee1248,Ese Ejja,1591,ɓiakʷa,Phonemic,"up, above",key19581964;wyma1962;shoemaker,"Up river, above (as in the sky), respectively. Also -ɓiaxe.",,
12-80-274-3,esee1248,Ese Ejja,1591,eyaho,Phonemic,"up, above",key19581964;wyma1962;shoemaker,"Up river, above (as in the sky), respectively. Also -ɓiaxe.",,
12-70-274-1,esee1248,Ese Ejja,1485,e-kimexexe,Phonemic,under,key19581964;wyma1962;shoemaker,,,
12-60-274-1,esee1248,Ese Ejja,762,e-sekʷe,Phonemic,outside,key19581964;wyma1962;shoemaker,,,
12-50-274-1,esee1248,Ese Ejja,1606,e-ɗoxoho,Phonemic,"inside, in",key19581964;wyma1962;shoemaker,,,
12-41-274-1,esee1248,Ese Ejja,1883,e-koxa-nee,Phonemic,front,key19581964;wyma1962;shoemaker,,,
12-40-274-1,esee1248,Ese Ejja,1882,'yawaho,Phonemic,before,key19581964;wyma1962;shoemaker,,,
12-30-274-1,esee1248,Ese Ejja,2094,makʷa-wa-sixe,Phonemic,"down, below",key19581964;wyma1962;shoemaker,,,
12-30-274-3,esee1248,Ese Ejja,2094,ekimexexe,Phonemic,"down, below",key19581964;wyma1962;shoemaker,,,
12-11-274-1,esee1248,Ese Ejja,1686,kiiɓaaxaxe,Phonemic,behind,key19581964;wyma1962;shoemaker,,,
12-10-274-1,esee1248,Ese Ejja,1685,kixe,Phonemic,after,key19581964;wyma1962;shoemaker,,,
12-10-274-3,esee1248,Ese Ejja,1685,maxe,Phonemic,after,key19581964;wyma1962;shoemaker,,,
11-920-274-1,esee1248,Ese Ejja,1098,kea-ɓiki,Phonemic,weigh,key19581964;wyma1962;shoemaker,,,
11-880-274-1,esee1248,Ese Ejja,1426,-sosewiso,Phonemic,"dear (costly, expensive)",key19581964;wyma1962;shoemaker,,,
11-820-274-1,esee1248,Ese Ejja,1571,sosekia-,Phonemic,sell,key19581964;wyma1962;shoemaker,,,
11-820-274-3,esee1248,Ese Ejja,1571,xakiaki-,Phonemic,sell,key19581964;wyma1962;shoemaker,,,
11-810-274-1,esee1248,Ese Ejja,1869,heše- ~ xeše-,Phonemic,buy,key19581964;wyma1962;shoemaker,,,
11-650-274-1,esee1248,Ese Ejja,718,sosekia-,Phonemic,pay (vb),key19581964;wyma1962;shoemaker,,,
11-650-274-3,esee1248,Ese Ejja,718,čoheakia-,Phonemic,pay (vb),key19581964;wyma1962;shoemaker,,,
11-540-274-1,esee1248,Ese Ejja,1774,-nawe,Phonemic,"avaricious, stingy",key19581964;wyma1962;shoemaker,,,
11-430-274-1,esee1248,Ese Ejja,1559,čipilo,Phonemic,money,key19581964;wyma1962;shoemaker,,,
11-340-274-1,esee1248,Ese Ejja,1095,hea-nahe,Phonemic,"release, let go",key19581964;wyma1962;shoemaker,,,
11-330-274-1,esee1248,Ese Ejja,1660,kʷakišo-,Phonemic,lose,key19581964;wyma1962;shoemaker,,,
11-330-274-3,esee1248,Ese Ejja,1660,xaheaki-,Phonemic,lose,key19581964;wyma1962;shoemaker,,,
11-320-274-1,esee1248,Ese Ejja,719,ɓa-,Phonemic,find,key19581964;wyma1962;shoemaker,,,
11-310-274-1,esee1248,Ese Ejja,1468,saʔaxa-,Phonemic,"seek, look for",key19581964;wyma1962;shoemaker,,,
11-250-274-1,esee1248,Ese Ejja,2008,haawanaki-nahe,Phonemic,"save, rescue",key19581964;wyma1962;shoemaker,,,
11-240-274-1,esee1248,Ese Ejja,1997,haawa-,Phonemic,"preserve, look after",key19581964;wyma1962;shoemaker,,,
11-210-274-1,esee1248,Ese Ejja,1447,kia-,Phonemic,give,key19581964;wyma1962;shoemaker,,,
11-210-274-3,esee1248,Ese Ejja,1447,čemo,Phonemic,give,key19581964;wyma1962;shoemaker,,,
11-180-274-1,esee1248,Ese Ejja,738,akiana,Phonemic,thing,key19581964;wyma1962;shoemaker,,,
11-170-274-1,esee1248,Ese Ejja,1477,haawa-nahe,Phonemic,"keep, retain",key19581964;wyma1962;shoemaker,,,
11-140-274-1,esee1248,Ese Ejja,2021,iɲa-,Phonemic,"seize, grasp",key19581964;wyma1962;shoemaker,,,
11-130-274-1,esee1248,Ese Ejja,1749,iši-nahe,Phonemic,take,key19581964;wyma1962;shoemaker,,,
11-120-274-1,esee1248,Ese Ejja,684,eyowamese,Phonemic,"own, possess",key19581964;wyma1962;shoemaker,,,
11-110-274-1,esee1248,Ese Ejja,773,-xi,Phonemic,have,key19581964;wyma1962;shoemaker,,,
10-920-274-1,esee1248,Ese Ejja,1922,yeka-nahe,Phonemic,land (vb),key19581964;wyma1962;shoemaker,,,
10-852-274-1,esee1248,Ese Ejja,1849,yoyo-a-,Phonemic,row (vb),key19581964;wyma1962;shoemaker,,,
10-852-274-3,esee1248,Ese Ejja,1849,yokʷiʔoi,Phonemic,row (vb),key19581964;wyma1962;shoemaker,,,
10-851-274-1,esee1248,Ese Ejja,234,eyoxi,Phonemic,paddle (noun),key19581964;wyma1962;shoemaker,,,
10-851-274-3,esee1248,Ese Ejja,234,heheʔɓihi,Phonemic,paddle (noun),key19581964;wyma1962;shoemaker,,,
10-850-274-1,esee1248,Ese Ejja,108,eyoxi,Phonemic,oar,key19581964;wyma1962;shoemaker,,,
10-850-274-3,esee1248,Ese Ejja,108,heheʔɓihi,Phonemic,oar,key19581964;wyma1962;shoemaker,,,
10-840-274-1,esee1248,Ese Ejja,1664,iɲahapa,Phonemic,raft,key19581964;wyma1962;shoemaker,Also akʷihoheyo.,,
10-831-274-1,esee1248,Ese Ejja,1970,ɓi'še,Phonemic,canoe,key19581964;wyma1962;shoemaker,,,
10-720-274-1,esee1248,Ese Ejja,2252,exioxi,Phonemic,path,key19581964;wyma1962;shoemaker,,,
10-710-274-1,esee1248,Ese Ejja,667,exioxi,Phonemic,road,key19581964;wyma1962;shoemaker,,,
10-670-274-1,esee1248,Ese Ejja,1452,yiyehea-,Phonemic,"push, shove",key19581964;wyma1962;shoemaker,,,
10-670-274-3,esee1248,Ese Ejja,1452,heakʷi,Phonemic,"push, shove",key19581964;wyma1962;shoemaker,,,
10-660-274-1,esee1248,Ese Ejja,367,anisowa-nahe,Phonemic,ride,key19581964;wyma1962;shoemaker,,,
10-630-274-1,esee1248,Ese Ejja,1127,woohea-ka,Phonemic,send,key19581964;wyma1962;shoemaker,Also ɗoho-mee-ka-.,,
10-630-274-3,esee1248,Ese Ejja,1127,yemeena,Phonemic,send,key19581964;wyma1962;shoemaker,Also ɗoho-mee-ka-.,,
10-620-274-1,esee1248,Ese Ejja,692,heki- ~ xeki-,Phonemic,bring,key19581964;wyma1962;shoemaker,Also ye-; doho.,,
10-613-274-1,esee1248,Ese Ejja,413,e-ɓaʔaxa ɗohoka-,Phonemic,carry-on-shoulder,key19581964;wyma1962;shoemaker,,,
10-610-274-1,esee1248,Ese Ejja,700,ɗoho-,Phonemic,carry (bear),key19581964;wyma1962;shoemaker,Means 'carry down'.,,
10-570-274-1,esee1248,Ese Ejja,749,ɗoɓi-ki-,Phonemic,enter,key19581964;wyma1962;shoemaker,,,
10-560-274-1,esee1248,Ese Ejja,1778,xačipiki-nahe,Phonemic,approach,key19581964;wyma1962;shoemaker,,,
10-560-274-3,esee1248,Ese Ejja,1778,čipinee poeyo-nahe,Phonemic,approach,key19581964;wyma1962;shoemaker,,,
10-550-274-1,esee1248,Ese Ejja,1387,poe-,Phonemic,"reach, arrive",key19581964;wyma1962;shoemaker,,,
10-550-274-3,esee1248,Ese Ejja,1387,yeka-,Phonemic,"reach, arrive",key19581964;wyma1962;shoemaker,,,
10-520-274-1,esee1248,Ese Ejja,1085,okʷepokia-,Phonemic,follow,key19581964;wyma1962;shoemaker,,,
10-510-274-1,esee1248,Ese Ejja,956,pokikewaki-nahe,Phonemic,flee,key19581964;wyma1962;shoemaker,,,
10-481-274-1,esee1248,Ese Ejja,581,poeoʔoya-nahe,Phonemic,come back,key19581964;wyma1962;shoemaker,,,
10-480-274-1,esee1248,Ese Ejja,1446,poe-,Phonemic,come,key19581964;wyma1962;shoemaker,,,
10-474-274-1,esee1248,Ese Ejja,1107,kʷaya-,Phonemic,go out,key19581964;wyma1962;shoemaker,,,
10-473-274-1,esee1248,Ese Ejja,2014,heaokea-,Phonemic,go down,key19581964;wyma1962;shoemaker,,,
10-473-274-3,esee1248,Ese Ejja,2014,nekeokea-,Phonemic,go down,key19581964;wyma1962;shoemaker,,,
10-473-274-5,esee1248,Ese Ejja,2014,iyaokea-,Phonemic,go down,key19581964;wyma1962;shoemaker,,,
10-470-274-1,esee1248,Ese Ejja,695,poki-,Phonemic,go,key19581964;wyma1962;shoemaker,,,
10-470-274-3,esee1248,Ese Ejja,695,kʷa-,Phonemic,go,key19581964;wyma1962;shoemaker,,,
10-471-274-1,esee1248,Ese Ejja,705,so(w)a-ki-,Phonemic,go up,key19581964;wyma1962;shoemaker,,,
10-471-274-3,esee1248,Ese Ejja,705,ehayakiki,Phonemic,go up,key19581964;wyma1962;shoemaker,,,
10-460-274-1,esee1248,Ese Ejja,1519,kʷahi-kʷahi-,Phonemic,run,key19581964;wyma1962;shoemaker,,,
10-460-274-3,esee1248,Ese Ejja,1519,kiakʷehipaši,Phonemic,run,key19581964;wyma1962;shoemaker,,,
10-451-274-1,esee1248,Ese Ejja,366,heo-mihi-mihi-,Phonemic,limp,key19581964;wyma1962;shoemaker,,,
10-450-274-1,esee1248,Ese Ejja,1443,heo-,Phonemic,walk,key19581964;wyma1962;shoemaker,,,
10-450-274-3,esee1248,Ese Ejja,1443,poʔaekieki,Phonemic,walk,key19581964;wyma1962;shoemaker,,,
10-440-274-1,esee1248,Ese Ejja,1879,maha-maha-,Phonemic,dance,key19581964;wyma1962;shoemaker,,,
10-431-274-1,esee1248,Ese Ejja,1135,kiši-nahe,Phonemic,kick,key19581964;wyma1962;shoemaker,,,
10-430-274-1,esee1248,Ese Ejja,1829,towa-nahe,Phonemic,"jump, leap",key19581964;wyma1962;shoemaker,,,
10-430-274-3,esee1248,Ese Ejja,1829,ɓa'esowa-nahe,Phonemic,"jump, leap",key19581964;wyma1962;shoemaker,,,
10-420-274-1,esee1248,Ese Ejja,1324,xapišiki-,Phonemic,"slide, slip",key19581964;wyma1962;shoemaker,"Also -hewi, 'slippery'.",,
10-420-274-3,esee1248,Ese Ejja,1324,xakišipiiki-,Phonemic,"slide, slip",key19581964;wyma1962;shoemaker,"Also -hewi, 'slippery'.",,
10-413-274-1,esee1248,Ese Ejja,296,haaoke-nahe,Phonemic,crouch,key19581964;wyma1962;shoemaker,,,
10-410-274-1,esee1248,Ese Ejja,96,yeyoa-,Phonemic,"creep, crawl",key19581964;wyma1962;shoemaker,,,
10-380-274-1,esee1248,Ese Ejja,175,sipo-,Phonemic,blow,key19581964;wyma1962;shoemaker,,,
10-380-274-3,esee1248,Ese Ejja,175,woha-,Phonemic,blow,key19581964;wyma1962;shoemaker,,,
10-370-274-1,esee1248,Ese Ejja,1441,ɓaʔe-sowa--ki-,Phonemic,fly (vb),key19581964;wyma1962;shoemaker,,,
10-350-274-1,esee1248,Ese Ejja,1439,šokʷi-šokʷi-,Phonemic,swim,key19581964;wyma1962;shoemaker,,,
10-330-274-1,esee1248,Ese Ejja,1088,wii-nahe,Phonemic,sink,key19581964;wyma1962;shoemaker,,,
10-330-274-3,esee1248,Ese Ejja,1088,heaɗoɓi-nahe,Phonemic,sink,key19581964;wyma1962;shoemaker,,,
10-260-274-1,esee1248,Ese Ejja,1909,peo-peo-,Phonemic,shake,key19581964;wyma1962;shoemaker,,,
10-252-274-1,esee1248,Ese Ejja,702,woho-,Phonemic,catch (ball),key19581964;wyma1962;shoemaker,,,
10-250-274-1,esee1248,Ese Ejja,1456,wanaokea-,Phonemic,throw,key19581964;wyma1962;shoemaker,,,
10-240-274-1,esee1248,Ese Ejja,2253,kʷikayo-,Phonemic,drip,key19581964;wyma1962;shoemaker,,,
10-240-274-3,esee1248,Ese Ejja,2253,kʷikʷi-,Phonemic,drip,key19581964;wyma1962;shoemaker,,,
10-230-274-1,esee1248,Ese Ejja,1280,oke-,Phonemic,fall,key19581964;wyma1962;shoemaker,,,
10-230-274-3,esee1248,Ese Ejja,1280,haaɓičakiani,Phonemic,fall,key19581964;wyma1962;shoemaker,,,
10-220-274-1,esee1248,Ese Ejja,501,sowa-ki-,Phonemic,"raise, lift",key19581964;wyma1962;shoemaker,,,
10-220-274-3,esee1248,Ese Ejja,501,ehayakiki,Phonemic,"raise, lift",key19581964;wyma1962;shoemaker,,,
10-210-274-1,esee1248,Ese Ejja,568,ani-sowa-,Phonemic,rise,key19581964;wyma1962;shoemaker,,,
10-170-274-1,esee1248,Ese Ejja,430,heaxaxa-,Phonemic,twist,key19581964;wyma1962;shoemaker,,,
10-170-274-3,esee1248,Ese Ejja,430,-kowiwi,Phonemic,twist,key19581964;wyma1962;shoemaker,,,
10-150-274-1,esee1248,Ese Ejja,827,xaxa-yo-,Phonemic,roll,key19581964;wyma1962;shoemaker,,,
10-140-274-1,esee1248,Ese Ejja,1113,ɗoɗoka-,Phonemic,"wind, wrap",key19581964;wyma1962;shoemaker,,,
10-140-274-3,esee1248,Ese Ejja,1113,ɗono-,Phonemic,"wind, wrap",key19581964;wyma1962;shoemaker,,,
10-130-274-1,esee1248,Ese Ejja,1445,poeoʔoya-,Phonemic,turn around,key19581964;wyma1962;shoemaker,,,
10-120-274-1,esee1248,Ese Ejja,1588,hea-peweweka-,Phonemic,turn over,key19581964;wyma1962;shoemaker,,,
10-110-274-1,esee1248,Ese Ejja,765,wewa-,Phonemic,move,key19581964;wyma1962;shoemaker,,,
10-110-274-3,esee1248,Ese Ejja,765,hea-wewa-,Phonemic,move,key19581964;wyma1962;shoemaker,,,
9-890-274-1,esee1248,Ese Ejja,2001,woʔo-nahe,Phonemic,paint (vb),key19581964;wyma1962;shoemaker,,,
9-890-274-3,esee1248,Ese Ejja,2001,tewe-nahe,Phonemic,paint (vb),key19581964;wyma1962;shoemaker,,,
9-791-274-1,esee1248,Ese Ejja,360,pee-nahe,Phonemic,fan (vb),key19581964;wyma1962;shoemaker,,,
