entry_id	trans_english	Zuni_Phonemic
2.46	grandfather	nana
2.461	old man	ɬaššikˀʸi
2.47	grandmother	hotta; wowo
2.471	old woman	ʔokʸac̷c̷ikˀʸi
2.48	grandson	nana
2.49	granddaughter	wowo; hotta
2.51	uncle	- -
2.511	mother's brother	kʸakʸa
2.512	father's brother	-tačču; -tačču c̷ʔana; -tačču ɬašši
2.52	aunt	- -
2.521	mother's sister	-c̷itta; c̷itta c̷ʔana; -c̷itta ɬašši
2.522	father's sister	kuku
2.53	nephew	ča-; tale; kˀʸasse
2.54	niece	ča-; ʔeyye; kˀʸasse
2.55	cousin	
2.56	ancestors	ʔāɬaššināwe
2.57	descendants	- -
2.61	father-in-law (of a man)	- -
2.611	father-in-law (of a woman)	- -
2.62	mother-in-law (of a man)	- -
2.621	mother-in-law (of a woman)	- -
2.63	son-in-law (of a man)	tālakˀʸi
2.631	son-in-law (of a woman)	tā̈lakˀʸi
2.64	daughter-in-law (of a man)	ʔulani
2.641	daughter-in-law (of a woman)	ʔulani
2.71	stepfather	- -
2.72	stepmother	ʔiniha
2.73	stepson	- -
2.74	stepdaughter	- -
2.75	orphan	- -
2.76	widow	hammiši
2.77	widower	hammiši
2.81	relatives, kinsmen	ʔīyanikʸina-
2.82	family	- -
2.91	I	hoʔ
2.92	you (singular)	toʔ
2.93	he/she/it	∅
2.94	we	hoʔno; hon
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	ton
2.96	they	ʔāči; ∅
3.11	animal	wo-; na-; wem-
3.12	male (adj)	ʔoc̷c̷i
3.13	female (adj)	ʔokʸa
3.15	livestock	wo-
3.16	pasture	- -
3.18	herdsman	wowillīkʷe
3.19	stable, stall	- -
3.2	cattle (bovine)	wākʸaši
3.21	bull	wamohap-
3.22	ox	- -
3.23	cow	- -
3.24	calf	wamc̷ʔana
3.25	sheep	kʸanēlu
3.26	ram	mohākʷe; kʸanēl ʔoc̷c̷i
3.28	ewe	kʸanēl ʔokʸa
3.29	lamb	čaʔc̷ʔana
3.32	boar	- -
3.34	sow	- -
3.35	pig	pic̷ūti
3.36	goat	čiwātu
3.37	he-goat	čiwāt mohhoppa
3.38	kid	čimc̷ʔana
3.41	horse (equine)	tūši
3.42	stallion	- -
3.44	mare	yēwa
3.45	foal, colt	tumc̷ʔana
3.46	ass, donkey	mešokˀo
3.47	mule	mūla
3.5	fowl	- -
3.52	cock, rooster	- -
3.54	hen	- -
3.55	chicken	tokōko
3.56	goose	ʔowa
3.57	duck	ʔeya
3.58	nest	- -
3.581	bird	woʔc̷ˀana
3.582	seagull	- -
3.583	heron	- -
3.584	eagle	kˀʸakˀʸali
3.585	hawk	
3.586	vulture	šuʔc̷ˀina
3.591	bat	ʔešoc̷i
3.592	parrot	mula
3.593	crow	kˀʷalaši
3.594	dove	nīšapakˀo
3.596	owl	muhukʷi
3.61	dog	wac̷c̷ita
3.614	rabbit	pokˀʸa; ʔokšikˀo
3.62	cat	mūsa
3.622	opossum	- -
3.63	mouse, rat	c̷ˀokɬikˀo
3.65	fish	kˀʸaššita
3.652	fin (dorsal)	- -
3.653	fishscale	- -
3.654	gill	- -
3.655	shell	
3.661	shark	- -
3.662	porpoise, dolphin	- -
3.663	whale	- -
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	yunāwikˀo
3.72	lion	hokti taša
3.73	bear	ʔanše
3.74	fox	ɬanako
3.75	deer	
3.76	monkey	monkʸi
3.77	elephant	- -
3.78	camel	kʸamelākʷe
3.81	insect	nom-
3.811	louse	me-
3.812	nit (louse egg)	- -
3.813	flea	me-
3.814	centipede	šola
3.815	scorpion	šola
3.816	cockroach	- -
3.817	ant	halo; hūpiskʸa
3.818	spider	tohsito
3.819	spider web	- -
3.82	bee	ʔohhāpa
3.821	beeswax	- -
3.822	beehive	- -
3.823	wasp	ʔohhāpa
3.83	fly	šonnaɬikˀo
3.831	sandfly (midge), gnat	- -
3.832	mosquito	ʔoʔto taša
3.84	worm	wi-
3.85	snake	ʔayasoʔa
3.91	firefly	- -
3.92	butterfly	pūla
3.93	grasshopper	čappa
3.94	snail	- -
3.95	frog	takkʸa
3.96	lizard	mišo
3.97	crocodile, alligator	čittol ʔasipa
3.98	turtle	ʔetōwa
4.11	body	ɬuni-
4.12	skin, hide	kʸemc̷ˀikʷa-
4.13	flesh	ši-
4.14	hair (head)	taya-
4.142	beard	c̷iponi-
4.144	body hair	c̷i-
4.145	pubic hair	c̷iya-
4.146	dandruff	kʸeɬaya-
4.15	blood	ʔate
4.151	vein, artery	kˀopalo-
4.16	bone	sa-
4.162	rib	šotto-
4.17	horn	saya-
4.18	tail	hokti-
4.19	back	massi-
4.191	spine	sappokʸaɬa-
4.2	head	ʔošokʷi-
4.201	side of head, temple	šontela-
4.202	skull	- -
4.203	brain	ʔoh-
4.204	face	noponni-
4.205	forehead	hakʸi
4.207	jaw	ɬeweči-
4.208	cheek	poheči-
4.209	chin	ɬeweči-
4.21	eye	tuna-
4.212	eyebrow	samyalanne
4.213	eyelid	tunakʸempoʔya-
4.214	eyelash	c̷ipčiyali-
4.215	blink	- -
4.22	ear	lašokti-
4.221	earlobe	- -
4.222	earwax	kʸēpōwe
4.23	nose	noʔli-
4.231	nostril	noʔaʔa-
4.232	mucus (nasal)	mačitōwe; sinokʷīwe
4.24	mouth	ʔawati-
4.241	beak	- -
4.25	lip	ʔišši-
4.26	tongue	honni-
4.27	tooth	ʔoʔna-
4.271	gums	šiwuɬta-
4.272	molartooth	- -
4.28	neck	kˀʸisi-
4.281	nape of neck	takˀʸiʔmowa-
4.29	throat	kˀʸisi-
4.3	shoulder	čuti-
4.301	shoulderblade	čutin sampočči-
4.302	collarbone	pomtaku-
4.31	arm	ʔasi-
4.312	armpit	nolokti-
4.32	elbow	mokči-
4.321	wrist	ʔasi c̷ʔana-
4.33	hand	ʔasi-
4.331	palm of hand	ʔasi tešokta-
4.34	finger	ʔasi piɬto-
4.342	thumb	ʔasi ɬanakkʸa
4.344	fingernail	šonči-
4.345	claw	šonči-
4.35	leg	sakʷi-
4.351	thigh	ʔoyyi-
4.352	calf of leg	šiʔpiya-
4.36	knee	ʔošši-
4.37	foot	wekʷi-
4.371	ankle	moʔɬeyakkʷi-
4.372	heel	ʔekˀossi-
4.374	footprint	teʔana-
4.38	toe	tukni-
4.392	wing	ʔepisse-; lata-
4.393	feather	la-
4.4	chest	poʔhata-
4.41	breast (of woman)	mehana-
4.412	nipple, teat	suʔto-
4.42	udder	kʷikˀʸa-
4.43	navel	šāmuluʔkʷi-
4.44	heart	ʔikˀʸēna-
4.441	lung	yupšali-
4.45	liver	hakkʷali-
4.451	kidney	moʔpewi-
4.452	spleen	pali-
4.46	stomach	c̷u-
4.461	intestines, guts	kˀo-
4.462	waist	ʔikkʷiʔkowa
4.463	hip	siti-
4.464	buttocks	puʔc̷i-
4.47	womb	- -
4.49	testicle	mohāwe
4.492	penis	tuʔli-
4.51	breathe, breath	yanhaku-; pinna-
4.52	yawn, gape	hawawa-; hawawa-
4.521	hiccough	sukˀu-
4.53	cough	ʔoho-
4.54	sneeze	hac̷ˀic̷ˀi-
4.55	perspire	hakʸiɬi-
4.56	spit	čukkˀoti-; pikˀʸa-
4.57	vomit	yakˀōwe; yakˀo-
4.58	bite	ʔutte-
4.59	lick	c̷ʔupɬi-
4.591	dribble	kˀʸašošo-
4.61	sleep	ʔala-; yātela-
4.612	snore	ɬelolo-
4.62	dream	halowa-
4.63	wake up	ʔokʷi-
4.64	break wind	ɬic̷ʔic̷ʔi-; heɬi-
4.65	urinate	hepi-
4.66	defecate	heye-
4.67	have sexual intercourse	šoha-
4.68	shiver	- -
4.69	bathe	ʔikˀošo-
4.71	beget (of father)	ʔančawo-
4.72	born (to be)	- -
4.73	pregnant	ʔisana-
4.732	conceive	ʔihtoha-
4.74	live, living, life	tekˀohanna-
4.75	die, dead	ʔaše-
4.751	drowned	- -
4.76	kill	ʔayna-
4.77	corpse	ʔeɬʔe
4.78	bury (the dead)	ʔupalo-
4.79	grave, tomb	- -
4.81	strong, mighty, powerful	c̷ʔumme-; ɬoʔo-
4.82	weak	pučʔali-
4.83	well, health	c̷emakʷi kˀokši
4.84	sick, sickness	c̷emakʷi potti
4.841	fever	- -
4.842	goiter	- -
4.843	cold (catarrh)	noʔčoma-
4.85	wound, sore	ʔaʔʔi-
4.852	bruise	- -
4.853	swelling	šole-
4.854	itch	kˀossa-
4.855	blister	- -
4.856	boil (noun)	- -
4.857	pus	heppo-
4.858	scar	ʔaʔna-
4.86	cure, heal	wenah-
4.87	physician	- -
4.88	medicine, drug	ʔakˀʷa-
4.89	poison	- -
4.91	tired, weary	yuteʔči-
4.912	rest	ʔiyuteʔčinaha-
4.92	lazy	ʔiči-; ʔamina-
4.93	bald	moʔsakˀʸaya-
4.94	lame	ʔimoči-
4.95	deaf	šopčina-
4.96	mute	- -
4.97	blind	tunašnapa-
4.98	intoxicated	hališona-
4.99	naked, bare	- -
5.11	eat	ʔito-
5.12	food	ʔitōwe
5.121	cooked	ʔakʷa-
5.122	raw	kˀʸapi-
5.123	ripe	kˀʸa-
5.124	green, unripe	- -
5.125	rotten	teči-
5.13	drink	tutu-
5.14	hunger	ʔoše-
5.141	famine	- -
5.15	thirst	kˀʸeya-
5.16	suck	c̷ic̷i-
5.18	chew	heyaʔu-
5.181	swallow	ʔikʷiɬi-
5.19	choke	kˀʷistokˀʸa-; pinna yaɬti-
5.21	cook	ʔakʷa-
5.22	boil (vb)	hemmo-
5.23	roast, fry	ʔalo-
5.24	bake	mulo-
5.25	oven	heʔpokˀo-
5.26	pot, cooking vessel	te-
5.27	kettle	sōte-
5.28	pan	sa-
5.31	dish	sa-
5.32	plate	sa-
5.33	bowl	sa-
5.34	pitcher, jug	te-
5.35	cup, drinking vessel	sa-
5.36	saucer	sa-
5.37	spoon	šokˀo-
5.38	knife	ʔačiya-
5.39	fork	kˀoyaʔči-
5.391	tongs	- -
5.41	meal (a)	- -
5.42	breakfast	- -
5.43	lunch	haneɬa-
5.44	dinner	- -
5.45	supper	- -
5.46	peel	c̷ˀikkʷa-
5.47	sieve, strain	siwi-
5.48	scrape	- -
5.49	stir, mix	kʷilipi-; ʔīpohɬikˀʸa-
5.51	bread	mu-
5.53	dough	moc̷a
5.54	knead	hec̷ˀuc̷ˀukˀa
5.55	meal, flour	ʔo-
5.56	crush, grind	ʔokkˀʸa-; heyaʔu-
5.57	mill	- -
5.58	mortar	ʔakˀʸe
5.59	pestle	- -
5.61	meat	- -
5.63	sausage	mossiyya
5.64	soup, broth	woleyāwe
5.65	vegetables	- -
5.66	bean	no-
5.7	potato	kˀʸapimo-
5.71	fruit	mowe
5.712	bunch	simo-
5.75	fig	- -
5.76	grape	molimo-; ʔuwa
5.77	nut	kˀu-
5.78	olive	- -
5.79	oil	ʔišana-
5.791	grease, fat	ʔišana-
5.81	salt	ma-; mākˀose
5.82	pepper	kˀol ʔowe
5.821	chili pepper	kˀola
5.84	honey	kˀʸalīwe
5.85	sugar	māčikʷa
5.86	milk (noun)	kʷikˀʸa-
5.87	milk (vb)	- -
5.88	cheese	kʷikˀʸāɬoʔonna-; kʸeso
5.89	butter	- -
5.9	beverage, drink	- -
5.91	mead	- -
5.92	wine	ʔuwa kˀʸawe
5.93	beer	kˀʸaʔopīwe
5.94	fermented drink	- -
5.97	egg	tokōko mo-
5.971	egg yolk	- -
6.11	put on (clothes)	kʷanɬeya-
6.12	clothing, clothes	ɬeyāwe
6.13	tailor	ʔipikɬēnʔona
6.21	cloth	kuč-; pisse-
6.22	wool	ʔuwe
6.23	linen, flax	- -
6.24	cotton	ʔuʔle
6.25	silk	sēla
6.27	felt	- -
6.28	fur	we-; ʔuyāwe
6.29	leather	kʸe-
6.31	spin	- -
6.32	spindle	- -
6.33	weave	- -
6.34	loom	- -
6.35	sew	pikɬa-
6.36	needle	simi-
6.37	awl	- -
6.38	thread	- -
6.39	dye	yaʔšo-; yaʔšonakʸa
6.41	cloak	yatona-
6.411	poncho	- -
6.42	woman's dress	ʔučču-
6.43	coat	lēwa-
6.44	shirt	ʔuččǔ-
6.45	collar	- -
6.46	skirt	hasikkʷi-
6.461	grass-skirt	- -
6.48	trousers	kučči-
6.49	stocking, sock	tumokkˀʷa-
6.51	shoe	mokkˀʷa-
6.52	boot	pūc̷i-
6.54	shoemaker, cobbler	mokkˀʷāwašenʔona
6.55	hat, cap	poʔya-
6.57	belt, girdle	kʸemmekʷi-
6.58	glove	ʔasuli-
6.59	veil	- -
6.61	pocket	wahta-
6.62	button	matto-
6.63	pin	hematto-
6.71	ornament, adornment	čito-
6.72	jewel	- -
6.73	ring (for finger)	nic̷ikʸa
6.74	bracelet	- -
6.75	necklace	taku-
6.76	bead	mo-
6.77	earring	sato-
6.78	headband, headdress	ʔoɬpa-
6.79	tattoo	- -
6.81	handkerchief, rag	ɬihali-; hankʸeči
6.82	towel	- -
6.91	comb	ʔipiškʸa
6.92	brush	- -
6.921	braid	- -
6.93	razor	ʔiyalušnakʸa
6.94	ointment	ʔišonāwe; ʔišakˀʸanakʸa
6.95	soap	- -
6.96	mirror	ʔīyunakˀʸa ʔaʔle
7.11	dwell, live	teya-
7.12	house	kˀʸakʷe-; hešota-
7.13	hut	- -
7.131	garden-house	- -
7.14	tent	hampo-
7.15	yard, court	tekʷana-
7.16	men's house	kʸiwihc̷i-
7.17	cookhouse	- -
7.18	meeting house	kʸiwihc̷i-
7.21	room	kˀʸakʷe-; hešota-
7.22	door, gate	ʔaɬti-; ʔawēna-
7.221	doorpost, jamb	- -
7.23	lock (noun)	ɬac̷ˀikʷa-
7.231	latch, door-bolt	kˀuc̷ˀa-
7.24	key	- -
7.25	window	ʔaššoʔwa-
7.26	floor	ʔaweɬa
7.27	wall	heʔʔi-
7.31	fireplace	ɬemotina-; ʔaklikʸana-
7.32	stove	heɬemotina-
7.33	chimney	- -
7.37	ladder	ɬec̷ˀilo-
7.42	bed	pewi-
7.421	pillow	payya-
7.422	blanket	paʔʔi-; yanni-
7.43	chair	ɬempayya-
7.44	table	ɬempowa-
7.45	lamp, torch	hapiya-; ʔopc̷ˀi-
7.46	candle	- -
7.47	shelf	- -
7.48	trough	- -
7.51	roof	teyala
7.52	thatch	- -
7.53	ridgepole	- -
7.54	rafter	- -
7.55	beam	yaɬa-
7.56	post, pole	kˀum-
7.57	board	ɬe-
7.58	arch	- -
7.61	mason	heʔʔēn ʔona
7.62	brick	- -
7.63	mortar	- -
7.64	adobe	ʔēʔa-
8.11	farmer	- -
8.12	field (for cultivation)	tehwa-; teyaččina-
8.13	garden	ɬattekˀʷa-
8.15	cultivate, till	ɬalla-
8.16	fence	- -
8.17	ditch	ʔakkʷe-
8.21	plow	heʔčoɬto-
8.212	furrow	- -
8.22	dig	ʔakˀoʔu-
8.23	spade	hēɬe-
8.24	shovel	hēɬe-
8.25	hoe	wapaʔʔana-
8.26	fork	kˀoyaʔči-
8.27	rake	hešonči-
8.31	sow	- -
8.311	seed	tōšōwe
8.32	mow, reap	- -
8.33	sickle, scythe	čimayašnakʸa
8.34	thresh	- -
8.35	threshing-floor	- -
8.41	crop, harvest	- -
8.42	grain (barley, oats etc)	kʸa-
8.43	wheat	čimaya-; čimatta-
8.44	barley	- -
8.45	rye	- -
8.46	oats	ʔowc̷i; kʸasililīwe
8.47	maize, corn	-towa
8.48	rice	wic̷ʔanāwe
8.51	grass	pe-
8.52	hay	hawe
8.53	plant (noun)	lena-
8.531	plant (vb)	toye-
8.54	root	ɬakʷimo-
8.55	branch	yači-
8.56	leaf	ha-; ho-
8.57	flower	ʔuteya-
8.6	tree	tatta-
8.61	oak	taʔwi
8.62	beech	- -
8.63	birch	- -
8.64	pine	ʔašekˀʸa
8.65	fir	kˀʸaɬac̷ˀilo
8.66	acorn	taʔwi mo-
8.67	vine	piwanna-
8.68	tobacco	c̷ana; ʔanate
8.69	smoke (tobacco)	pokɬi-
8.691	pipe	- -
8.72	tree stump	- -
8.73	tree trunk	kˀum-
8.74	forked branch	kˀoyaʔči-
8.75	bark	c̷ˀikkʷa-
8.76	sap	- -
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	- -
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	mōkˀʸisi; tom-
8.931	pumpkin, squash	mōteyaɬa; mēmo-
8.94	bamboo	- -
8.941	sugar cane	kˀʸewe
8.96	fish poison (root)	- -
8.97	nettle	- -
8.98	mushroom	puhči
9.11	do, make	ʔaša-
9.12	work	yuʔmakʷe-; ʔīkʷāni-
9.14	bend	toc̷ippo-; c̷ˀikˀo-; noʔtekla-
9.15	fold	ʔīpoʔku-
9.16	tie, bind	
9.161	untie	ʔihtoha-
9.18	chain	hewiyulli-
9.19	rope, cord	toʔni-
9.192	knot (noun)	
9.21	strike (hit, beat)	
9.211	pound with fist	- -
9.22	cut	c̷ˀiya-
9.221	cut down	ʔiteha-
9.222	chop, hew	ɬepakčo-
9.223	stab	ɬakʷu-
9.23	knife	ʔačiya-
9.24	scissors, shears	ʔīpačči; ʔapc̷ˀišlenakʸa
9.25	ax	kˀʸi-
9.251	adze	- -
9.26	break	yami-
9.261	broken	kˀuhmo-
9.27	split	ʔīšokʷiha-
9.28	tear	c̷ˀiya-
9.29	flay, skin	- -
9.31	rub, wipe	čišša-; muyye-
9.32	stretch	šalu-; c̷ˀaɬi-
9.33	pull	ʔanahha-
9.34	spread out	wakˀʷa-
9.341	hang up	piyaʔu-
9.342	press	hec̷ˀu-
9.343	squeeze, wring	hec̷ʔu-
9.35	pour	- -
9.36	wash	kˀošo-
9.37	sweep	tepišša-
9.38	broom	pep-
9.422	tool	- -
9.43	carpenter	ɬewīkʷanikʸēn ʔona
9.44	build	ʔaša-
9.46	bore	piɬkʷe-
9.461	hollow out	heʔkˀoʔu-
9.48	saw	ɬititina-
9.49	hammer	hetoknakʸa
9.5	nail	hēkˀʸac̷c̷oto-
9.56	glue	kˀʸapikˀʸāwe
9.6	smith, blacksmith	hetokkˀʸēn ʔona
9.61	forge	- -
9.62	anvil	- -
9.63	cast (metals)	- -
9.64	gold	ʔōlo
9.65	silver	lāta; c̷īhewe
9.66	copper, bronze	tesililīwe
9.67	iron	hewe
9.68	lead (noun)	- -
9.69	tin, tinplate	- -
9.71	potter	tewašēn ʔona
9.72	mold (clay etc)	- -
9.73	clay	heli-
9.74	glass	ʔa-
9.75	weave, plait	- -
9.76	basket	
9.77	mat	- -
9.771	rug	pisāli-
9.78	netbag	- -
9.79	fan (noun)	- -
9.791	fan (vb)	- -
9.81	carve	- -
9.82	sculptor	- -
9.83	statue	- -
9.84	chisel	- -
9.88	paint (noun)	heli-
9.89	paint (vb)	- -
10.11	move	ʔīmoha-; tinaha-
10.12	turn over	yampaʔkʷiha-; noʔtekla-ʔu
10.13	turn around	ʔallūpi-
10.14	wind, wrap	peha-
10.15	roll	ponoɬpani-; pololoʔu-
10.16	drop (vb)	ʔiteha-
10.17	twist	- -
10.21	rise	- -
10.22	raise, lift	kˀʸeyatoʔu-
10.23	fall	lani-
10.24	drip	c̷ˀokˀo-
10.25	throw	ʔipaku-
10.252	catch (ball)	yate-
10.26	shake	- -
10.32	flow	- -
10.33	sink	wakkʷato-
10.34	float	kˀʸaya-
10.35	swim	ʔičukˀʸayē-
10.351	dive	- -
10.352	splash	čepe-
10.36	sail (vb)	- -
10.37	fly (vb)	laʔhi-
10.38	blow	ʔuʔʔa-; pūpuʔʔa-
10.41	creep, crawl	ponān-
10.412	kneel	moʔc̷okti powa-
10.413	crouch	moʔc̷ok ʔīmu-
10.42	slide, slip	- -
10.43	jump, leap	ʔīpuʔlaʔhi-
10.431	kick	yačču-
10.44	dance	ʔota-
10.45	walk	- -
10.451	limp	ʔimoči-
10.46	run	yēlaha-; ʔiɬuwaha-
10.47	go	ʔān-
10.471	go up	yemaku-
10.472	climb	yemaku-
10.473	go down	paniyu-
10.474	go out	kʷayi-
10.48	come	ʔiy-
10.481	come back	ʔikˀʷaɬt ʔiy-
10.49	go away, depart	- -
10.491	disappear	ʔotti-
10.51	flee	- -
10.52	follow	ʔantapan ʔān-
10.53	pursue	ʔallaha-
10.55	reach, arrive	teʔči-
10.56	approach	- -
10.57	enter	kʷato-
10.61	carry (bear)	seto-
10.612	carry-in-hand	ɬeʔā-
10.613	carry-on-shoulder	čut-ʔan y-aɬto-kˀʸa-
10.614	carry-on-head	ɬakto-
10.615	carry-underarm	nolokt-ʔan ɬac̷c̷ˀ-u-; nolokt-ʔan ɬac̷c̷ˀiye
10.62	bring	- -
10.63	send	- -
10.64	lead (vb)	- -
10.65	drive	- -
10.66	ride	ʔimyaɬto-
10.67	push, shove	ʔulate-
10.71	road	ʔona-
10.72	path	ʔona-
10.74	bridge	yatonakʸa
10.75	carriage, wagon, cart	
10.76	wheel	heʔpowa-
10.77	axle	- -
10.78	yoke	- -
10.81	ship	- -
10.83	boat	kˀʸayan ʔallukkʸanakʸa
10.831	canoe	- -
10.832	outrigger	- -
10.84	raft	- -
10.85	oar	- -
10.851	paddle (noun)	- -
10.852	row (vb)	- -
10.86	rudder	- -
10.87	mast	- -
10.88	sail (noun)	- -
10.89	anchor	- -
10.91	harbor, port	- -
10.92	land (vb)	- -
11.11	have	ʔilli-
11.12	own, possess	- -
11.13	take	ʔiɬeyaʔu-; ʔahha-
11.14	seize, grasp	yakna-
11.15	hold	ɬeya-
11.16	get, obtain	ʔahha-
11.17	keep, retain	yakna-
11.18	thing	wo-
11.21	give	ʔuc̷ˀi-
11.22	give back	- -
11.24	preserve, look after	ʔay-yupači-
11.25	save, rescue	tehya-ʔu-
11.27	destroy	yaɬa-kʷayi-
11.28	harm, injure, damage	haši-
11.31	seek, look for	tešu-
11.32	find	- -
11.33	lose	ʔokkˀʸa-
11.34	release, let go	yaknaha-
11.43	money	he-
11.44	coin	he-
11.51	rich	līku-
11.52	poor	tewukoʔliya-
11.53	beggar	ʔanɬimoša-
11.54	avaricious, stingy	miʔtokˀo-; ɬoʔo-
11.61	lend	- -
11.62	borrow	ʔilopi-
11.63	owe	- -
11.64	debt	- -
11.65	pay (vb)	- -
11.66	account, reckoning	- -
11.69	tax, tribute	- -
11.77	hire	- -
11.78	wages	- -
11.79	earn	- -
11.81	buy	tapi-
11.82	sell	haliso-
11.83	trade, barter	- -
11.84	merchant	halisoyn ʔona
11.85	market (place)	- -
11.86	store, shop	- -
11.87	price	- -
11.88	dear (costly, expensive)	tehya-
11.89	cheap	- -
11.91	share (distribute)	pači-
11.92	weigh	- -
12.1	after	- -
12.11	behind	yalu-
12.2	beside	pakkʷi-
12.3	down, below	manikkʸa
12.4	before	- -
12.41	front	- -
12.5	inside, in	ʔuli-
12.6	outside	ʔuɬɬa-; tekʷana-
12.7	under	manikkʸa; ʔapalli-
12.8	up, above	ʔīyama
12.11	place	- -
12.12	put	- -
12.13	sit	
12.14	lie down	- -
12.15	stand	
12.16	remain, stay	
12.17	remains, left overs	y-ečči-kˀona
12.21	collect, gather	- -
12.212	pick up	ʔahha-
12.213	pile up	- -
12.22	join, unite	yakšu-; ʔisliʔu-
12.23	separate	ʔiwopc̷ˀiha-
12.232	divide	ʔīpači-
12.24	open	- -
12.25	shut, close	- -
12.26	cover	- -
12.27	hide, conceal	ʔikˀoloʔu-
12.31	high	kuʔtelʔan
12.32	low	- -
12.33	top	kˀʸac̷c̷oʔwa-
12.34	bottom	paɬto-
12.35	end	- -
12.352	pointed	tahna-
12.353	edge	- -
12.36	side	- -
12.37	middle, center	ʔitiwa
12.41	right (side)	ʔitokkʷa
12.42	left (side)	wešikkˀʸa
12.43	near (adv)	lotte
12.44	far (adv)	hoɬomaši-
12.45	east	tewankʷin
12.46	west	sunhākʷin
12.47	north	pišlankʷin
12.48	south	maʔkˀʸayakʷin
12.53	grow	ɬa-
12.54	measure	ʔiteču-
12.541	span, fathom	- -
12.55	large, big	ɬana-
12.56	small, little	c̷ˀana-
12.57	long	tašana-
12.58	tall	tašana-
12.59	short	koni-
12.61	wide, broad	kˀʸapa-
12.62	narrow	- -
12.63	thick (in dimension)	yahoni-
12.65	thin (in dimension)	pisse-
12.67	deep	tetašana-
12.68	shallow	tekoni-
12.71	flat	- -
12.73	straight	moɬa-
12.74	crooked	c̷ˀikˀo-
12.75	hook	- -
12.76	corner	he ʔšokˀo
12.77	cross	- -
12.78	square	mayā kˀokši-
12.81	round	pic̷ulliya-
12.82	circle	pic̷ulliya-
