entry_id	trans_english	Cavineña_Phonemic
7.64	adobe	--
8.11	farmer	
8.12	field (for cultivation)	te(ʔ)e
8.13	garden	
8.15	cultivate, till	peho-ya
8.16	fence	e-taraka-ne-ke
8.17	ditch	matoha akʷa
8.21	plow	
8.212	furrow	
8.22	dig	poro-ya
8.23	spade	yara
8.24	shovel	wakaba
8.25	hoe	[asuera]
8.26	fork	čewe; čomo
8.27	rake	
8.31	sow	
8.311	seed	e-kaka
8.32	mow, reap	hikʷi-hikʷi-ya
8.33	sickle, scythe	--
8.34	thresh	
8.35	threshing-floor	--
8.41	crop, harvest	taka-
8.42	grain (barley, oats etc)	e-c̷o-kaka
8.43	wheat	
8.44	barley	
8.45	rye	--
8.46	oats	
8.47	maize, corn	ihike
8.48	rice	[aroso]
8.51	grass	noc̷a
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	poča-ya
8.54	root	e-tiri
8.55	branch	ya(ʔ)a
8.56	leaf	e-haki
8.57	flower	šaša
8.6	tree	akʷi
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	kono
8.68	tobacco	omaha
8.69	smoke (tobacco)	omaha-ho-ya
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	akʷi tibo; e-tibo
8.74	forked branch	
8.75	bark	e-biti
8.76	sap	e-madi
8.81	palm tree	bi(ʔ)i
8.82	coconut	--
8.83	citrus fruit	[rimo]
8.84	banana tree	bodari baka
8.85	banyan	--
8.91	sweet potato	kono-kahi
8.912	yam	
8.92	tapioca, manioc, cassava	kʷawe
8.93	gourd	tamaboko
8.931	pumpkin, squash	kemi
8.94	bamboo	
8.941	sugar cane	šita
8.96	fish poison (root)	ac̷a
8.97	nettle	bakec̷a
8.98	mushroom	hiʔi
9.11	do, make	a-ya; kati-ya
9.12	work	mere-ya
9.14	bend	tari-ya
9.15	fold	no-ka-ya
9.16	tie, bind	risi-ya, kaka-
9.161	untie	piso-ya
9.18	chain	--
9.19	rope, cord	
9.192	knot (noun)	e-risi-ke
9.21	strike (hit, beat)	a-ya, miri-ya
9.211	pound with fist	miri-ya, hari-ya
9.22	cut	hikʷi-ya
9.221	cut down	kʷere-ya
9.222	chop, hew	take-
9.223	stab	sakʷa-ya
9.23	knife	[kočiro]-kaka
9.24	scissors, shears	[tišira]
9.25	ax	[hača]
9.251	adze	--
9.26	break	ra-ke-ya
9.261	broken	e-ra-ke-tana-ke
9.27	split	bori-ya
9.28	tear	čaha-ya
9.29	flay, skin	
9.31	rub, wipe	popi-; tedi-
9.32	stretch	honona-ya
9.33	pull	tino-ya
9.34	spread out	piha-ya
9.341	hang up	bade-
9.342	press	hepe-ya
9.343	squeeze, wring	tisi-ya
9.35	pour	pake-
9.36	wash	oc̷a-ya
9.37	sweep	habo-ya
9.38	broom	e-bobo-ki
9.422	tool	
9.43	carpenter	
9.44	build	
9.46	bore	kani-ne-ya
9.461	hollow out	kani-ne-
9.48	saw	[seročo]
9.49	hammer	
9.5	nail	tata-ya
9.56	glue	sipi-ta-ya
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	čipiro metara
9.66	copper, bronze	--
9.67	iron	--
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	[mode]
9.73	clay	mei, oyo-oyo
9.74	glass	
9.75	weave, plait	pika-ya
9.76	basket	kota
9.77	mat	hopi
9.771	rug	--
9.78	netbag	šoromai
9.79	fan (noun)	e-pi-ki
9.791	fan (vb)	pei-ya
9.81	carve	--
9.82	sculptor	--
9.83	statue	[yoso]kʷana
9.84	chisel	--
9.88	paint (noun)	horo-horo
9.89	paint (vb)	wene-ya
10.11	move	bokoko-ya
10.12	turn over	tipiro tipiro hoya
10.13	turn around	tipirotana-ya
10.14	wind, wrap	dono-ya
10.15	roll	e-kaka-ke
10.16	drop (vb)	patataya-ke
10.17	twist	tari-ya
10.21	rise	neti-c̷ora-ya
10.22	raise, lift	wesa-
10.23	fall	ribi-ya
10.24	drip	hori-; patata-
10.25	throw	mare-ya
10.252	catch (ball)	ina-ya
10.26	shake	itata-ya
10.32	flow	hori-ya
10.33	sink	
10.34	float	heta-ya
10.35	swim	bec̷a-ya
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	heta-ya
10.38	blow	hoha-ya
10.41	creep, crawl	reme-ya
10.412	kneel	nono-ya
10.413	crouch	pehi
10.42	slide, slip	heri-da
10.43	jump, leap	potitana-
10.431	kick	tapa-
10.44	dance	ihawe-ho-ya
10.45	walk	ahe-ya
10.451	limp	rodo-ya
10.46	run	c̷ahaha-ya
10.47	go	kʷa-ya; diro-ya
10.471	go up	c̷ora-ya
10.472	climb	
10.473	go down	botia-ya; bote-ya
10.474	go out	kʷina-na-ya
10.48	come	he-ya; heti-ya
10.481	come back	yodihidʸa
10.49	go away, depart	kʷinana-ya
10.491	disappear	apota-ya
10.51	flee	wana-
10.52	follow	topo-ya
10.53	pursue	topo-hodʸa
10.55	reach, arrive	hona-ya
10.56	approach	hipetana-ya
10.57	enter	nobi-ya
10.61	carry (bear)	mapa-ya
10.612	carry-in-hand	
10.613	carry-on-shoulder	mapa-ya
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	be-ya; keti-ya
10.63	send	kʷadiša-ya
10.64	lead (vb)	
10.65	drive	
10.66	ride	isaʔani-ya
10.67	push, shove	itoša-ya
10.71	road	edihi
10.72	path	e-kari
10.74	bridge	waraša
10.75	carriage, wagon, cart	[kareto]
10.76	wheel	
10.77	axle	
10.78	yoke	yobo
10.81	ship	--
10.83	boat	
10.831	canoe	kʷaba
10.832	outrigger	--
10.84	raft	bihi; pere
10.85	oar	e-taro-ki
10.851	paddle (noun)	e-taro-ki
10.852	row (vb)	taro-ya
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	e-bote; e-bote-ho
10.92	land (vb)	hona-ya; hoeti-ya
11.11	have	ani-ya
11.12	own, possess	-ha; e-meči-ki
11.13	take	doho-ya; mapa-ya
11.14	seize, grasp	ina-ya
11.15	hold	
11.16	get, obtain	dadi-
11.17	keep, retain	iya-hidaa-ya
11.18	thing	ai-kʷana
11.21	give	tʸa-ya
11.22	give back	tʸa-no-ka-
11.24	preserve, look after	iya-hidaa-ya
11.25	save, rescue	
11.27	destroy	pokokoša-ya
11.28	harm, injure, damage	hari-
11.31	seek, look for	sare-ya
11.32	find	c̷oro-ya
11.33	lose	apota-ya
11.34	release, let go	iyati-ya
11.43	money	čipiro
11.44	coin	
11.51	rich	čipiro-ki
11.52	poor	nereka-da
11.53	beggar	
11.54	avaricious, stingy	inihe-da
11.61	lend	tʸa-wahari
11.62	borrow	tʸawahari
11.63	owe	mano-ki
11.64	debt	mano
11.65	pay (vb)	c̷ohete-a-ya
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	kemi-ya
11.82	sell	katʸatia-ya
11.83	trade, barter	
11.84	merchant	katʸati-pohi
11.85	market (place)	
11.86	store, shop	
11.87	price	e-c̷ohe-ki
11.88	dear (costly, expensive)	c̷ohe-ari-da
11.89	cheap	c̷ohe-ari-da-ma
11.91	share (distribute)	
11.92	weigh	topo-ya
12.1	after	ho(ʔ)ac̷o; hadʸa-ac̷o
12.11	behind	topo-ho
12.2	beside	peke
12.3	down, below	e-ma-ke
12.4	before	ikʷene
12.41	front	e-kʷe-yakʷa-toyo
12.5	inside, in	-ho; e-doko-ho
12.6	outside	ec̷ekʷe
12.7	under	e-ma-ke
12.8	up, above	e-baro-kʷe
12.11	place	e-anikʷare ?-?
12.12	put	iya-ya
12.13	sit	ani-bote-ya
12.14	lie down	ha-ra-ya
12.15	stand	neti-ya
12.16	remain, stay	
12.17	remains, left overs	e-ara-kana
12.21	collect, gather	sita-ya; dida-ya
12.212	pick up	mepe-ya
12.213	pile up	rada-ya
12.22	join, unite	sita-ya
12.23	separate	haka-ya
12.232	divide	tʸabare-ya
12.24	open	pakaša-ya
12.25	shut, close	teri-ya; tači-
12.26	cover	rama-ya
12.27	hide, conceal	ka-tewa-ho-ya
12.31	high	baro-da-ke
12.32	low	e-bote
12.33	top	dʸa-ke
12.34	bottom	
12.35	end	
12.352	pointed	kʷero-da
12.353	edge	hiroro
12.36	side	peke
12.37	middle, center	patʸa; ekare
12.41	right (side)	hida-e-ke
12.42	left (side)	hani
12.43	near (adv)	hapa-da-ma
12.44	far (adv)	hapa-da
12.45	east	
12.46	west	iheti-keha
12.47	north	
12.48	south	beni-keha
12.53	grow	baro-na-ya
12.54	measure	topo-ya
12.541	span, fathom	
12.55	large, big	ari-da; ari-na
12.56	small, little	ačača
12.57	long	hono-da
12.58	tall	baro-da-ke
12.59	short	hono-da-ma
12.61	wide, broad	kini-da
12.62	narrow	kini-da-ma
12.63	thick (in dimension)	ari-da
12.65	thin (in dimension)	ari-da-ma
12.67	deep	deda
12.68	shallow	deda-ma-ke
12.71	flat	hepe-da-ke
12.73	straight	toyo
12.74	crooked	peno
12.75	hook	čewe
12.76	corner	e-c̷oko
12.77	cross	[koroso]
12.78	square	c̷oko-ki
12.81	round	kʷarero-da
12.82	circle	kʷarero-da
12.83	sphere, ball	pokaka-da
12.84	line	wikaoho
12.85	hole	kani
12.92	like, similar	bata-ki
12.93	change	kʷare-ya
13.0	zero, nothing	aihama
13.1	one	pea-dʸa
13.2	two	beta
13.3	three	kimiša
13.4	four	poši
13.5	five	pišika
13.6	six	šokota
13.7	seven	pa-ka-roko
13.8	eight	kimisa-ka-roko
13.9	nine	posko-roko
13.10	ten	tonka
13.101	eleven	pea-dʸa-tonka
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	pieba-ya
13.14	every, all	dotʸa; yota
13.15	much, many	oma-da; hetiama
13.16	more	
13.17	little (quantity), few	-pihi
13.18	enough	kamadʸa
13.181	some	peadʸa peadʸa
13.19	multitude, crowd	e-kʷita-kʷana
13.21	full	e-he-ke
13.22	empty	isama-ke
13.23	part, piece	ekʷesi
13.24	half	patʸa-ha-ke
13.33	alone, only	tota
13.34	first	ikʷene
13.35	last	kamadʸa-išo
13.36	second	
13.37	pair	kareki; tac̷e
13.38	two times	yac̷e
13.42	third	
13.44	three times	
14.11	time	wekaka
14.12	age	
14.13	new	i-[y]akʷa-ke
14.14	young	ewe ebari
14.15	old	e-siri-ke; bero
14.16	early	
14.17	late	čine-keha
14.18	now	i[y]akʷa
14.19	immediately	iyaha-kʷita
14.21	swift, fast, quick	ebaharara
14.22	slow	inime-e-ke
14.23	hasten, hurry	ebaharara-kʷita
14.24	retard, delay	
14.25	begin, beginning	ka-tibo-ti-ya
14.252	last, endure	ido-ya
14.26	end (temporal)	
14.27	finish	tere-ya
14.28	cease, stop	
14.29	ready	
14.31	always	dotʸa-wekaka
14.32	often	
14.33	sometimes	
14.331	soon	ebaharara
14.332	long-time (for a)	c̷ono-da
14.34	never	kamadʸa
14.35	again	todʸa-noka-dʸa
14.41	day	wekaka
14.42	night	meta
14.43	dawn	wekaka-ya
14.44	morning	apo-daho-dʸa
14.45	noon, midday	barepa-tʸa
14.451	afternoon	čine-keha
14.46	evening	
14.47	today	i[y]akʷa wekaka
14.48	tomorrow	meta-hodʸa
14.481	day-after-tomorrow	tibene
14.49	yesterday	ria-barepa
14.491	day-before-yesterday	tibene
14.51	hour	[ora]
14.53	clock, timepiece	[ora]
14.61	week	
14.62	Sunday	[domiko]
14.63	Monday	[roneši]
14.64	Tuesday	[marteši]
14.65	Wednesday	[mirikoreši]
14.66	Thursday	[weweši]
14.67	Friday	[wiereneši]
14.68	Saturday	[sabaro]
14.71	month	badi
14.73	year	mara
