entry_id	trans_english	Estonian_Phonemic
3.37	he-goat	sokk
3.38	kid	kitsetall
3.41	horse (equine)	hobune
3.42	stallion	tækk
3.44	mare	mær̃a
3.45	foal, colt	war̃ss
3.46	ass, donkey	eesel
3.47	mule	muul
3.5	fowl	kodulind
3.52	cock, rooster	kukk
3.54	hen	kana
3.55	chicken	kanapoeg
3.56	goose	hani
3.57	duck	par̃t
3.58	nest	pesa
3.581	bird	lind
3.582	seagull	mer̃ikayakas
3.583	heron	haigur̃
3.584	eagle	kotkas
3.585	hawk	kull
3.586	vulture	r̃aisakotkas
3.591	bat	nahkhiir̃
3.592	parrot	papagoi
3.593	crow	war̃es
3.594	dove	tuwi
3.596	owl	öökull
3.61	dog	koer̃
3.614	rabbit	yænes
3.62	cat	kass
3.622	opossum	opossum; kukkur̃r̃ott
3.63	mouse, rat	hiir̃; r̃ott
3.65	fish	kala
3.652	fin (dorsal)	uim
3.653	fishscale	kalasoomus
3.654	gill	ləpus
3.655	shell	teokar̃p
3.661	shark	hai
3.662	porpoise, dolphin	delfiin
3.663	whale	waal
3.664	stingray	astelr̃ai
3.665	freshwater eel	magewee angeryas
3.71	wolf	hunt
3.72	lion	ləwi
3.73	bear	kar̃u
3.74	fox	r̃ebane
3.75	deer	hir̃w
3.76	monkey	ahw
3.77	elephant	elewant
3.78	camel	kaamel
3.81	insect	putukas
3.811	louse	tæi
3.812	nit (louse egg)	ting; tæimuna
3.813	flea	kir̃p
3.814	centipede	sayayalgne
3.815	scorpion	skor̃pion
3.816	cockroach	pr̃ussakas
3.817	ant	sipelgas
3.818	spider	æmblik
3.819	spider web	æmblikuwər̃k
3.82	bee	mesilane
3.821	beeswax	meewaha
3.822	beehive	tar̃u; mesipuu
3.823	wasp	her̃ilane
3.83	fly	kær̃bes
3.831	sandfly (midge), gnat	kihulane; sææsk
3.832	mosquito	moskiito
3.84	worm	uss; wagel
3.85	snake	madu; uss
3.91	firefly	yaanimar̃dikas
3.92	butterfly	liblikas
3.93	grasshopper	r̃ohutir̃ts
3.94	snail	tigu
3.95	frog	konn
3.96	lizard	sisalik
3.97	crocodile, alligator	kr̃okodill; alligaator̃
3.98	turtle	kilpkonn
4.11	body	keha; ihu
4.12	skin, hide	nahk
4.13	flesh	liha
4.14	hair (head)	yuuksed
4.142	beard	habe
4.144	body hair	kar̃wad
4.145	pubic hair	hæbemekar̃wad
4.146	dandruff	kəəm
4.15	blood	wer̃i
4.151	vein, artery	ween; ar̃ter
4.16	bone	kont; luu
4.162	rib	r̃oie; r̃ibi
4.17	horn	sar̃w
4.18	tail	saba
4.19	back	selg
4.191	spine	selgr̃oog
4.2	head	pea
4.201	side of head, temple	meelekoht; oim
4.202	skull	kolyu; pealuu
4.203	brain	ayu
4.204	face	nægu
4.205	forehead	laup; otsmik
4.207	jaw	ləualuu
4.208	cheek	pəsk
4.209	chin	ləug
4.21	eye	silm
4.212	eyebrow	kulm
4.213	eyelid	silmalaug
4.214	eyelash	(silma)r̃ipse
4.215	blink	silmi pilgutama
4.22	ear	kər̃w
4.221	earlobe	kər̃wanibu
4.222	earwax	kər̃wawaik
4.23	nose	nina
4.231	nostril	(nina)səər̃e
4.232	mucus (nasal)	tatt
4.24	mouth	suu
4.241	beak	nokk
4.25	lip	huul
4.26	tongue	keel
4.27	tooth	hammas
4.271	gums	igemed
4.272	molartooth	pur̃ihammas
4.28	neck	kael
4.281	nape of neck	kukal
4.29	throat	kər̃i
4.3	shoulder	əlg
4.301	shoulderblade	abaluu
4.302	collarbone	r̃angluu
4.31	arm	kæsiwar̃s
4.312	armpit	kaenlaauk
4.32	elbow	küünar̃nukk
4.321	wrist	(kæe)r̃anne
4.33	hand	kæsi
4.331	palm of hand	pihk; peopesa
4.34	finger	sər̃m
4.342	thumb	pöial
4.344	fingernail	(sər̃me)küüs
4.345	claw	küünis
4.35	leg	yalg
4.351	thigh	r̃eis
4.352	calf of leg	sæær̃emar̃i
4.36	knee	pəlw
4.37	foot	yalg ~ labayalg
4.371	ankle	pahkluu
4.372	heel	kand
4.374	footprint	(yala)yælg
4.38	toe	war̃was
4.392	wing	tiib
4.393	feather	sulg
4.4	chest	r̃ind
4.41	breast (of woman)	r̃ind
4.412	nipple, teat	nisa; r̃ind
4.42	udder	udar̃
4.43	navel	naba
4.44	heart	süda
4.441	lung	kops
4.45	liver	maks
4.451	kidney	neer̃
4.452	spleen	pər̃n
4.46	stomach	magu
4.461	intestines, guts	sisikond
4.462	waist	piht; talye
4.463	hip	puus
4.464	buttocks	taguots; istmik
4.47	womb	emakas
4.49	testicle	munand
4.492	penis	peenis
4.51	breathe, breath	hingama, hingamine
4.52	yawn, gape	haigutama
4.521	hiccough	luksuma
4.53	cough	köhima
4.54	sneeze	aewastama
4.55	perspire	higistama
4.56	spit	sülitama
4.57	vomit	oksendama
4.58	bite	hammustama
4.59	lick	lakkuma
4.591	dribble	nir̃isema ~ nər̃isema
4.61	sleep	magama
4.612	snore	nor̃skama
4.62	dream	und nægema
4.63	wake up	ær̃kama
4.64	break wind	peer̃etama
4.65	urinate	ur̃ineer̃ima; kusema
4.66	defecate	r̃ooyama; sittuma
4.67	have sexual intercourse	sugulises wahekor̃r̃as olema; nussima
4.68	shiver	wær̃isema
4.69	bathe	(üleni) pesema; suplema
4.71	beget (of father)	sigitama
4.72	born (to be)	sündima; sündinud
4.73	pregnant	r̃ase; tiine
4.732	conceive	r̃asestuma; eostuma
4.74	live, living, life	elama; elus ~ elaw; elu
4.75	die, dead	sur̃ema ~ sur̃nud
4.751	drowned	uppunud
4.76	kill	tapma
4.77	corpse	laip; sur̃nukeha
4.78	bury (the dead)	matma
4.79	grave, tomb	haud; kalm
4.81	strong, mighty, powerful	tugew; wəimas; wægew
4.82	weak	nər̃k
4.83	well, health	ter̃we; ter̃wis
4.84	sick, sickness	haige; haigus
4.841	fever	palawik
4.842	goiter	str̃uuma
4.843	cold (catarrh)	külmetus
4.85	wound, sore	haaw
4.852	bruise	mulyumishaaw
4.853	swelling	paistetus
4.854	itch	sügelus; kihelus
4.855	blister	wesiwill; r̃akk
4.856	boil (noun)	paise
4.857	pus	mæda
4.858	scar	ar̃m
4.86	cure, heal	r̃awima; ter̃weks tegema
4.87	physician	ar̃st
4.88	medicine, drug	r̃awim; (ar̃sti)r̃ohi
4.89	poison	mür̃k
4.91	tired, weary	wæsinud
4.912	rest	puhkama
4.92	lazy	laisk
4.93	bald	kiilas
4.94	lame	lombakas; lonkaw
4.95	deaf	kur̃t
4.96	mute	tumm
4.97	blind	pime
4.98	intoxicated	pur̃yus; yoobnud
4.99	naked, bare	alasti; palyas
5.11	eat	sööma
5.12	food	toit; söök
5.121	cooked	keedetud; küpsetatud
5.122	raw	toor̃es
5.123	ripe	küps; walminud
5.124	green, unripe	r̃oheline; eba-küps
5.125	rotten	mædanenud
5.13	drink	yooma
5.14	hunger	nælg
5.141	famine	nælg
5.15	thirst	yanu
5.16	suck	imema
5.18	chew	mæluma; nær̃ima
5.181	swallow	neelama
5.19	choke	læmbuma; læmmatama
5.21	cook	toitu walmistama
5.22	boil (vb)	keetma
5.23	roast, fry	pr̃aadima; küpsetama
5.24	bake	küpsetama
5.25	oven	ahi
5.26	pot, cooking vessel	pott; kastr̃ul
5.27	kettle	katel; pada
5.28	pan	pann
5.31	dish	waagen; kauss
5.32	plate	taldr̃ik
5.33	bowl	kauss
5.34	pitcher, jug	kann
5.35	cup, drinking vessel	tass; kr̃uus
5.36	saucer	alustass
5.37	spoon	lusikas
5.38	knife	nuga
5.39	fork	kahwel
5.391	tongs	tangid
5.41	meal (a)	söögiaeg; eine
5.42	breakfast	hommikueine; hommikusöök
5.43	lunch	ləunaoode
5.44	dinner	ləuna(söök)
5.45	supper	əhtusöök ~ əhtueine
5.46	peel	koor̃ima
5.47	sieve, strain	səeluma; kur̃nama
5.48	scrape	kr̃aapima ~ kaapima
5.49	stir, mix	segama; liigutama
5.51	bread	leib
5.53	dough	tainas ~ taigen
5.54	knead	sətkuma
5.55	meal, flour	yahu
5.56	crush, grind	yahwatama
5.57	mill	weski
5.58	mortar	uhmer̃
5.59	pestle	uhmr̃inui
5.61	meat	liha
5.63	sausage	wor̃st
5.64	soup, broth	supp; pulyong
5.65	vegetables	köögiwili
5.66	bean	uba
5.7	potato	kar̃tul
5.71	fruit	puuwili
5.712	bunch	kimp; kobar̃
5.75	fig	wiigimar̃i
5.76	grape	wiinamar̃i
5.77	nut	pæhkel
5.78	olive	oliiw
5.79	oil	əli
5.791	grease, fat	r̃asw
5.81	salt	sool
5.82	pepper	pipar̃
5.821	chili pepper	tšiili pipar̃
5.84	honey	mesi
5.85	sugar	suhkur̃
5.86	milk (noun)	piim
5.87	milk (vb)	lüpsma
5.88	cheese	yuust
5.89	butter	wəi
5.9	beverage, drink	yook
5.91	mead	mədu
5.92	wine	wein
5.93	beer	əlu
5.94	fermented drink	kali
5.97	egg	muna
5.971	egg yolk	munakollane
6.11	put on (clothes)	r̃iietuma
6.12	clothing, clothes	r̃iided; r̃əiwad
6.13	tailor	r̃ætsep
6.21	cloth	r̃iie; kangas
6.22	wool	will
6.23	linen, flax	linane r̃iie; lina
6.24	cotton	puuwill
6.25	silk	siid
6.27	felt	wilt
6.28	fur	kar̃usnahk
6.29	leather	nahk
6.31	spin	ketr̃ama
6.32	spindle	wær̃ten
6.33	weave	kangast kuduma
6.34	loom	kangastelyed
6.35	sew	əmblema
6.36	needle	nəel
6.37	awl	naaskel
6.38	thread	niit; ləng
6.39	dye	wær̃wima
6.41	cloak	mantel
6.411	poncho	pontšo
6.42	woman's dress	kleit
6.43	coat	kuub; pintsak
6.44	shirt	sær̃k
6.45	collar	kr̃ae
6.46	skirt	seelik
6.461	grass-skirt	- -
6.48	trousers	püksid
6.49	stocking, sock	sukk; sokk
6.51	shoe	king
6.52	boot	saabas
6.54	shoemaker, cobbler	kingsepp
6.55	hat, cap	kübar̃; müts
6.57	belt, girdle	wöö
6.58	glove	sər̃mkinnas
6.59	veil	loor̃
6.61	pocket	tasku
6.62	button	nööp
6.63	pin	nööpnəel
6.71	ornament, adornment	kaunistus; ehe
6.72	jewel	yuweel; kalliskiwi
6.73	ring (for finger)	sər̃mus
6.74	bracelet	kæewər̃u
6.75	necklace	kaelakee
6.76	bead	helmes; pær̃l
6.77	earring	kər̃war̃əngas
6.78	headband, headdress	peapael; yuukseehis
6.79	tattoo	tætoweer̃ing
6.81	handkerchief, rag	taskur̃ætik; r̃æbal; kalts
6.82	towel	kæter̃ætik
6.91	comb	kamm
6.92	brush	har̃i
6.921	braid	punuma; palmitsema
6.93	razor	habemenuga
6.94	ointment	salw; wəie
6.95	soap	seep
6.96	mirror	peegel
7.11	dwell, live	elama
7.12	house	maya
7.13	hut	hütt; onn
7.131	garden-house	aiamaya
7.14	tent	telk
7.15	yard, court	əu; hoow
7.16	men's house	poissmeeste maya
7.17	cookhouse	suweköök
7.18	meeting house	palwemaya
7.21	room	tuba
7.22	door, gate	uks; wær̃aw
7.221	doorpost, jamb	uksepiit
7.23	lock (noun)	lukk
7.231	latch, door-bolt	(ukse)link
7.24	key	wəti
7.25	window	aken
7.26	floor	pər̃and
7.27	wall	müür̃; sein
7.31	fireplace	kamin
7.32	stove	ahi
7.33	chimney	kor̃sten
7.37	ladder	r̃edel
7.42	bed	woodi; sæng
7.421	pillow	padi
7.422	blanket	tekk
7.43	chair	tool
7.44	table	laud
7.45	lamp, torch	lamp
7.46	candle	küünal
7.47	shelf	r̃iiul
7.48	trough	küna; mold
7.51	roof	katus
7.52	thatch	əlgkatus
7.53	ridgepole	har̃yapær̃lin
7.54	rafter	sar̃ikas
7.55	beam	tala
7.56	post, pole	teiwas; latt
7.57	board	plank; laud
7.58	arch	wəlw
7.61	mason	müür̃sepp
7.62	brick	telliskiwi
7.63	mortar	mör̃t
7.64	adobe	samaan; plonn
8.11	farmer	pəllumees; talunik
8.12	field (for cultivation)	pəld
8.13	garden	aed
8.15	cultivate, till	wilyelema; (maad) har̃ima
8.16	fence	tar̃astama
8.17	ditch	kr̃aaw
8.21	plow	kündma; ader̃
8.212	furrow	wagu
8.22	dig	kaewama
8.23	spade	labidas
8.24	shovel	kühwel
8.25	hoe	kəblas
8.26	fork	har̃k; han; wigel
8.27	rake	r̃eha
8.31	sow	külwama
8.311	seed	seeme
8.32	mow, reap	niitma; wilya ləikama
8.33	sickle, scythe	sir̃p; wikat
8.34	thresh	wilya peksma; r̃ehte peksma
8.35	threshing-floor	r̃ehealune
8.41	crop, harvest	saak; wilyaləikus
8.42	grain (barley, oats etc)	ter̃awili
8.43	wheat	nisu
8.44	barley	oder̃
8.45	rye	r̃ukis
8.46	oats	kaer̃
8.47	maize, corn	mais
8.48	rice	r̃iis
8.51	grass	r̃ohi
8.52	hay	hein
8.53	plant (noun)	taim
8.531	plant (vb)	istutama
8.54	root	yuur̃
8.55	branch	oks
8.56	leaf	leht
8.57	flower	lill
8.6	tree	puu
8.61	oak	tamm
8.62	beech	pöök
8.63	birch	kask
8.64	pine	mænd
8.65	fir	kuusk
8.66	acorn	tammetər̃u
8.67	vine	wiinapuu; wiinamar̃yapəəsas
8.68	tobacco	tubakas
8.69	smoke (tobacco)	suitsetama
8.691	pipe	piip
8.72	tree stump	kænd
8.73	tree trunk	puutüwi
8.74	forked branch	har̃aline oks
8.75	bark	puukoor̃
8.76	sap	mahl
8.81	palm tree	palm
8.82	coconut	kookospæhkel
8.83	citrus fruit	tsitr̃uswili
8.84	banana tree	banaanipuu
8.85	banyan	bengali wiigipuu
8.91	sweet potato	bataat; maguskar̃tul
8.912	yam	yamss
8.92	tapioca, manioc, cassava	tapiokk
8.93	gourd	pudelkər̃wits
8.931	pumpkin, squash	kər̃wits
8.94	bamboo	bambus
8.941	sugar cane	suhkr̃ur̃oog
8.96	fish poison (root)	- -
8.97	nettle	nəges
8.98	mushroom	seen
9.11	do, make	tegema; walmistama
9.12	work	töötama
9.14	bend	painutama
9.15	fold	woltima
9.16	tie, bind	siduma; köitma
9.161	untie	lahti siduma
9.18	chain	ahel; kett
9.19	rope, cord	nöör̃̈; pael; köis
9.192	knot (noun)	səlm
9.21	strike (hit, beat)	lööma; peksma
9.211	pound with fist	r̃usikaga lööma
9.22	cut	ləikama
9.221	cut down	kær̃pima; maha ləikama
9.222	chop, hew	r̃aiuma
9.223	stab	læbi pistma; pussitama
9.23	knife	nuga
9.24	scissors, shears	kæær̃id
9.25	ax	kir̃wes
9.251	adze	tahumiskir̃wes
9.26	break	mur̃dma
9.261	broken	mur̃tud
9.27	split	ləhkuma; ləhestama
9.28	tear	r̃ebima; kiskuma
9.29	flay, skin	nülgima; nahka maha wətma
9.31	rub, wipe	həər̃uma
9.32	stretch	wenitama; pingule təmbama
9.33	pull	təmbama
9.34	spread out	(laiali) laotama
9.341	hang up	(üles) r̃iputama
9.342	press	wayutama; sur̃uma
9.343	squeeze, wring	pigistama
9.35	pour	walama; kallama
9.36	wash	pesema
9.37	sweep	pühkima
9.38	broom	luud
9.422	tool	töör̃iist
9.43	carpenter	puusepp
9.44	build	ehitama
9.46	bore	puur̃ima
9.461	hollow out	əənestama
9.48	saw	saag
9.49	hammer	haamer̃
9.5	nail	nael
9.56	glue	liim
9.6	smith, blacksmith	sepp
9.61	forge	sepistama
9.62	anvil	alasi
9.63	cast (metals)	walama
9.64	gold	kuld
9.65	silver	həbe
9.66	copper, bronze	wask; pr̃onks
9.67	iron	r̃aud
9.68	lead (noun)	plii
9.69	tin, tinplate	tina; tinutatud plekk
9.71	potter	pottsepp
9.72	mold (clay etc)	wor̃mi walama; wor̃mima; woolima
9.73	clay	sawi
9.74	glass	klaas
9.75	weave, plait	punuma; palmima
9.76	basket	kor̃w
9.77	mat	matt; yalamatt
9.771	rug	waip
9.78	netbag	wər̃k(kott)
9.79	fan (noun)	lehwik
9.791	fan (vb)	tuulama; tuulutama
9.81	carve	wælya r̃aiuma; woolima
9.82	sculptor	skulptor̃
9.83	statue	(r̃aid)kuyu
9.84	chisel	peitel; meisel
9.88	paint (noun)	wær̃w
9.89	paint (vb)	wær̃wima
10.11	move	liigutama
10.12	turn over	(ümber̃) pöör̃ama
10.13	turn around	keer̃ama; keer̃utama
10.14	wind, wrap	mæssima; mæhkima
10.15	roll	r̃ullima; weer̃etama
10.16	drop (vb)	(maha) pillama
10.17	twist	wæænama; keer̃ama
10.21	rise	təusma
10.22	raise, lift	təstma
10.23	fall	kukkuma
10.24	drip	tilkuma
10.25	throw	wiskama
10.252	catch (ball)	püüdma
10.26	shake	r̃aputama
10.32	flow	woolama
10.33	sink	langema; laskuma; wayuma
10.34	float	uyuma
10.35	swim	uyuma
10.351	dive	sukelduma
10.352	splash	pladistama; pr̃itsima
10.36	sail (vb)	pur̃yetama; laewaga səitma
10.37	fly (vb)	lendama
10.38	blow	puhuma
10.41	creep, crawl	r̃oomama
10.412	kneel	pəlwitama
10.413	crouch	küür̃utama
10.42	slide, slip	libisema
10.43	jump, leap	hüppama
10.431	kick	pətkima; yalaga lööma
10.44	dance	tantsima
10.45	walk	kæima; kəndima
10.451	limp	lonkama
10.46	run	yooksma
10.47	go	minema; kæima
10.471	go up	üles minema
10.472	climb	r̃onima
10.473	go down	alla minema
10.474	go out	wælya minema
10.48	come	tulema
10.481	come back	tagasi tulema; naasma
10.49	go away, depart	lahkuma; ær̃a minema
10.491	disappear	kaduma
10.51	flee	pəgenema
10.52	follow	yær̃gnema; yær̃gima
10.53	pursue	taga ayama; yælitama
10.55	reach, arrive	saabuma; yəudma
10.56	approach	læhenema; liginema
10.57	enter	sisenema; sisse astuma
10.61	carry (bear)	kandma
10.612	carry-in-hand	kandma ~ kæes kandma
10.613	carry-on-shoulder	əlal kandma
10.614	carry-on-head	pea peal kandma
10.615	carry-underarm	kaenla all kandma
10.62	bring	tooma
10.63	send	saatma
10.64	lead (vb)	yuhtima
10.65	drive	yuhtima
10.66	ride	r̃atsutama; səitma
10.67	push, shove	təukama; lükkama
10.71	road	tee; maan-tee
10.72	path	teer̃ada; yalgtee
10.74	bridge	sild
10.75	carriage, wagon, cart	wanker̃; wagun; kaar̃ik
10.76	wheel	r̃atas
10.77	axle	r̃attatelg; ass
10.78	yoke	ike
10.81	ship	laew
10.83	boat	paat
10.831	canoe	süst; kanuu
10.832	outrigger	ulgtullpaat
10.84	raft	par̃w
10.85	oar	aer̃
10.851	paddle (noun)	məla
10.852	row (vb)	səudma; aer̃utama
10.86	rudder	tüür̃ ~ r̃ool
10.87	mast	mast
10.88	sail (noun)	pur̃i
10.89	anchor	ankur̃
10.91	harbor, port	sadam
10.92	land (vb)	maabuma; r̃anduma
11.11	have	olema (kellelgi); (omama)
11.12	own, possess	omama; waldama
11.13	take	wətma
11.14	seize, grasp	haar̃ama
11.15	hold	hoidma; pidama
11.16	get, obtain	saama; saawutama
11.17	keep, retain	hoidma; sæilitama; pidama
11.18	thing	asi
11.21	give	andma
11.22	give back	tagasi andma ~ tagastama
11.24	preserve, look after	sæilitama; hoidma
11.25	save, rescue	pææstma; wabastama
11.27	destroy	hæwitama; pur̃ustama
11.28	harm, injure, damage	kahyustama
11.31	seek, look for	otsima
11.32	find	leidma
11.33	lose	kaotama
11.34	release, let go	wabastama ~ wabaks laskma
11.43	money	r̃aha
11.44	coin	münt
11.51	rich	r̃ikas
11.52	poor	waene
11.53	beggar	ker̃yus; sant
11.54	avaricious, stingy	ahne
11.61	lend	laenama ~ laenuks andma
11.62	borrow	laenama ~ laenuks wətma
11.63	owe	wəlgnema ~ wəlgu olema
11.64	debt	wəlg
11.65	pay (vb)	maksma; tasuma
11.66	account, reckoning	ar̃we
11.69	tax, tribute	maks
11.77	hire	tööle wətma; palkama
11.78	wages	palk; töötasu
11.79	earn	teenima
11.81	buy	ostma
11.82	sell	müüma
11.83	trade, barter	kauplema
11.84	merchant	kaupmees
11.85	market (place)	tur̃g
11.86	store, shop	kauplus; pood
11.87	price	hind
11.88	dear (costly, expensive)	kallis
11.89	cheap	odaw
11.91	share (distribute)	yagama
11.92	weigh	kaaluma
12.1	after	pær̃ast
12.11	behind	taga
12.2	beside	kər̃wal
12.3	down, below	all; alla
12.4	before	enne
12.41	front	esikülg
12.5	inside, in	sees
12.6	outside	wælyas
12.7	under	all
12.8	up, above	ülewal; kohal
12.11	place	koht; paik
12.12	put	panema; asetama
12.13	sit	istuma
12.14	lie down	lamama ~ lebama
12.15	stand	seisma
12.16	remain, stay	yææma
12.17	remains, left overs	yæægid
12.21	collect, gather	koguma; kor̃yama
12.212	pick up	üles wətma; üles kor̃yama
12.213	pile up	kuhyama
12.22	join, unite	ühendama; liitma
12.23	separate	lahutama
12.232	divide	yagama; yaotama
12.24	open	awama; lahti tegema
12.25	shut, close	sulgema; kinni panema
12.26	cover	katma
12.27	hide, conceal	peitma; war̃yama
12.31	high	kər̃ge
12.32	low	madal
12.33	top	tipp
12.34	bottom	pəhi
12.35	end	ləpp
12.352	pointed	ter̃aw(aotsaline)
12.353	edge	ser̃w; æær̃
12.36	side	külg; pool
12.37	middle, center	keskmine; keskus
12.41	right (side)	par̃em
12.42	left (side)	wasak
12.43	near (adv)	læhedal
12.44	far (adv)	kaugel
12.45	east	ida
12.46	west	lææs
12.47	north	pəhi
12.48	south	ləuna
12.53	grow	kaswama
12.54	measure	məətma
12.541	span, fathom	waks; süld
12.55	large, big	suur̃
12.56	small, little	wæike
12.57	long	pikk
12.58	tall	pikk; kər̃ge
12.59	short	lühike
12.61	wide, broad	lai
12.62	narrow	kitsas
12.63	thick (in dimension)	paks
12.65	thin (in dimension)	peenike; kəhn
12.67	deep	sügaw
12.68	shallow	madal
12.71	flat	lame; tasane
12.73	straight	sir̃ge
12.74	crooked	kəwer̃; wildak
12.75	hook	konks; haak
12.76	corner	nur̃k
12.77	cross	r̃ist
12.78	square	nelinur̃k
12.81	round	ümmar̃gune
12.82	circle	r̃ing
12.83	sphere, ball	ker̃a; pall
12.84	line	yoon; r̃ida
12.85	hole	auk
12.92	like, similar	sar̃nane; samasugune
12.93	change	muutma; wahetama
13.0	zero, nothing	null; mitte midagi
13.1	one	üks
13.2	two	kaks
13.3	three	kolm
13.4	four	neli
13.5	five	wiis
13.6	six	kuus
13.7	seven	seitse
13.8	eight	kaheksa
13.9	nine	üheksa
13.10	ten	kümme
13.101	eleven	üksteist
13.102	twelve	kaksteist
13.103	fifteen	wiisteist
13.104	twenty	kakskümmend
13.105	hundred	sada
13.106	thousand	tuhat
13.107	count	loendama
13.14	every, all	igaüks; kəik
13.15	much, many	palyu
13.16	more	r̃ohkem
13.17	little (quantity), few	wæhe
13.18	enough	küllalt
13.181	some	məni; natuke
13.19	multitude, crowd	hulk; r̃ahwahulk
13.21	full	tæis
13.22	empty	tühi
13.23	part, piece	osa; yagu; tükk
13.24	half	pool
