entry_id	trans_english	Guaraní_Phonemic
2.25	boy	mitã-kuiᵐbaʔe
2.251	young man (adolescent)	mitãrusu; kariaʔɨ
2.26	girl	mitã-kuɲa; mitã-kuɲaʔi
2.261	young woman (adolescent)	mitã-kuɲa-ɣʷasu; kuɲa-taĩ
2.27	child	mitã
2.28	infant, baby	mitã; mitã-kuiᵐbaʔe; kunumi
2.31	husband	'mena
2.32	wife	t-eᵐbireko
2.33	marry	ɲeᵐboǰuaǰu; meⁿda
2.34	marriage, wedding	meⁿda
2.341	divorce	ǰopoi
2.35	father	'tuva
2.36	mother	sɨ
2.37	parents	tuva'kuera
2.38	married man	kuiᵐbaʔe ome'ⁿdava
2.39	married woman	kuɲa ome'ⁿdava
2.41	son	meᵐbɨ-kuiᵐbaʔe
2.42	daughter	meᵐbɨ-kuɲa
2.43	offspring (son or daughter)	če meᵐbɨ kuiᵐbaʔe; če meᵐbɨ kuɲa
2.44	brother	tɨke'ʔɨra; pehenɣʷe
2.444	older brother	če rɨkeʔɨ; če kɨvɨ
2.445	younger brother	če rɨvɨ; če rɨke; kɨvɨ mičĩ'veva
2.45	sister	t-ei'ⁿdɨra; pehenɣʷe
2.454	older sister	rɨke; t-ɨ'kera
2.455	younger sister	če kɨpɨʔɨ; kɨpɨʔɨ
2.456	sibling	pehẽŋʷe
2.458	twins	mitãkõi; kõi; meᵐbɨ-kõi
2.46	grandfather	taita; taita-ɣʷasu
2.461	old man	karai tuǰa; tuǰa; lekaǰa
2.47	grandmother	ǰa'rɨi
2.471	old woman	kuɲa ɣʷãiɣʷĩ; ŋʷaiŋʷi
2.48	grandson	t-emiarirõ
2.49	granddaughter	t-emiarirõ
2.51	uncle	če pehẽŋʷe 'mena; [tio]
2.511	mother's brother	sɨ kɨvɨ
2.512	father's brother	tua rɨkeʔɨ- tɨ'vɨra
2.52	aunt	sɨʔɨkɨ
2.521	mother's sister	sɨ rɨke
2.522	father's sister	tua reiⁿdɨ
2.53	nephew	peheŋʷe raʔɨ; peheŋʷe meᵐbɨ
2.54	niece	peheŋʷe raǰɨ; peheŋʷe meᵐbɨ
2.55	cousin	sɨkɨpɨʔɨ-meᵐbɨ
2.56	ancestors	t-amõi
2.57	descendants	ɲemoɲare
2.61	father-in-law (of a man)	me'ⁿduva
2.611	father-in-law (of a woman)	meⁿdɨ; r-atɨu
2.62	mother-in-law (of a man)	t-eᵐbirekosɨ; r-aɨčo
2.621	mother-in-law (of a woman)	menasɨ; me-sɨ
2.63	son-in-law (of a man)	ta'ǰɨra 'mena; r-aǰɨ-me
2.631	son-in-law (of a woman)	meᵐbɨ-'mena; meᵐbɨ-me
2.64	daughter-in-law (of a man)	taʔɨra reᵐbireko; raʔɨ-tatɨ
2.641	daughter-in-law (of a woman)	meᵐbɨ reᵐbireko; meᵐbɨ-tatɨ
2.71	stepfather	tuaŋa; 'tuva-ᵑga
2.72	stepmother	sɨaŋa; sɨ-aᵑga
2.73	stepson	t-a'ʔɨra-ŋa; meᵐbɨaŋa
2.74	stepdaughter	t-a'ǰɨra-ŋa; meᵐbɨaŋa
2.75	orphan	tɨreʔɨ̃
2.76	widow	i-mena-veʔɨ̃va; mena-ve-ʔɨ̃
2.77	widower	h-eᵐbireko-veʔɨ̃va; t-eᵐbireko-veʔɨ̃
2.81	relatives, kinsmen	peheŋʷe; ['hente]-'kuera
2.82	family	oɣa-pe-ɣʷa
2.91	I	če
2.92	you (singular)	ⁿde
2.93	he/she/it	haʔe
2.94	we	haʔe ~ haʔe čupe
2.941	we (inclusive)	ɲaⁿde
2.942	we (exclusive)	ore
2.95	you (plural)	peẽ
2.96	they	haʔe-'kuera
3.11	animal	t-ɨᵐba
3.12	male (adj)	kuiᵐbaʔe; me; ['mačo]
3.13	female (adj)	kuɲa
3.15	livestock	tɨᵐba; t-ɨᵐba-'kuera
3.16	pasture	kapiʔipetɨ; ɲu
3.18	herdsman	mɨᵐbarerekua
3.19	stable, stall	mɨᵐbareⁿda; [kora]
3.2	cattle (bovine)	['tropa]; [vaka]-'kuera
3.21	bull	[vaka]me; ['toro]
3.22	ox	['ɣʷei]
3.23	cow	[vaka]
3.24	calf	[vaka]-raʔɨ
3.25	sheep	[oveša]
3.26	ram	[oveša]-me
3.28	ewe	[oveša]
3.29	lamb	[oveša]-raʔɨ
3.32	boar	kure-kaʔaɣʷɨ
3.34	sow	taǰasu; kure-kuɲa
3.35	pig	kure; taǰasu
3.36	goat	[kavara]
3.37	he-goat	[kavara]-me
3.38	kid	[kavara]-raʔɨ
3.41	horse (equine)	[kavaǰu]
3.42	stallion	[kavaǰu]ru; [ko'hudo]
3.44	mare	[kavaǰu]kuɲa; ['ǰeɣʷa]
3.45	foal, colt	[kavaǰu]-raʔɨ
3.46	ass, donkey	[vuro]
3.47	mule	[ᵐburika]
3.5	fowl	ɣʷɨra
3.52	cock, rooster	kupɨǰu
3.54	hen	rɨɣʷasu
3.55	chicken	rɨɣʷasu-raʔɨ
3.56	goose	ɣariᵐbe
3.57	duck	ɨpe
3.58	nest	r-aitɨ; tupa; t-aitɨ
3.581	bird	ɣʷɨra
3.582	seagull	atĩ; ɣuɨratĩ
3.583	heron	hoko
3.584	eagle	taɣʷato
3.585	hawk	taɣʷato; kiri-kiri
3.586	vulture	ɨrɨvu
3.591	bat	ᵐbopi
3.592	parrot	tuʔĩ para; ɣʷaʔa
3.593	crow	ɨrɨvu
3.594	dove	pɨkasu; ǰeruti
3.596	owl	urukureʔa; ɲakurutũ; kavure
3.61	dog	ǰaɣʷa
3.614	rabbit	tapiti
3.62	cat	ᵐbarakaǰa
3.622	opossum	mɨkurẽ
3.63	mouse, rat	aŋuǰa
3.65	fish	pira
3.652	fin (dorsal)	pira-pepo
3.653	fishscale	pira-pire
3.654	gill	pira-apekũ
3.655	shell	ape; ɨta
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	ǰave'vui; ǰave'vɨi
3.665	freshwater eel	ᵐbusu
3.71	wolf	ǰaɣʷaruⁿdi; aɣʷara-ɣʷasu
3.72	lion	ǰaɣʷa-pɨtã; [leõ]
3.73	bear	
3.74	fox	aɣʷara; aɣʷaraʔi
3.75	deer	ɣʷasu
3.76	monkey	kaʔi; karaǰa
3.77	elephant	--
3.78	camel	--
3.81	insect	ɨso; mo'ɲai; ['vičo]
3.811	louse	kɨ
3.812	nit (louse egg)	kɨ-rupiʔa
3.813	flea	tũnᵑgusu
3.814	centipede	aᵐbuʔa
3.815	scorpion	ǰapeusa
3.816	cockroach	tarave
3.817	ant	ta'hɨi
3.818	spider	ɲaⁿdu
3.819	spider web	ɲaⁿdu-reniᵐbo; ɲaⁿdu-ti
3.82	bee	eiru
3.821	beeswax	araitɨ
3.822	beehive	eiru-raitɨ
3.823	wasp	'kava
3.83	fly	ᵐberu
3.831	sandfly (midge), gnat	ɲetĩ; ᵐbariɣʷi
3.832	mosquito	ɲatiʔũ
3.84	worm	sevoʔi
3.85	snake	'ᵐboi
3.91	firefly	muã; ɨsoiⁿdɨ
3.92	butterfly	panaᵐbi
3.93	grasshopper	tuku
3.94	snail	ǰatɨta; ǰatevu
3.95	frog	ǰuʔi
3.96	lizard	aᵐbere
3.97	crocodile, alligator	ǰakare
3.98	turtle	karuᵐbe
4.11	body	t-ete
4.12	skin, hide	pire
4.13	flesh	t-oʔo
4.14	hair (head)	t-aɣʷe
4.142	beard	t-eⁿdɨva
4.144	body hair	t-aɣʷe
4.145	pubic hair	taᵐbeɨpɨ raɣʷe; t-akaᵐbɨ-raɣe
4.146	dandruff	apikuʔi
4.15	blood	t-uɣʷɨ
4.151	vein, artery	tuɣʷɨ rape
4.16	bone	kãᵑɣʷe
4.162	rib	ɲarukã
4.17	horn	t-atĩ; akã-ratĩ
4.18	tail	t-uɣʷai
4.19	back	ape; atukupe
4.191	spine	ape-kaᵑɣʷe
4.2	head	akã
4.201	side of head, temple	atɨ
4.202	skull	kãŋʷekue; aka-kaŋʷe
4.203	brain	apɨtuʔũ
4.204	face	t-ova
4.205	forehead	sɨva
4.207	jaw	t-aɲɨkã
4.208	cheek	t-atɨpɨ
4.209	chin	taɲɨkã
4.21	eye	t-esa
4.212	eyebrow	t-ɨvɨta
4.213	eyelid	t-opepi
4.214	eyelash	t-opea
4.215	blink	t-esa-pirĩ
4.22	ear	naᵐbi
4.221	earlobe	naᵐbi-ʔa'pɨra
4.222	earwax	apɨsa raitɨ
4.23	nose	tĩ; apɨᵑgʷa
4.231	nostril	tĩ-'kuara; apɨᵑɣʷa-kua
4.232	mucus (nasal)	a'ᵐbɨu
4.24	mouth	ǰuru
4.241	beak	tĩ; ɣʷɨratĩ
4.25	lip	t-eᵐbe
4.26	tongue	kũ
4.27	tooth	t-ãi
4.271	gums	t-ãiᵐbira; e'ᵐbira
4.272	molartooth	'tãi-ɣʷasu; tãi-ɣʷeʔa
4.28	neck	a'ǰura
4.281	nape of neck	a'tua
4.29	throat	ahɨʔo
4.3	shoulder	atiʔɨ
4.301	shoulderblade	atukupe; atiʔɨ-kaᵑge
4.302	collarbone	pɨtiʔakãʔɨpɨ
4.31	arm	ǰɨva
4.312	armpit	ǰɨva-ɣʷɨ
4.32	elbow	ǰɨva-ᵑga; t-eɲɨvaᵑga
4.321	wrist	pɨapɨ
4.33	hand	po
4.331	palm of hand	po-pɨte
4.34	finger	kuã
4.342	thumb	kuã ɣʷasu; kuãᵑguasu
4.344	fingernail	pɨapẽ; pɨsãpe
4.345	claw	pɨapẽ; pɨsapẽ
4.35	leg	t-etɨma
4.351	thigh	tetɨma; t-uᵐbɨ; 'uva
4.352	calf of leg	t-etɨma-roʔo
4.36	knee	penarã; t-enɨpɨʔã
4.37	foot	pɨ
4.371	ankle	pɨ-ɲuã
4.372	heel	pɨ-ta
4.374	footprint	pɨ-pore; pore
4.38	toe	pɨ-sã
4.392	wing	pepo
4.393	feather	t-aɣʷe
4.4	chest	pɨtiʔa
4.41	breast (of woman)	'kama
4.412	nipple, teat	'kama; kama apɨi; kama'ᵐbɨi
4.42	udder	'kama
4.43	navel	puruʔã
4.44	heart	ɲeʔã; pɨʔa
4.441	lung	ɲeʔã ve'vui; ve'vɨi
4.45	liver	ᵐbɨʔa
4.451	kidney	pitikiriʔi
4.452	spleen	perevɨ
4.46	stomach	kuʔa; pɨʔa
4.461	intestines, guts	t-ɨekue; t-ɨe
4.462	waist	kuʔa
4.463	hip	t-uᵐbɨkɨ; t-uᵐbɨ
4.464	buttocks	t-evi
4.47	womb	meᵐbɨ-rɨru
4.49	testicle	t-aʔɨi
4.492	penis	t-eᵐbo
4.51	breathe, breath	pɨtu; pɨtu-hẽ
4.52	yawn, gape	ǰe-ǰurupeka; ǰe-ǰuru-peʔa
4.521	hiccough	ǰo'ǰoi
4.53	cough	huʔu
4.54	sneeze	atĩa
4.55	perspire	t-ɨ'ʔai
4.56	spit	ⁿdivu
4.57	vomit	ɣʷeʔẽ
4.58	bite	suʔu
4.59	lick	he'rei
4.591	dribble	r-eⁿdɨ-sɨrɨ
4.61	sleep	ke
4.612	snore	keraᵐbu
4.62	dream	'kerasɨ; ke
4.63	wake up	'paɨ
4.64	break wind	pɨno
4.65	urinate	kuaru
4.66	defecate	poti; [kaka]
4.67	have sexual intercourse	poreno; ǰeʔu
4.68	shiver	rɨ'rɨi
4.69	bathe	ǰahu; ᵐboǰahu
4.71	beget (of father)	moɲemoɲa; moɲepɨrũ
4.72	born (to be)	t-e'ɲoi; a
4.73	pregnant	ipuruʔa; t-ɨe-ɣʷasu
4.732	conceive	ɲemoɲa
4.74	live, living, life	(ai)kove; (ai)ko; t-ekove
4.75	die, dead	mano
4.751	drowned	hoʔɨɣʷɨ
4.76	kill	ǰuka
4.77	corpse	t-eʔoᵑgʷe
4.78	bury (the dead)	ɲotɨ̃
4.79	grave, tomb	t-ɨvɨ
4.81	strong, mighty, powerful	hatã; ᵐbarete
4.82	weak	kaŋɨ
4.83	well, health	h-esãi; t-esãi
4.84	sick, sickness	ha'sɨva; t-asɨ
4.841	fever	akãnuⁿdu
4.842	goiter	ǰu'ʔai
4.843	cold (catarrh)	ahɨʔo-pararã; tĩ-sɨrɨ
4.85	wound, sore	ɲekɨtĩpore; ai; ǰeǰapi
4.852	bruise	ɲehuᵑga
4.853	swelling	ᵐbovu; apeno; ruru
4.854	itch	t-e'mõi
4.855	blister	ᵐbiruʔa; apiruʔa
4.856	boil (noun)	ǰatiʔi
4.857	pus	'peu
4.858	scar	ᵐbore; pere
4.86	cure, heal	moŋʷera; pohano; kuera
4.87	physician	pohano'hara
4.88	medicine, drug	pohã
4.89	poison	pohã ǰukaha; pohã-ǰuka; pohãi
4.91	tired, weary	ikaneʔõ; kaneʔõ
4.912	rest	pɨtuʔu
4.92	lazy	ateʔɨ̃; kaiɣʷe; kaŋɨ
4.93	bald	akã-perõ
4.94	lame	ikarẽva; karẽ; parĩ
4.95	deaf	apɨsatũ; apɨsaʔɨ̃
4.96	mute	ɲeʔẽᵑgu
4.97	blind	t-ečaʔɨ̃
4.98	intoxicated	kaʔu
4.99	naked, bare	o'pivo; aoʔɨ
5.11	eat	u; karu
5.12	food	t-eᵐbiʔu
5.121	cooked	ǰɨɣʷe; mi'moi
5.122	raw	pɨra
5.123	ripe	hiʔaǰu; aǰu
5.124	green, unripe	hiʔ-akɨ; pekɨ
5.125	rotten	ituǰu; tuǰu
5.13	drink	u; ɨ-ʔu
5.14	hunger	ɲeᵐbɨa'hɨi; vareʔa
5.141	famine	ɲeᵐbɨa'hɨi
5.15	thirst	ɨu'hei; ɨʔu'hei
5.16	suck	pɨte; kaᵐbu
5.18	chew	ɲamiⁿduʔu; suʔu
5.181	swallow	mokõ
5.19	choke	pɨtu-ǰoko
5.21	cook	ᵐboǰɨ
5.22	boil (vb)	pupu; ᵐbo-pupu
5.23	roast, fry	mokaʔẽ; hesɨ; čɨrɨrɨ
5.24	bake	tata-ku'ape ɲe-ᵐboǰɨ
5.25	oven	t-ata-kua
5.26	pot, cooking vessel	ǰapepo
5.27	kettle	okeⁿdavoka
5.28	pan	ɲaʔẽpɨrũ
5.31	dish	ɲaʔẽᵐbe
5.32	plate	ɲaʔẽ-ᵐbe
5.33	bowl	ɲaʔẽ
5.34	pitcher, jug	kaᵐbuči
5.35	cup, drinking vessel	kaɣʷa
5.36	saucer	ɲaʔẽčararã
5.37	spoon	kuipe
5.38	knife	kɨse
5.39	fork	kɨpa
5.391	tongs	kɨpa
5.41	meal (a)	t-eᵐbiʔu
5.42	breakfast	raᵐbosa-ɣʷã; raᵐmbosa-rã
5.43	lunch	karu; karu-asaǰe
5.44	dinner	karu; teᵐbiʔu
5.45	supper	karu-pɨhare
5.46	peel	pire; pire-ʔo
5.47	sieve, strain	ᵐboɣʷa
5.48	scrape	karãi; popĩ
5.49	stir, mix	ᵐbo-kača; ᵐboǰeheʔa
5.51	bread	čipa; ᵐbuǰape
5.53	dough	ᵐbaʔe-huʔũ; ᵐbuǰaperã
5.54	knead	ᵐboǰeheʔa; [sova]
5.55	meal, flour	ava-timirikuʔi; huʔitĩ
5.56	crush, grind	ǰoso; moŋuʔi
5.57	mill	moŋuʔiha
5.58	mortar	aŋuʔa
5.59	pestle	avatisoka
5.61	meat	soʔo
5.63	sausage	ᵐbusiʔa; [vuti'farra]
5.64	soup, broth	ǰukɨsɨ
5.65	vegetables	kaʔavo
5.66	bean	kumaⁿda
5.7	potato	ǰetɨ
5.71	fruit	a; ɨva
5.712	bunch	apesã
5.75	fig	ɣʷapoʔɨ
5.76	grape	[parral]-ʔa
5.77	nut	maⁿduvi
5.78	olive	tarumaʔa
5.79	oil	ɲaⁿdɨrɨ
5.791	grease, fat	ɲaⁿdɨ; kɨra-kue
5.81	salt	ǰukɨ
5.82	pepper	kɨʔɨ̃i
5.821	chili pepper	kɨʔɨ̃i; kuᵐbari
5.84	honey	e'ira
5.85	sugar	[asuka]
5.86	milk (noun)	kaᵐbɨ
5.87	milk (vb)	ɲami
5.88	cheese	kaᵐbɨrɨpɨʔa; [kesu]
5.89	butter	kaᵐbɨkɨratã
5.9	beverage, drink	ǰe-ɨʔu-rã
5.91	mead	ɨe'ira; [a'loha]
5.92	wine	kaɣʷɨ
5.93	beer	kaɣʷɨ
5.94	fermented drink	ǰeɨʔurã raɣʷɨno
5.97	egg	t-upiʔa; rɨɣʷasu-rupiʔa
5.971	egg yolk	t-upiʔa pɨtãᵑɣʷe; rupiʔa-pɨtã-ŋɨ
6.11	put on (clothes)	ɲemoⁿde; ɲa-moⁿde; moⁿde
6.12	clothing, clothes	ao
6.13	tailor	ao-apoha
6.21	cloth	pɨahapɨre; poɨvi
6.22	wool	čara; [oveča]-raɣʷe
6.23	linen, flax	kaʔavo iniᵐborã
6.24	cotton	maⁿdɨǰu
6.25	silk	ɨsomaⁿdɨǰu
6.27	felt	--
6.28	fur	huɣʷare; pi; pire; pire-kue
6.29	leather	pire; [vaka]-pi
6.31	spin	povã
6.32	spindle	heʔɨ̃
6.33	weave	pɨaha
6.34	loom	aoapoha; [tera]; ao-vɨta
6.35	sew	ᵐbovɨvɨ
6.36	needle	ǰu
6.37	awl	kutuha
6.38	thread	iniᵐbo; t-eniᵐbo
6.39	dye	moᵑgolo
6.41	cloak	ǰahoʔiha
6.411	poncho	ahoǰa; [põčo]
6.42	woman's dress	ao; 'sai
6.43	coat	ɲuãha; ahoǰa
6.44	shirt	[kamisa]
6.45	collar	a'ǰura
6.46	skirt	'sai
6.461	grass-skirt	--
6.48	trousers	[kasõ]
6.49	stocking, sock	pɨ-ao
6.51	shoe	[sapatu]
6.52	boot	[sapatu]puku
6.54	shoemaker, cobbler	[sapatu]apoha
6.55	hat, cap	akãreheɣʷa; akãŋao
6.57	belt, girdle	čuᵐbe; kuʔakuaha; kuʔakua
6.58	glove	poɲuvã
6.59	veil	ahoǰa
6.61	pocket	vona
6.62	button	akɨtã; [votõ]
6.63	pin	ǰu iɲa'kãva
6.71	ornament, adornment	ǰeɣʷaka
6.72	jewel	ǰeɣʷaka
6.73	ring (for finger)	kuãirũ
6.74	bracelet	pɨapɨreheɣʷa; pɨʔapɨkɨǰa
6.75	necklace	ᵐboʔɨ
6.76	bead	kuru; ai; ᵐboʔɨ; poʔɨ
6.77	earring	nami'čai; namičãi
6.78	headband, headdress	ava ǰokoha
6.79	tattoo	pini
6.81	handkerchief, rag	aoʔi
6.82	towel	mokãha
6.91	comb	kɨɣʷa
6.92	brush	karãiha
6.921	braid	ɲopẽ
6.93	razor	teⁿdɨvakɨtĩha
6.94	ointment	ɲaⁿdɨ
6.95	soap	[havõ]
6.96	mirror	itaŋeča
7.11	dwell, live	(ai) ko; iko
7.12	house	'oɣa
7.13	hut	ɣʷataha; tapɨ̃i; tapere
7.131	garden-house	kaʔa 'r-oɣa
7.14	tent	tapɨ̃i
7.15	yard, court	o'kara; [kora]pɨ
7.16	men's house	'oɣa kuiᵐbaʔe reⁿda
7.17	cookhouse	t-ata-ɨpɨ
7.18	meeting house	'oɣa atɨha; atɨ-'r-oɣa
7.21	room	kotɨ
7.22	door, gate	okẽ
7.221	doorpost, jamb	okẽ-ʔɨke
7.23	lock (noun)	ᵐbotɨha
7.231	latch, door-bolt	okẽᵐbotɨha
7.24	key	
7.25	window	o[vetã]
7.26	floor	ɨvɨ
7.27	wall	oɣɨke; ['tapia]
7.31	fireplace	t-ata-reⁿda
7.32	stove	ᵐbɨakuha
7.33	chimney	t-ata-tĩsẽha
7.37	ladder	ǰupiha
7.42	bed	t-upa; iniᵐbe; t-eniᵐbe
7.421	pillow	[araᵐboha]
7.422	blanket	ahoǰa
7.43	chair	apɨka
7.44	table	aripaka; [mesa]
7.45	lamp, torch	ᵐbaʔereⁿdɨ; t-ata-iⁿdɨ
7.46	candle	t-ata-iⁿdɨ
7.47	shelf	ᵐbaʔeǰokoha; [sov'rado]
7.48	trough	ɲaʔẽɣʷasu; ɲaʔẽ-ɨvɨra
7.51	roof	oɣa-hoʔi; oɣa-hoǰa
7.52	thatch	'oɣa-hoʔi-kapiʔi
7.53	ridgepole	oɣa-kɨvɨ; oɣapɨrɨta
7.54	rafter	ɨvɨrapaⁿda
7.55	beam	ɨvɨrapaⁿda
7.56	post, pole	ɨvɨraʔɨɣʷe
7.57	board	ɨvɨrape
7.58	arch	mokarapã
7.61	mason	oɣa-po'hara; oɣa-apoha
7.62	brick	itaʔ-ɨvɨ
7.63	mortar	
7.64	adobe	ɨvɨ-taᵐbe
8.11	farmer	čokokue
8.12	field (for cultivation)	'koɣa; kokue
8.13	garden	ɨvotɨ-tɨ
8.15	cultivate, till	ɲo'tɨ; ɲemitɨ̃
8.16	fence	[kora]; t-o'kai
8.17	ditch	ɨvɨ-kua-puku
8.21	plow	ɨvɨ-ǰoʔo; [ara]
8.212	furrow	ɨvɨ-ǰoʔo; t-ape
8.22	dig	ǰoʔo; ᵐboʔ-ɨvɨ-kua
8.23	spade	sɨpe
8.24	shovel	ɨvɨ-ǰoʔoha
8.25	hoe	itasɨpe
8.26	fork	takaᵐbɨ
8.27	rake	tɨpɨča
8.31	sow	mosaraᵐbi; ɲemitɨ̃; mɨasãi
8.311	seed	t-aʔɨ̃i
8.32	mow, reap	kɨtĩ; ᵐbɨatɨ; monoʔõ
8.33	sickle, scythe	kɨsetɨʔãi
8.34	thresh	ǰɨ'kɨi; ǰoka; t-aʔɨ̃i-ʔo
8.35	threshing-floor	oɲemoᵑgu'ʔiva
8.41	crop, harvest	monoʔõ-ᵐbɨre; 'koɣa-poʔo
8.42	grain (barley, oats etc)	t-aʔɨ̃i
8.43	wheat	avati-mirĩ
8.44	barley	avatiriku
8.45	rye	
8.46	oats	
8.47	maize, corn	avati
8.48	rice	[arro]
8.51	grass	ɲana; kapiʔipe
8.52	hay	kapiʔi
8.53	plant (noun)	kaʔa; ['mata]; ɲana
8.531	plant (vb)	ɲemitɨ̃
8.54	root	h-apo; t-apo
8.55	branch	rakã; t-akã; ɨvɨra-rakã
8.56	leaf	toɣʷe
8.57	flower	ɨvotɨ
8.6	tree	ɨvɨra
8.61	oak	
8.62	beech	
8.63	birch	--
8.64	pine	kuriʔɨ
8.65	fir	--
8.66	acorn	--
8.67	vine	ɨsɨpo
8.68	tobacco	petɨ̃
8.69	smoke (tobacco)	petɨ-motĩᵐbo; mo-tiᵐbo; [pita]
8.691	pipe	motiᵐboha; [ka'čiᵐbo]
8.72	tree stump	ɨvɨra-ɨpɨkue; ɨvɨra-raʔɨ
8.73	tree trunk	ɨvɨra-ropɨta
8.74	forked branch	tokɨta; [or'keta]
8.75	bark	ape; pire
8.76	sap	ɨvɨra-ɨsɨ; ɨsɨ
8.81	palm tree	karaⁿdaʔɨ; ᵐbokaǰa-['mata]
8.82	coconut	ᵐbokaǰaʔa
8.83	citrus fruit	ɨva hai; [lima]sutĩ; [narãha]; limõ
8.84	banana tree	pakova
8.85	banyan	--
8.91	sweet potato	ǰetɨ
8.912	yam	
8.92	tapioca, manioc, cassava	maⁿdiʔo
8.93	gourd	aⁿdai
8.931	pumpkin, squash	kurapepẽ
8.94	bamboo	takuara
8.941	sugar cane	takuareʔẽ
8.96	fish poison (root)	poha ǰukaha; popĩa
8.97	nettle	pɨno
8.98	mushroom	urupe
9.11	do, make	ǰapo
9.12	work	ᵐbaʔapo
9.14	bend	mo-karapã; pepɨ
9.15	fold	ᵐbo-ǰoɨvɨ
9.16	tie, bind	mosã; ɲapɨtĩ
9.161	untie	ǰora; mo-sãso; poi
9.18	chain	satã; ita-sã
9.19	rope, cord	tukuᵐbo; sã
9.192	knot (noun)	apokɨtã; akɨtã
9.21	strike (hit, beat)	ᵐbota
9.211	pound with fist	ǰoso
9.22	cut	kɨtĩ
9.221	cut down	(ai) tɨ; itɨ; moᵐbe
9.222	chop, hew	ᵐboǰaʔo; ᵐboʔi
9.223	stab	kutu
9.23	knife	kɨse
9.24	scissors, shears	ǰetapa
9.25	ax	ǰɨakãᵑga; ['hača]
9.251	adze	ǰɨapa
9.26	break	ǰeka; ǰoka; pẽ
9.261	broken	opẽ; ǰoka-pɨre; ɲe-mo-pẽ
9.27	split	ǰoka; ᵐbo-vo
9.28	tear	ǰeka; mo-ⁿdoro
9.29	flay, skin	pire-ʔo; piro
9.31	rub, wipe	kɨtɨ; pičɨ
9.32	stretch	ᵐbo-puku
9.33	pull	mɨ-atã; mu-atã
