entry_id	trans_english	Maori_Phonemic
4.55	perspire	wera-wera; kakawa
4.56	spit	tuwha-ina; huuware
4.57	vomit	ruaki-na; ruaaki-na; puutane-tane
4.58	bite	ŋau-a
4.59	lick	miti-miti; mitia
4.591	dribble	
4.61	sleep	moe-a; moe
4.612	snore	ŋoŋoro
4.62	dream	moe-moeaa; moe-a
4.63	wake up	ara; oho; whaka-oho
4.64	break wind	
4.65	urinate	mimi
4.66	defecate	
4.67	have sexual intercourse	ai-tia
4.68	shiver	wiri; huukiki
4.69	bathe	kau; kau-kau; kau-ria
4.71	beget (of father)	ai-tia
4.72	born (to be)	whaanau
4.73	pregnant	hapuu
4.732	conceive	hapuu
4.74	live, living, life	ora
4.75	die, dead	mate; hemo; memeha (?)
4.751	drowned	toremi; toromi
4.76	kill	patu-a; patu
4.77	corpse	tuupaapaku
4.78	bury (the dead)	tanu-mia; taapuke-tia; nehu-a
4.79	grave, tomb	rua; poka; urupaa; toma; waahi tapu
4.81	strong, mighty, powerful	mana; kaha; pakari; maaroo-roo
4.82	weak	ŋoikore; iwikore
4.83	well, health	ora; ora-ŋa
4.84	sick, sickness	mate; maaui-ui; maa-ui-ui-taŋa
4.841	fever	kiri kaa; piiwa
4.842	goiter	
4.843	cold (catarrh)	tarutawhiti; taiawa; rewha-rewha
4.85	wound, sore	mamae; tuuŋa; taui; kino
4.852	bruise	kooparu; maruu
4.853	swelling	puku; pupuhi
4.854	itch	reka-reka; ŋaoko
4.855	blister	taaŋoroŋoro; kopuu; kooipu-ipu
4.856	boil (noun)	whee-whee; puku; taapoa
4.857	pus	pirau
4.858	scar	riwha; nawe
4.86	cure, heal	whaka-ora-ŋia; whaka-ora; whaka-mahu
4.87	physician	taakuta; rata
4.88	medicine, drug	roŋoaa
4.89	poison	
4.91	tired, weary	ŋeŋe; maaui-ui; hoohaa
4.912	rest	oki-oki
4.92	lazy	maaŋere
4.93	bald	paakira
4.94	lame	hauaa; kopa; hape
4.95	deaf	turi
4.96	mute	waha ŋuu
4.97	blind	mata-poo; kaapoo; pohe
4.98	intoxicated	hauraŋi
4.99	naked, bare	noho tahaŋa; kiri kau; pakiwhara
5.11	eat	kai-ŋa; ota; hamu-hamu
5.12	food	kai; kai-ŋa; oo; oraŋa
5.121	cooked	maoa
5.122	raw	mata; torouka; ota-ina; kaimata
5.123	ripe	maoa
5.124	green, unripe	mata; kaimata; ota
5.125	rotten	piro; pirau; hauŋa
5.13	drink	inu-mia; inu; unu
5.14	hunger	hemo-kai; hia-kai
5.141	famine	waa kai kore
5.15	thirst	mate-wai; hiainu
5.16	suck	ŋote-a; momi-a
5.18	chew	ŋau-a
5.181	swallow	horomi-a
5.19	choke	raaoa
5.21	cook	tao-na; tahu-na; whaka-maaoa-tia
5.22	boil (vb)	koropupuu; huu; paaeratia
5.23	roast, fry	tunu-a; tunu; parai
5.24	bake	tunu-a
5.25	oven	haaŋi; umu
5.26	pot, cooking vessel	koohua
5.27	kettle	tiikera
5.28	pan	hoopane
5.31	dish	riihi
5.32	plate	pereti
5.33	bowl	kumete; oko
5.34	pitcher, jug	tiaka; haaka
5.35	cup, drinking vessel	kapu
5.36	saucer	hoeha; hoohi
5.37	spoon	pune
5.38	knife	maripi; naihi; oka; puutia
5.39	fork	paaoka
5.391	tongs	piinohi-tia; kuku
5.41	meal (a)	
5.42	breakfast	parakuihi
5.43	lunch	tina
5.44	dinner	
5.45	supper	hapa
5.46	peel	waru-hia
5.47	sieve, strain	taatari-tia
5.48	scrape	waru-hia; haaroo; wani-a; waru; roroi
5.49	stir, mix	koorori-a; whaka-ranu-a; whaka-nanua; whaka-hanumi-tia
5.51	bread	paraaoa; paraawa; roohi
5.53	dough	
5.54	knead	poopoo; poke-poke
5.55	meal, flour	paraoa(puu-rere); paraaoa
5.56	crush, grind	koopenu-penu; maruu; pee; whaka-pee; moŋa-moŋa
5.57	mill	mira
5.58	mortar	hoaŋa
5.59	pestle	patu; tuki-tuki; paoi
5.61	meat	[miiti]
5.63	sausage	hōtiti; tōtiti
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	parareka; riiwai; taewa
5.71	fruit	hua
5.712	bunch	tautau
5.75	fig	piki
5.76	grape	kerepi
5.77	nut	
5.78	olive	
5.79	oil	hinu
5.791	grease, fat	hinu; ŋako
5.81	salt	tote
5.82	pepper	epa
5.821	chili pepper	
5.84	honey	miere; honi
5.85	sugar	huka
5.86	milk (noun)	miraka
5.87	milk (vb)	miraka-tia; wai uu
5.88	cheese	tiihi
5.89	butter	[pata]
5.9	beverage, drink	paareti
5.91	mead	
5.92	wine	[waaina]
5.93	beer	pia
5.94	fermented drink	
5.97	egg	hua manu; heeki
5.971	egg yolk	
6.11	put on (clothes)	kaakahu-ria; kuhu kaakahu; kaka
6.12	clothing, clothes	kahu; kaka; kaakahu; puueru; huutu
6.13	tailor	
6.21	cloth	
6.22	wool	wuuru; huru
6.23	linen, flax	harakeke; koorari
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	rera
6.31	spin	miro-a
6.32	spindle	
6.33	weave	whatu-a; raraŋa
6.34	loom	
6.35	sew	tui; tui-tui
6.36	needle	ŋira
6.37	awl	
6.38	thread	tau; miro; tiriŋi; tuaina; tarete
6.39	dye	
6.41	cloak	(kaa)kahu-ria
6.411	poncho	
6.42	woman's dress	kaakahu-ria; whakaakakahu-ria
6.43	coat	[koti]
6.44	shirt	haate
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	tarau
6.49	stocking, sock	tookena
6.51	shoe	huu
6.52	boot	puutu
6.54	shoemaker, cobbler	
6.55	hat, cap	pootae-a
6.57	belt, girdle	whiitiki-ria; taatua
6.58	glove	
6.59	veil	koopare; aarai-tia
6.61	pocket	paakete
6.62	button	paatene
6.63	pin	pine-a
6.71	ornament, adornment	hei
6.72	jewel	rei; hakuraŋi
6.73	ring (for finger)	riiŋi; moowhiti
6.74	bracelet	
6.75	necklace	
6.76	bead	
6.77	earring	
6.78	headband, headdress	pare-a; (ru)ruku-tia
6.79	tattoo	taa-ia; moko
6.81	handkerchief, rag	aikiha; karu-karu
6.82	towel	tauera; taawera
6.91	comb	heru-a; wani-a
6.92	brush	paraihe
6.921	braid	whiri-a
6.93	razor	heu
6.94	ointment	
6.95	soap	hopi
6.96	mirror	whaka-ata; mira
7.11	dwell, live	noho-ia; noho
7.12	house	whare; kaaiŋa; kaaiŋa tupu
7.13	hut	wharau
7.131	garden-house	
7.14	tent	teneti
7.15	yard, court	marae; raaihe
7.16	men's house	
7.17	cookhouse	kaauta; kiihini
7.18	meeting house	
7.21	room	ruuma
7.22	door, gate	tatau; kuaha; kuwaha; whatitoka
7.221	doorpost, jamb	
7.23	lock (noun)	raka
7.231	latch, door-bolt	
7.24	key	
7.25	window	matapihi; mataaho; wini
7.26	floor	whoroa; kau-papa; papa
7.27	wall	pakitara; paatuu; taiepa; taiapa
7.31	fireplace	
7.32	stove	
7.33	chimney	tuumere
7.37	ladder	arawhata
7.42	bed	moeŋa
7.421	pillow	uruŋa; pera
7.422	blanket	paraikete
7.43	chair	nohoaŋa; tuuru
7.44	table	teepu
7.45	lamp, torch	rama-a; raatana; raiti
7.46	candle	kaanara
7.47	shelf	[kaapata]
7.48	trough	kumete; oko
7.51	roof	tuanui
7.52	thatch	ato-hia; taapatu-tia
7.53	ridgepole	taahuhu
7.54	rafter	heke
7.55	beam	kurupae
7.56	post, pole	pou-a; toko-toko
7.57	board	papa
7.58	arch	
7.61	mason	
7.62	brick	pereki
7.63	mortar	
7.64	adobe	
8.11	farmer	kaimahi-paamu
8.12	field (for cultivation)	maara; whenua moomona
8.13	garden	maara; kaari
8.15	cultivate, till	ŋaki-a; tae-a noa-tia
8.16	fence	taiepa; taiapa
8.17	ditch	waikeri; awakeri
8.21	plow	parau
8.212	furrow	
8.22	dig	keri-a; ŋaki-a; ketu
8.23	spade	kaaheru; koo-ia; hoo
8.24	shovel	haapara; tiikoko-a
8.25	hoe	kara-one; tipi-tipi
8.26	fork	pekaŋa
8.27	rake	raku-raku
8.31	sow	rui-a; marara
8.311	seed	kaakano; pura-pura; koopura
8.32	mow, reap	kokoti; kooti-a
8.33	sickle, scythe	toronaihi; hai
8.34	thresh	whiu-a
8.35	threshing-floor	
8.41	crop, harvest	maea; hauhakeŋa; kotiŋa; ŋahuru
8.42	grain (barley, oats etc)	paarei
8.43	wheat	wiiti
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	kaaŋa
8.48	rice	raihi
8.51	grass	karaaihe; paatiitii; taru-taru
8.52	hay	taakakau
8.53	plant (noun)	
8.531	plant (vb)	tupu; whaka-too-kia; onokia; tou-a
8.54	root	pakiaka; paiaka
8.55	branch	peka; peka-ina; maŋa
8.56	leaf	rau
8.57	flower	pua; puaawai; puaawai puti-puti
8.6	tree	
8.61	oak	
8.62	beech	tawai
8.63	birch	
8.64	pine	mataii; paina; rimu; kahikatea
8.65	fir	
8.66	acorn	
8.67	vine	waina
8.68	tobacco	tupeka; torori; paipa
8.69	smoke (tobacco)	kai paipa
8.691	pipe	
8.72	tree stump	tumu; take
8.73	tree trunk	tinana
8.74	forked branch	
8.75	bark	kiri raakau; hiako; peha
8.76	sap	kaa-pia; pia
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	raima; aarani
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	kumara
8.912	yam	uwhi
8.92	tapioca, manioc, cassava	
8.93	gourd	hue; wene-wene; tahaa; kiiaka; ipu
8.931	pumpkin, squash	paukena
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	oŋa-oŋa
8.98	mushroom	harore
9.11	do, make	haŋa-a; mea-tia
9.12	work	mahi-a; mahi
9.14	bend	piko; whaka-pikoa; koowhana; noni
9.15	fold	taanumi; whaka-kopa-kopa-ia; koopake-tia
9.16	tie, bind	here; here-a; hono; pona-ia; whiitiki-tia
9.161	untie	wewete; wete-kina
9.18	chain	tiini; meka-meka
9.19	rope, cord	taura; kaha; ropi; kanoi; aho
9.192	knot (noun)	pona; here
9.21	strike (hit, beat)	paki; pao; patu; tuki; paa-kia; paa; whiu-a
9.211	pound with fist	patu
9.22	cut	kokoti; haehae-a; tapahi-a; wawae-a
9.221	cut down	
9.222	chop, hew	tapahi; poro; hahau; haaua
9.223	stab	oka-ina; wero-hia; wero; poka-ia
9.23	knife	oka-ina; puutia;
9.24	scissors, shears	kuti-kuti
9.25	ax	toki
9.251	adze	kapu; waru
9.26	break	pakaru; whati; tataa-ŋia
9.261	broken	pakaru; whati-ia; poro-a
9.27	split	waahi-a; waawahi
9.28	tear	tiitore-a; ŋahae
9.29	flay, skin	tiihore-a
9.31	rub, wipe	miri-a; muru-a; (muku)muku-a; uku-ia
9.32	stretch	whaka-maaro; kukume; kuumea
9.33	pull	too-ia; kukume; kuumea
9.34	spread out	toro; hora-hia
9.341	hang up	iri-a; taairi; taarewa; tare
9.342	press	peehi; taami-a
9.343	squeeze, wring	roromi; whaka-wiri-a; taatari-tia
9.35	pour	ririŋi; riŋi-hia
9.36	wash	horoi-a
9.37	sweep	tahi-a; puruma-tia
9.38	broom	puruuma
9.422	tool	
9.43	carpenter	kaamura
9.44	build	haŋa-a
9.46	bore	wiri; ore-a; poka-ina
9.461	hollow out	pokorua; wharemoa
9.48	saw	kani; kani maitai
9.49	hammer	[hama]; tuki
9.5	nail	neera; whao
9.56	glue	piri; rapa; whaka-rapa-ŋia
9.6	smith, blacksmith	parakimete
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	koura
9.65	silver	hiriwa
9.66	copper, bronze	[kapa]
9.67	iron	rino; maitai; haeana
9.68	lead (noun)	mataa
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	uku
9.74	glass	[karaahi; karaehe]; wini
9.75	weave, plait	whiri-a
9.76	basket	kete
9.77	mat	whaariki-tia; takapau; porera
9.771	rug	whaariki-tia; takapau; kaapeti
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	koowhiu-whiu
9.81	carve	whakairo-hia
9.82	sculptor	
9.83	statue	whaka-pakoko
9.84	chisel	
9.88	paint (noun)	[peita]
9.89	paint (vb)	pani-a; peeita
10.11	move	neke; haere
10.12	turn over	huri kooaro
10.13	turn around	huri; porotiti
10.14	wind, wrap	takai-a; pookai
10.15	roll	huri-huri; porotiti
10.16	drop (vb)	makere; maaturu-turu
10.17	twist	whiri-a; miro-a; kaawiri-tia; takawiri-tia
10.21	rise	ara; maraŋa; whaka-tika
10.22	raise, lift	whaka-tuu; hiki; whata-a
10.23	fall	hiŋa; taka; makere; marere
10.24	drip	tu(ru)-turu
10.25	throw	maka-a; maka; paŋa-ia; whiu-a; whiu; epa
10.252	catch (ball)	hopu-kia; taŋo-hia
10.26	shake	wiri; ŋapu; ŋaaue-ue; oi-oi; rure-rure; ŋarue; ruu
10.32	flow	rere; paatere; tere
10.33	sink	totohu
10.34	float	tere; maanu; rewa
10.35	swim	kau; (kau)kau-ria; kauhoe-tia; kau-taahoe
10.351	dive	ruku-hia; ruku
10.352	splash	poorutu; poohutu-hutu; wheku-wheku
10.36	sail (vb)	rere
10.37	fly (vb)	rere; topa; whaka-topa
10.38	blow	pupuhi; puhi
10.41	creep, crawl	ŋaoki; ŋaoko; ŋooki; ŋoi; whakapapa
10.412	kneel	tuu-turi
10.413	crouch	
10.42	slide, slip	mania; pareŋo
10.43	jump, leap	peke; tuu-peke-tia; rere-ŋia; moowhiti
10.431	kick	whana-a; kiki-a
10.44	dance	haka-a; kani-kani
10.45	walk	hiikoi; haere-a-wae-wae; haere maa raro
10.451	limp	totitoti
10.46	run	oma; kawe; toro-toro
10.47	go	haere; haere-a atu; whanatu
10.471	go up	
10.472	climb	kake-a; piki-tia
10.473	go down	heke
10.474	go out	
10.48	come	haere; haere mai; haramai
10.481	come back	hoki-a; whaka-hoki-a
10.49	go away, depart	haere atu; riro
10.491	disappear	hemo
10.51	flee	oma
10.52	follow	whai; whaai-a; aru; aru-mia
10.53	pursue	aru-mia; whai; whaaia
10.55	reach, arrive	tae-a; uu-ŋia (ki); tau; eke; tatuu
10.56	approach	whakatata-ŋia
10.57	enter	tomo-kia; uru; kuhu-a; kuhu; hou
10.61	carry (bear)	kawe-a; amo-hia; hari-a; mau-ria; hari; mau
10.612	carry-in-hand	
10.613	carry-on-shoulder	amo-hia
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	mau-ria; hari
10.63	send	tono-a; ŋare-a; uŋa-a; tuku-a
10.64	lead (vb)	arahi-na; aarahi-na; arataki-na
10.65	drive	whiu
10.66	ride	eke hooiho
10.67	push, shove	pana-a; tute-a
10.71	road	hua-nui; huarahi; ara; roori; rori; haere
10.72	path	ara; huarahi
10.74	bridge	piriti; arawhata
10.75	carriage, wagon, cart	waakena
10.76	wheel	wiira
10.77	axle	
10.78	yoke	ioka
10.81	ship	kaipuke
10.83	boat	poti; waka
10.831	canoe	waka
10.832	outrigger	
10.84	raft	mookii; mookihi
10.85	oar	hoe-a
10.851	paddle (noun)	hoe-a
10.852	row (vb)	hoe
10.86	rudder	uruŋi
10.87	mast	tira
10.88	sail (noun)	raa; heera
10.89	anchor	puŋa-a; haika
10.91	harbor, port	waha awa
10.92	land (vb)	uu-ŋia ki uta; tau
11.11	have	
11.12	own, possess	whai; whiwhi
11.13	take	taŋo-hia; taŋo; mau-ria; tari-a
11.14	seize, grasp	hopu-kia; kapo-hia; riro; taŋo-hia; mau-ria
11.15	hold	pupuri; (pu)puri-tia; (ra)rawhia
11.16	get, obtain	tiki; tiiki-na; kawe-a; whi-whi; riro i
11.17	keep, retain	(pu)puri-tia; tiaki-na
11.18	thing	mea; taoŋa
11.21	give	hoatu; hoo-mai
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	whaka-ora; tohu-ŋia
11.27	destroy	ŋaro; huna-ia; takakino-tia; whaka-mootii
11.28	harm, injure, damage	tuuŋa; whara; kino; tuukino-tia
11.31	seek, look for	rapu-a; kimi-hia; haahaa; haahau-tia; kimi; rapu; tiro; tirotiro
11.32	find	kite-a
11.33	lose	ŋaro
11.34	release, let go	tuku-na; tuku-a kia haere
11.43	money	[moni]
11.44	coin	
11.51	rich	whai taoŋa
11.52	poor	rawakore
11.53	beggar	inoi-a; pati
11.54	avaricious, stingy	apo; kaiponu-hia; haakere-a
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	nama
11.65	pay (vb)	ea; utu-a; whaka-ea-tia
11.66	account, reckoning	
11.69	tax, tribute	taake
11.77	hire	
11.78	wages	utu
11.79	earn	
11.81	buy	hoko-na
11.82	sell	hoko-na; hoko-hoko
11.83	trade, barter	hoko-na; hoko-hoko
11.84	merchant	
11.85	market (place)	
