entry_id	trans_english	Yavitero_Phonemic
8.94	bamboo	
8.941	sugar cane	min'deľe
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	ma
9.12	work	hatata
9.14	bend	
9.15	fold	yuwaka
9.16	tie, bind	kaľita
9.161	untie	kuha-hi
9.18	chain	
9.19	rope, cord	c̷ima-naha
9.192	knot (noun)	kubuľe
9.21	strike (hit, beat)	dac̷ika
9.211	pound with fist	miya-hi (?)
9.22	cut	c̷i'uka
9.221	cut down	yuta
9.222	chop, hew	kec̷ua ihewa
9.223	stab	maľ̥ika
9.23	knife	
9.24	scissors, shears	
9.25	ax	c̷uwa
9.251	adze	
9.26	break	hec̷uka
9.261	broken	
9.27	split	huľeta (?)
9.28	tear	berika
9.29	flay, skin	tamaka
9.31	rub, wipe	keyuka
9.32	stretch	muta
9.33	pull	
9.34	spread out	hu'ata
9.341	hang up	ľ̥amatata
9.342	press	yakutata
9.343	squeeze, wring	kenahi
9.35	pour	
9.36	wash	hiha
9.37	sweep	kaha
9.38	broom	ka'ha-miaľ̥i
9.422	tool	
9.43	carpenter	
9.44	build	ma
9.46	bore	keľia 'hutukata (?)
9.461	hollow out	
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	yatata
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[oro]
9.65	silver	[ha'ľata]
9.66	copper, bronze	[kobre]
9.67	iron	[yer̃u]
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	yaini
9.74	glass	
9.75	weave, plait	naha
9.76	basket	
9.77	mat	[eh'tera]
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	mahu'ita
9.791	fan (vb)	huwita
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	ľ̥ehenahami
9.89	paint (vb)	yanata
10.11	move	mutata
10.12	turn over	budeketa
10.13	turn around	
10.14	wind, wrap	buhuteta
10.15	roll	hiľika
10.16	drop (vb)	tuhia
10.17	twist	kenahi
10.21	rise	ku'ata
10.22	raise, lift	
10.23	fall	numaf
10.24	drip	c̷uľuna
10.25	throw	yuta; wahi
10.252	catch (ball)	
10.26	shake	teneka c̷eneka
10.32	flow	huľua
10.33	sink	
10.34	float	huyaka
10.35	swim	ku'inta
10.351	dive	tahita
10.352	splash	c̷aľaľaka
10.36	sail (vb)	
10.37	fly (vb)	mita
10.38	blow	huweha-hi
10.41	creep, crawl	
10.412	kneel	situ-ta
10.413	crouch	c̷uruita
10.42	slide, slip	hic̷ic̷ia
10.43	jump, leap	c̷ahia
10.431	kick	hawaka
10.44	dance	tamaha
10.45	walk	heha
10.451	limp	
10.46	run	nuha
10.47	go	ľ̥a; heha
10.471	go up	kuwa; ku'a
10.472	climb	kuwa; ku'a
10.473	go down	tuwa; tu'a
10.474	go out	hic̷ika
10.48	come	nuha
10.481	come back	yuwa; yu'a
10.49	go away, depart	huľeka
10.491	disappear	makuta-wa
10.51	flee	ľ̥a yeľ̥a
10.52	follow	
10.53	pursue	
10.55	reach, arrive	nuha; huwi
10.56	approach	
10.57	enter	yaha
10.61	carry (bear)	tawata
10.612	carry-in-hand	
10.613	carry-on-shoulder	wauľ̥i
10.614	carry-on-head	hutasita-hi
10.615	carry-underarm	
10.62	bring	hata
10.63	send	hiyeta
10.64	lead (vb)	
10.65	drive	yakumata
10.66	ride	
10.67	push, shove	heta
10.71	road	ta'nehu
10.72	path	
10.74	bridge	ku'ľihiya
10.75	carriage, wagon, cart	ta'nehu
10.76	wheel	[r̃u'eda]
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	[hi'rawa]
10.831	canoe	ku'aľ̥a
10.832	outrigger	--
10.84	raft	
10.85	oar	nehu
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	ta'nesiwi
10.92	land (vb)	
11.11	have	ye
11.12	own, possess	iluke
11.13	take	
11.14	seize, grasp	
11.15	hold	kasita
11.16	get, obtain	kasita
11.17	keep, retain	
11.18	thing	ikule
11.21	give	ta; ma
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	weteheta
11.31	seek, look for	wesiha
11.32	find	
11.33	lose	makutata
11.34	release, let go	waľ̥uka
11.43	money	ha'ľata
11.44	coin	
11.51	rich	
11.52	poor	[hure]
11.53	beggar	
11.54	avaricious, stingy	maľ̥ia-hi
11.61	lend	miyaha...'ima
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	[paga]
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	weinta
11.82	sell	[wende]
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	(ni)'weinta-kade hahic̷iwa
11.87	price	
11.88	dear (costly, expensive)	ka'weni-hi
11.89	cheap	hata ka'weni-hi
11.91	share (distribute)	
11.92	weigh	
12.1	after	wene-hi
12.11	behind	-te
12.2	beside	mane-he
12.3	down, below	ihine-hi
12.4	before	hihawa
12.41	front	hihawa
12.5	inside, in	ihuawa
12.6	outside	tuľic̷i
12.7	under	
12.8	up, above	a'niye; hutaye
12.11	place	nawa
12.12	put	we
12.13	sit	hac̷ika
12.14	lie down	hahita
12.15	stand	kac̷ia
12.16	remain, stay	
12.17	remains, left overs	hutemi
12.21	collect, gather	
12.212	pick up	
12.213	pile up	c̷iha
12.22	join, unite	we ka'ľehana
12.23	separate	wewa
12.232	divide	huľeka
12.24	open	kaľaha
12.25	shut, close	wata-hi
12.26	cover	wata-hi
12.27	hide, conceal	waľia
12.31	high	
12.32	low	
12.33	top	huta-hi
12.34	bottom	
12.35	end	yuľ̥awi
12.352	pointed	
12.353	edge	huľ̥iwa
12.36	side	hihuni
12.37	middle, center	tehunaha
12.41	right (side)	minaľi
12.42	left (side)	ga'nuľ̥i
12.43	near (adv)	ka'ľehana
12.44	far (adv)	teye(na)
12.45	east	hic̷ikaliwa ka'muľ̥i
12.46	west	yahaľiwa ka'muľ̥i
12.47	north	
12.48	south	
12.53	grow	tawina
12.54	measure	
12.541	span, fathom	
12.55	large, big	iľ̥uwaľi-hi
12.56	small, little	witasima-hi
12.57	long	a'ľ̥utu-hi
12.58	tall	a'ľ̥utu-hi
12.59	short	u'wima-hi
12.61	wide, broad	a'ľ̥uhami
12.62	narrow	witasima-hi
12.63	thick (in dimension)	a'ľ̥umina-hi
12.65	thin (in dimension)	huwiha-hi
12.67	deep	ha'ľ̥iye-hi
12.68	shallow	
12.71	flat	
12.73	straight	ha'ľehu
12.74	crooked	te'muku-hi
12.75	hook	[ganc̷u]
12.76	corner	
12.77	cross	[ku'rusa]
12.78	square	
12.81	round	
12.82	circle	
12.83	sphere, ball	[pe'lota]
12.84	line	yanane
12.85	hole	ewi
12.92	like, similar	wic̷a
12.93	change	weta
13.0	zero, nothing	hata meľ̥i
13.1	one	hasi'ana
13.2	two	c̷i'naha
13.3	three	[te'resi]
13.4	four	[kwatru]
13.5	five	[sinku]
13.6	six	--
13.7	seven	--
13.8	eight	--
13.9	nine	--
13.10	ten	--
13.101	eleven	--
13.102	twelve	--
13.103	fifteen	--
13.104	twenty	--
13.105	hundred	--
13.106	thousand	--
13.107	count	
13.14	every, all	huľi'ana
13.15	much, many	'banimi
13.16	more	c̷i'ma-hi
13.17	little (quantity), few	witasima(ini)
13.18	enough	a'ľ̥uc̷ina
13.181	some	hasi'ana
13.19	multitude, crowd	
13.21	full	huka-hi
13.22	empty	
13.23	part, piece	tehunaha
13.24	half	hihuni
13.33	alone, only	ha'yewana
13.34	first	kenu'awa
13.35	last	ma'buyaľ̥iami
13.36	second	
13.37	pair	
13.38	two times	c̷i'naha-sa
13.42	third	
13.44	three times	[te'resi]-sa
14.11	time	a'ľ̥utuna
14.12	age	
14.13	new	a'wemaľi
14.14	young	
14.15	old	a'winesitami
14.16	early	
14.17	late	
14.18	now	wi'hiti
14.19	immediately	
14.21	swift, fast, quick	ke'heľina
14.22	slow	uyuhana
14.23	hasten, hurry	
14.24	retard, delay	
14.25	begin, beginning	kenu-ta
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	ye; huľi(a)
14.28	cease, stop	kac̷ita
14.29	ready	
14.31	always	minena
14.32	often	
14.33	sometimes	hac̷i'a ľ̥a'naha
14.331	soon	
14.332	long-time (for a)	
14.34	never	hata
14.35	again	ha'c̷inuwa
14.41	day	eɲahiľ̥i
14.42	night	yaľ̥i-na
14.43	dawn	ka'haľi-hi
14.44	morning	ma'ľ̥etewenasa
14.45	noon, midday	
14.451	afternoon	yaľ̥i; yaľ̥i-na
14.46	evening	
14.47	today	wi'hiti
14.48	tomorrow	yaľinasa
14.481	day-after-tomorrow	yaľ̥ina'sita
14.49	yesterday	uhiľ̥i
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	[r̃eľu]
14.61	week	[se'mana]
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	keľi
14.73	year	ka'muľ̥iaľi
14.74	winter	huľuka weni
14.75	spring	
14.76	summer	ka'muľ̥iaľi
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	ľ̥imeta
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	hu'ľ̥ime-hi
15.26	stinking, bad smelling	
15.31	taste	nimeta
15.35	sweet	hu'c̷iwami
15.36	salty	ka'hiľ̥a-hi
15.37	bitter	keľ̥i-hi
15.38	acid, sour	kama
15.39	brackish	
15.41	hear	keheta
15.42	listen	
15.44	sound, noise	ka'ľ̥ana-hi
15.45	loud	ka'ľ̥anana
15.46	quiet, silence	wi'yumana
15.51	see	nita
15.52	look, look at	nita
15.55	show	c̷i'ata
15.56	shine	
15.57	bright	
15.61	color	yanane
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	ka'haľi-hi
15.65	black	mumu-hi
15.66	red	sitami
15.67	blue	si'hutemi
15.68	green	si'hutemi
15.69	yellow	tewami
15.71	touch	kasita
15.712	pinch	wic̷uka
15.72	feel	
15.74	hard	ľ̥eni-hi
15.75	soft	wami-hi
15.76	rough	gaľu-hi
15.77	smooth	
15.78	sharp	ka'mena-hi
15.79	blunt, dull	hata ka'mena-hi
15.81	heavy	sina-hi
15.82	light (in weight)	hata sina-hi
15.83	wet, damp	keľ̥a-hi
15.84	dry	c̷uheta; c̷uweta
15.85	hot	atawaľihi
15.851	warm	aľ̥a-hi
15.86	cold	ka'winini
15.87	clean	teľiha-wa
15.88	dirty, soiled	eku-hi
15.89	wrinkled	ke'yu-keyu
16.11	soul, spirit	a'meľ̥ami
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
